date,open,high,low,close,volume,amount,品种,交易所,基金代码
2019-02-22,100.0,100.51,100.0,100.508,132220,13277148,1-3年国债ETF,SH,511020
2019-02-25,100.2,100.266,100.175,100.175,6680,669447,1-3年国债ETF,SH,511020
2019-02-26,100.0,100.005,100.0,100.0,6210,621017,1-3年国债ETF,SH,511020
2019-02-27,100.0,100.01,99.9,100.005,7480,748054,1-3年国债ETF,SH,511020
2019-02-28,100.005,100.04,100.005,100.03,3470,347112,1-3年国债ETF,SH,511020
2019-03-01,99.6,100.021,99.6,100.011,2670,267038,1-3年国债ETF,SH,511020
2019-03-04,100.008,100.008,99.773,99.872,3040,303598,1-3年国债ETF,SH,511020
2019-03-05,99.8,99.8,99.775,99.775,3470,346237,1-3年国债ETF,SH,511020
2019-03-06,99.772,99.88,99.7,99.782,9020,900297,1-3年国债ETF,SH,511020
2019-03-07,99.779,99.93,99.719,99.915,9170,915578,1-3年国债ETF,SH,511020
2019-03-08,99.918,100.285,99.918,100.145,9830,984899,1-3年国债ETF,SH,511020
2019-03-11,100.142,100.145,100.13,100.13,4310,431604,1-3年国债ETF,SH,511020
2019-03-12,100.108,100.108,100.0,100.05,11600,1160471,1-3年国债ETF,SH,511020
2019-03-13,99.85,100.219,99.85,100.219,450,45085,1-3年国债ETF,SH,511020
2019-03-14,100.119,100.25,100.119,100.15,5410,542324,1-3年国债ETF,SH,511020
2019-03-15,100.224,100.224,100.124,100.22,104480,10470575,1-3年国债ETF,SH,511020
2019-03-18,100.125,100.22,100.125,100.22,3570,357751,1-3年国债ETF,SH,511020
2019-03-19,100.175,100.195,100.175,100.195,3150,315614,1-3年国债ETF,SH,511020
2019-03-20,100.192,100.198,100.192,100.192,200,20039,1-3年国债ETF,SH,511020
2019-03-21,100.2,100.25,100.2,100.2,3190,319639,1-3年国债ETF,SH,511020
2019-03-22,100.197,100.2,100.197,100.2,780,78156,1-3年国债ETF,SH,511020
2019-03-25,100.379,100.379,100.279,100.279,2950,296113,1-3年国债ETF,SH,511020
2019-03-26,100.435,100.45,100.336,100.35,3240,325343,1-3年国债ETF,SH,511020
2019-03-27,100.376,100.376,100.376,100.376,1170,117440,1-3年国债ETF,SH,511020
2019-03-28,100.373,100.379,100.35,100.35,330,33121,1-3年国债ETF,SH,511020
2019-03-29,100.35,100.353,100.345,100.345,690,69243,1-3年国债ETF,SH,511020
2019-04-01,100.201,100.201,100.12,100.12,2090,209416,1-3年国债ETF,SH,511020
2019-04-02,100.117,100.12,100.071,100.12,80,8008,1-3年国债ETF,SH,511020
2019-04-03,100.1,100.1,100.01,100.01,2140,214023,1-3年国债ETF,SH,511020
2019-04-04,100.008,100.008,99.8,99.8,640,63971,1-3年国债ETF,SH,511020
2019-04-08,99.5,99.725,99.5,99.525,3670,365740,1-3年国债ETF,SH,511020
2019-04-09,99.61,99.61,99.501,99.501,1110,110546,1-3年国债ETF,SH,511020
2019-04-10,99.501,99.557,99.501,99.501,2360,234834,1-3年国债ETF,SH,511020
2019-04-11,99.504,99.573,99.504,99.573,4300,428035,1-3年国债ETF,SH,511020
2019-04-12,99.36,99.36,99.36,99.36,20,1987,1-3年国债ETF,SH,511020
2019-04-15,99.008,99.406,99.008,99.406,920,91407,1-3年国债ETF,SH,511020
2019-04-16,99.405,99.405,99.01,99.159,1530,151733,1-3年国债ETF,SH,511020
2019-04-17,99.156,99.156,99.001,99.001,240,23769,1-3年国债ETF,SH,511020
2019-04-18,99.004,99.004,99.0,99.0,140,13860,1-3年国债ETF,SH,511020
2019-04-19,99.05,99.245,99.0,99.245,330,32726,1-3年国债ETF,SH,511020
2019-04-22,99.242,99.242,99.08,99.094,2340,231944,1-3年国债ETF,SH,511020
2019-04-23,99.1,99.1,99.09,99.09,110,10901,1-3年国债ETF,SH,511020
2019-04-24,99.04,99.04,99.04,99.04,400,39616,1-3年国债ETF,SH,511020
2019-04-25,98.75,99.09,98.75,99.087,6640,657600,1-3年国债ETF,SH,511020
2019-04-26,98.875,99.03,98.875,99.03,2450,242562,1-3年国债ETF,SH,511020
2019-04-29,99.027,99.027,98.95,98.95,2130,210871,1-3年国债ETF,SH,511020
2019-04-30,98.953,99.018,98.948,99.018,250,24746,1-3年国债ETF,SH,511020
2019-05-06,99.1,99.382,99.1,99.378,2040,202670,1-3年国债ETF,SH,511020
2019-05-07,99.4,99.409,99.399,99.409,900,89464,1-3年国债ETF,SH,511020
2019-05-09,99.42,99.53,99.42,99.475,200,19895,1-3年国债ETF,SH,511020
2019-05-10,99.53,99.55,99.301,99.37,5900,586583,1-3年国债ETF,SH,511020
2019-05-13,99.373,99.5,99.373,99.475,610,60681,1-3年国债ETF,SH,511020
2019-05-14,99.55,99.8,99.508,99.8,6030,600222,1-3年国债ETF,SH,511020
2019-05-15,99.704,99.74,99.704,99.719,2920,291153,1-3年国债ETF,SH,511020
2019-05-16,99.8,99.82,99.8,99.82,610,60883,1-3年国债ETF,SH,511020
2019-05-17,100.0,100.0,100.0,100.0,100,10000,1-3年国债ETF,SH,511020
2019-05-20,99.82,99.82,99.82,99.82,220,21960,1-3年国债ETF,SH,511020
2019-05-21,99.71,99.71,99.7,99.7,610,60818,1-3年国债ETF,SH,511020
