date,open,high,low,close,volume,amount,品种,交易所,基金代码
2020-09-25,100.22,100.265,100.001,100.223,169570,16997776,信用债ETF,SH,511360
2020-09-28,100.177,100.2,100.052,100.196,107870,10806895,信用债ETF,SH,511360
2020-09-29,100.2,100.236,100.1,100.195,134321,13458251,信用债ETF,SH,511360
2020-09-30,100.159,100.26,100.159,100.26,56063,5618755,信用债ETF,SH,511360
2020-10-09,100.214,100.3,98.254,100.26,14810,1483985,信用债ETF,SH,511360
2020-10-12,100.3,100.35,100.25,100.298,126930,12730941,信用债ETF,SH,511360
2020-10-13,100.299,100.357,100.296,100.342,227530,22821896,信用债ETF,SH,511360
2020-10-14,100.296,100.404,100.284,100.35,9720,975870,信用债ETF,SH,511360
2020-10-15,100.35,100.42,100.3,100.419,5860,588044,信用债ETF,SH,511360
2020-10-16,100.38,100.43,100.38,100.43,14200,1426052,信用债ETF,SH,511360
2020-10-19,100.385,100.408,100.385,100.407,10510,1055276,信用债ETF,SH,511360
2020-10-20,100.407,100.47,100.407,100.469,43680,4386856,信用债ETF,SH,511360
2020-10-21,100.423,100.467,100.423,100.464,198200,19912559,信用债ETF,SH,511360
2020-10-22,100.467,100.47,100.457,100.47,198690,19962291,信用债ETF,SH,511360
2020-10-23,100.43,100.475,100.43,100.473,193280,19419715,信用债ETF,SH,511360
2020-10-26,100.481,100.482,100.47,100.482,206340,20733447,信用债ETF,SH,511360
2020-10-27,100.46,100.482,100.46,100.48,42867,4306938,信用债ETF,SH,511360
2020-10-28,100.479,100.481,100.479,100.481,292270,29367567,信用债ETF,SH,511360
2020-10-29,100.435,100.497,100.429,100.497,262660,26396540,信用债ETF,SH,511360
2020-10-30,100.5,100.505,100.49,100.505,201370,20238506,信用债ETF,SH,511360
2020-11-02,100.512,100.512,100.46,100.512,224260,22540661,信用债ETF,SH,511360
2020-11-03,100.466,100.535,100.466,100.51,216891,21805129,信用债ETF,SH,511360
2020-11-04,100.47,100.54,100.47,100.54,106490,10706387,信用债ETF,SH,511360
2020-11-05,100.479,100.54,100.479,100.539,182287,18327130,信用债ETF,SH,511360
2020-11-06,100.545,100.55,100.5,100.5,262420,26386251,信用债ETF,SH,511360
2020-11-09,100.555,100.556,100.486,100.5,167400,16833063,信用债ETF,SH,511360
2020-11-10,100.51,100.58,100.51,100.511,159760,16068650,信用债ETF,SH,511360
2020-11-11,100.573,100.589,100.573,100.589,637310,64106337,信用债ETF,SH,511360
2020-11-12,100.519,100.587,100.519,100.587,661210,66509130,信用债ETF,SH,511360
2020-11-13,100.531,100.581,100.531,100.581,5970,600438,信用债ETF,SH,511360
2020-11-16,100.552,100.589,100.503,100.503,40430,4066273,信用债ETF,SH,511360
2020-11-17,100.567,100.588,100.52,100.588,10310,1037000,信用债ETF,SH,511360
2020-11-18,100.588,100.588,100.52,100.587,80410,8088201,信用债ETF,SH,511360
2020-11-19,100.585,100.585,100.585,100.585,645900,64967852,信用债ETF,SH,511360
2020-11-20,100.58,100.616,100.528,100.528,49710,5000050,信用债ETF,SH,511360
2020-11-23,100.484,100.567,100.484,100.497,1085040,109118132,信用债ETF,SH,511360
2020-11-24,100.519,100.561,100.519,100.519,85640,8611959,信用债ETF,SH,511360
2020-11-25,100.527,100.595,100.463,100.527,21697,2182487,信用债ETF,SH,511360
2020-11-26,100.536,100.586,100.536,100.586,98950,9948042,信用债ETF,SH,511360
