date,open,high,low,close,volume,amount,品种,交易所,基金代码
2018-05-31,93.0,100.001,93.0,100.0,555218,55474694,综合债指数ETF,SH,511280
2018-06-01,100.0,100.002,100.0,100.0,373788,37378979,综合债指数ETF,SH,511280
2018-06-04,100.0,100.001,100.0,100.001,28770,2877023,综合债指数ETF,SH,511280
2018-06-05,100.001,100.003,100.0,100.0,43090,4309004,综合债指数ETF,SH,511280
2018-06-06,100.001,100.18,100.0,100.0,12380,1238543,综合债指数ETF,SH,511280
2018-06-07,100.0,100.01,100.0,100.0,8880,888001,综合债指数ETF,SH,511280
2018-06-08,100.0,100.0,100.0,100.0,7550,755000,综合债指数ETF,SH,511280
2018-06-11,100.0,100.0,100.0,100.0,30260,3026000,综合债指数ETF,SH,511280
2018-06-12,100.0,100.1,99.508,100.0,203430,20362961,综合债指数ETF,SH,511280
2018-06-13,100.0,100.0,100.0,100.0,2540,254000,综合债指数ETF,SH,511280
2018-06-14,100.0,100.0,96.01,99.814,12210,1216997,综合债指数ETF,SH,511280
2018-06-15,99.5,99.8,99.5,99.701,410,40898,综合债指数ETF,SH,511280
2018-06-19,99.5,99.501,99.5,99.5,7270,723365,综合债指数ETF,SH,511280
2018-06-20,99.5,99.5,99.5,99.5,11920,1186040,综合债指数ETF,SH,511280
2018-06-21,99.5,99.5,99.5,99.5,5130,510435,综合债指数ETF,SH,511280
2018-06-22,99.5,99.5,99.5,99.5,720,71640,综合债指数ETF,SH,511280
2018-06-25,99.5,99.5,99.5,99.5,1550,154225,综合债指数ETF,SH,511280
2018-06-26,99.5,99.5,99.5,99.5,1700,169150,综合债指数ETF,SH,511280
2018-06-27,99.5,99.5,99.5,99.5,1150,114425,综合债指数ETF,SH,511280
2018-06-28,99.998,99.998,99.5,99.5,3200,319787,综合债指数ETF,SH,511280
2018-06-29,99.95,99.95,90.999,99.5,3220,321659,综合债指数ETF,SH,511280
2018-07-02,99.5,99.5,99.5,99.5,420,41790,综合债指数ETF,SH,511280
2018-07-03,99.5,99.5,99.5,99.5,1030,102485,综合债指数ETF,SH,511280
2018-07-04,99.5,99.5,99.5,99.5,480,47760,综合债指数ETF,SH,511280
2018-07-06,99.6,99.6,99.6,99.6,3610,359556,综合债指数ETF,SH,511280
2018-07-10,99.6,99.6,99.6,99.6,10,996,综合债指数ETF,SH,511280
2018-07-11,99.6,99.6,99.6,99.6,2010,200196,综合债指数ETF,SH,511280
2018-07-12,99.5,99.5,99.5,99.5,30,2985,综合债指数ETF,SH,511280
2018-07-13,99.601,100.5,99.601,100.5,10269,1028580,综合债指数ETF,SH,511280
2018-07-16,99.686,99.686,99.602,99.602,140,13954,综合债指数ETF,SH,511280
2018-07-17,99.959,99.959,99.7,99.7,130,12987,综合债指数ETF,SH,511280
2018-07-18,99.8,99.8,99.8,99.8,20,1996,综合债指数ETF,SH,511280
2018-07-19,99.9,99.9,99.9,99.9,510,50949,综合债指数ETF,SH,511280
2018-07-20,100.0,100.0,100.0,100.0,670,67000,综合债指数ETF,SH,511280
2018-07-23,100.0,100.0,100.0,100.0,580,58000,综合债指数ETF,SH,511280
2018-07-24,100.0,100.0,100.0,100.0,1340,134000,综合债指数ETF,SH,511280
