date,open,high,low,close,volume,amount,品种,交易所,基金代码
2020-09-28,4.019,4.019,3.982,4.001,10864154,43472927,绿色债券ETF(南方),SH,518890
2020-09-29,4.03,4.061,4.03,4.054,4016014,16277275,绿色债券ETF(南方),SH,518890
2020-09-30,4.065,4.071,4.049,4.055,6805867,27643689,绿色债券ETF(南方),SH,518890
2020-10-09,4.047,4.072,4.042,4.059,4882310,19758414,绿色债券ETF(南方),SH,518890
2020-10-12,4.077,4.111,4.055,4.098,9012312,37004763,绿色债券ETF(南方),SH,518890
2020-10-13,4.094,4.098,4.077,4.085,3843407,15722709,绿色债券ETF(南方),SH,518890
2020-10-14,4.085,4.085,3.97,4.041,2066021,8308576,绿色债券ETF(南方),SH,518890
2020-10-15,4.023,4.042,4.023,4.038,1222195,4928730,绿色债券ETF(南方),SH,518890
2020-10-16,4.043,4.06,3.917,4.051,2058240,8349876,绿色债券ETF(南方),SH,518890
2020-10-19,4.038,4.058,4.03,4.058,1236269,4997583,绿色债券ETF(南方),SH,518890
2020-10-20,4.034,4.038,4.029,4.038,747671,3016548,绿色债券ETF(南方),SH,518890
2020-10-21,4.048,4.063,4.048,4.057,619682,2512930,绿色债券ETF(南方),SH,518890
2020-10-22,4.053,4.053,4.042,4.053,813607,3292890,绿色债券ETF(南方),SH,518890
2020-10-23,4.035,4.04,4.03,4.033,184654,744554,绿色债券ETF(南方),SH,518890
2020-10-26,4.027,4.028,4.014,4.019,535633,2154227,绿色债券ETF(南方),SH,518890
2020-10-27,4.023,4.059,4.023,4.056,1867706,7571561,绿色债券ETF(南方),SH,518890
2020-10-28,4.056,4.068,4.054,4.059,655962,2665015,绿色债券ETF(南方),SH,518890
2020-10-29,4.055,4.055,4.002,4.005,802560,3213832,绿色债券ETF(南方),SH,518890
2020-10-30,3.982,3.995,3.973,3.979,1441433,5736007,绿色债券ETF(南方),SH,518890
2020-11-02,3.983,4.023,3.983,4.014,199692,800496,绿色债券ETF(南方),SH,518890
2020-11-03,4.024,4.036,4.024,4.03,781423,3148279,绿色债券ETF(南方),SH,518890
2020-11-04,4.043,4.056,4.032,4.053,2229038,9027123,绿色债券ETF(南方),SH,518890
2020-11-05,4.043,4.05,4.04,4.045,743348,3004660,绿色债券ETF(南方),SH,518890
2020-11-06,4.053,4.095,4.053,4.077,476536,1947205,绿色债券ETF(南方),SH,518890
2020-11-09,4.085,4.099,4.074,4.074,1726454,7064991,绿色债券ETF(南方),SH,518890
2020-11-10,3.96,3.965,3.938,3.964,1213755,4799333,绿色债券ETF(南方),SH,518890
2020-11-11,3.953,3.962,3.951,3.962,2088280,8262738,绿色债券ETF(南方),SH,518890
2020-11-12,3.949,3.96,3.949,3.96,922378,3645109,绿色债券ETF(南方),SH,518890
2020-11-13,3.973,3.979,3.967,3.979,1681903,6684350,绿色债券ETF(南方),SH,518890
2020-11-16,3.99,3.99,3.971,3.975,718128,2859020,绿色债券ETF(南方),SH,518890
2020-11-17,3.975,3.975,3.961,3.963,265732,1055009,绿色债券ETF(南方),SH,518890
2020-11-18,3.951,3.951,3.935,3.943,744888,2934234,绿色债券ETF(南方),SH,518890
2020-11-19,3.934,3.935,3.917,3.921,164339,643978,绿色债券ETF(南方),SH,518890
2020-11-20,3.926,3.938,3.922,3.924,116578,457450,绿色债券ETF(南方),SH,518890
2020-11-23,3.927,3.935,3.925,3.935,555879,2184778,绿色债券ETF(南方),SH,518890
2020-11-24,3.935,3.935,3.82,3.836,707553,2715052,绿色债券ETF(南方),SH,518890
2020-11-25,3.82,3.82,3.76,3.795,1971599,7484903,绿色债券ETF(南方),SH,518890
2020-11-26,3.798,3.802,3.787,3.798,632970,2403518,绿色债券ETF(南方),SH,518890
2020-11-27,3.784,3.803,3.784,3.803,974088,3697260,绿色债券ETF(南方),SH,518890
2020-11-30,3.78,3.78,3.682,3.701,1798523,6646367,绿色债券ETF(南方),SH,518890
2020-12-01,3.705,3.741,3.705,3.734,1308639,4881888,绿色债券ETF(南方),SH,518890
2020-12-02,3.739,3.79,3.739,3.79,200657,759474,绿色债券ETF(南方),SH,518890
2020-12-03,3.801,3.841,3.8,3.832,146249,559640,绿色债券ETF(南方),SH,518890
2020-12-04,3.834,3.843,3.829,3.838,448183,1717835,绿色债券ETF(南方),SH,518890
2020-12-07,3.825,3.835,3.825,3.83,69932,267806,绿色债券ETF(南方),SH,518890
2020-12-08,3.865,3.89,3.864,3.88,552626,2142900,绿色债券ETF(南方),SH,518890
