date,open,high,low,close,volume,amount,品种,交易所,基金代码
2022-10-24,100.38,100.411,100.28,100.398,5253777,527376372,高等级同业存单ETF,SZ,159649
2022-10-25,100.349,100.402,100.349,100.379,4942751,496211107,高等级同业存单ETF,SZ,159649
2022-10-26,100.379,100.379,100.346,100.365,4697322,471379877,高等级同业存单ETF,SZ,159649
2022-10-27,100.37,100.401,100.37,100.399,5918206,594168744,高等级同业存单ETF,SZ,159649
2022-10-28,100.4,100.48,100.4,100.48,9762422,980592857,高等级同业存单ETF,SZ,159649
2022-10-31,100.45,100.533,100.45,100.53,5778313,580895297,高等级同业存单ETF,SZ,159649
2022-11-01,100.58,100.58,100.492,100.508,6357125,638916946,高等级同业存单ETF,SZ,159649
2022-11-02,100.498,100.498,100.45,100.456,8708613,874979088,高等级同业存单ETF,SZ,159649
2022-11-03,100.456,100.499,100.456,100.48,7594204,763076100,高等级同业存单ETF,SZ,159649
2022-11-04,100.451,100.46,100.408,100.429,9921792,996609226,高等级同业存单ETF,SZ,159649
2022-11-07,100.429,100.435,100.414,100.425,10230556,1027432938,高等级同业存单ETF,SZ,159649
2022-11-08,100.425,100.425,100.365,100.385,7877590,790871553,高等级同业存单ETF,SZ,159649
2022-11-09,100.34,100.372,100.34,100.36,5816946,583844994,高等级同业存单ETF,SZ,159649
2022-11-10,100.36,100.369,100.338,100.346,10232040,1026833939,高等级同业存单ETF,SZ,159649
2022-11-11,100.296,100.296,100.154,100.165,7239170,725484677,高等级同业存单ETF,SZ,159649
2022-11-14,100.115,100.115,99.801,99.83,11136709,1113173235,高等级同业存单ETF,SZ,159649
2022-11-15,99.814,99.855,99.681,99.709,8230130,821450374,高等级同业存单ETF,SZ,159649
2022-11-16,99.682,99.81,99.616,99.626,11017140,1099145773,高等级同业存单ETF,SZ,159649
2022-11-17,99.59,99.687,99.59,99.687,9647318,961271492,高等级同业存单ETF,SZ,159649
2022-11-18,99.737,99.975,99.737,99.858,17026297,1701851333,高等级同业存单ETF,SZ,159649
2022-11-21,99.858,100.001,99.811,99.993,11798950,1179606489,高等级同业存单ETF,SZ,159649
2022-11-22,99.993,100.002,99.961,99.98,37772320,3777124409,高等级同业存单ETF,SZ,159649
2022-11-23,100.0,100.07,99.991,100.069,31681720,3168858241,高等级同业存单ETF,SZ,159649
2022-11-24,100.12,100.305,100.12,100.195,53318643,5343744168,高等级同业存单ETF,SZ,159649
2022-11-25,100.19,100.19,100.087,100.089,30546820,3059890026,高等级同业存单ETF,SZ,159649
2022-11-28,100.145,100.145,100.015,100.017,15521140,1553185565,高等级同业存单ETF,SZ,159649
2022-11-29,100.012,100.012,99.754,99.8,12804970,1279456575,高等级同业存单ETF,SZ,159649
2022-11-30,99.805,99.865,99.805,99.841,45904260,4582349591,高等级同业存单ETF,SZ,159649
2022-12-01,99.791,99.819,99.791,99.819,57520460,5741129800,高等级同业存单ETF,SZ,159649
2022-12-02,99.84,99.929,99.84,99.92,15125710,1511187372,高等级同业存单ETF,SZ,159649
2022-12-05,99.91,99.91,99.881,99.891,18245421,1822633743,高等级同业存单ETF,SZ,159649
2022-12-06,99.895,99.895,99.797,99.799,10652140,1063200729,高等级同业存单ETF,SZ,159649
2022-12-07,99.75,99.75,99.661,99.715,16094320,1604426569,高等级同业存单ETF,SZ,159649
2022-12-08,99.765,99.809,99.765,99.805,67574930,6742528761,高等级同业存单ETF,SZ,159649
2022-12-09,99.755,99.775,99.74,99.742,41290850,4118871565,高等级同业存单ETF,SZ,159649
2022-12-12,99.747,99.757,99.73,99.734,48272000,4815145450,高等级同业存单ETF,SZ,159649
2022-12-13,99.724,99.724,99.504,99.549,29906920,2979046271,高等级同业存单ETF,SZ,159649
2022-12-14,99.539,99.8,99.539,99.759,11131923,1109560754,高等级同业存单ETF,SZ,159649
2022-12-15,99.808,99.841,99.808,99.827,19185171,1915257660,高等级同业存单ETF,SZ,159649
2022-12-16,99.8,99.81,99.732,99.773,61712189,6156302318,高等级同业存单ETF,SZ,159649
2022-12-19,99.823,99.952,99.823,99.884,20570569,2055592107,高等级同业存单ETF,SZ,159649
2022-12-20,99.88,99.9,99.86,99.865,76650900,7655808885,高等级同业存单ETF,SZ,159649
2022-12-21,99.855,99.915,99.845,99.87,80890310,8076925186,高等级同业存单ETF,SZ,159649
2022-12-22,99.919,99.971,99.918,99.963,14770335,1476264267,高等级同业存单ETF,SZ,159649
2022-12-23,100.01,100.125,99.99,100.111,13281534,1328698095,高等级同业存单ETF,SZ,159649
2022-12-26,100.111,100.13,100.061,100.09,37720881,3775010723,高等级同业存单ETF,SZ,159649
2022-12-27,100.09,100.09,100.046,100.046,18840445,1885425468,高等级同业存单ETF,SZ,159649
2022-12-28,100.031,100.08,99.996,100.079,26108400,2611286886,高等级同业存单ETF,SZ,159649
2022-12-29,100.08,100.239,100.08,100.185,32334298,3238791443,高等级同业存单ETF,SZ,159649
2022-12-30,100.195,100.235,100.195,100.23,16220119,1625742372,高等级同业存单ETF,SZ,159649
2023-01-03,100.18,100.278,100.18,100.255,52121805,5225577708,高等级同业存单ETF,SZ,159649
2023-01-04,100.265,100.32,100.265,100.318,12895607,1293595961,高等级同业存单ETF,SZ,159649
2023-01-05,100.269,100.34,100.268,100.301,43211240,4334499844,高等级同业存单ETF,SZ,159649
2023-01-06,100.251,100.269,99.995,100.057,8815410,883059010,高等级同业存单ETF,SZ,159649
2023-01-09,100.1,100.211,100.036,100.093,14538746,1455306923,高等级同业存单ETF,SZ,159649
2023-01-10,100.043,100.12,100.043,100.07,7410100,741627657,高等级同业存单ETF,SZ,159649
2023-01-11,100.098,100.1,100.023,100.1,14769979,1477498723,高等级同业存单ETF,SZ,159649
2023-01-12,100.148,100.18,100.1,100.151,75849230,7595616043,高等级同业存单ETF,SZ,159649
2023-01-13,100.13,100.2,100.103,100.139,28294600,2833410015,高等级同业存单ETF,SZ,159649
2023-01-16,100.138,100.186,100.008,100.01,7198785,720076484,高等级同业存单ETF,SZ,159649
2023-01-17,100.01,100.16,100.0,100.035,59227040,5924460864,高等级同业存单ETF,SZ,159649
2023-01-18,100.035,100.084,100.01,100.044,15607737,1561446250,高等级同业存单ETF,SZ,159649
2023-01-19,100.034,100.094,100.0,100.048,22321810,2232744423,高等级同业存单ETF,SZ,159649
2023-01-20,100.098,100.098,100.043,100.073,85418500,8548087642,高等级同业存单ETF,SZ,159649
2023-01-30,100.073,100.079,100.023,100.079,12359889,1236570943,高等级同业存单ETF,SZ,159649
2023-01-31,100.079,100.147,100.079,100.122,20999400,2101981478,高等级同业存单ETF,SZ,159649
2023-02-01,100.155,100.168,100.125,100.147,38803860,3885665215,高等级同业存单ETF,SZ,159649
2023-02-02,100.14,100.16,100.125,100.146,21010502,2103897772,高等级同业存单ETF,SZ,159649
2023-02-03,100.15,100.215,100.15,100.205,45349245,4543700768,高等级同业存单ETF,SZ,159649
2023-02-06,100.22,100.265,100.22,100.25,7868060,788802291,高等级同业存单ETF,SZ,159649
2023-02-07,100.25,100.25,100.2,100.231,42330030,4241645125,高等级同业存单ETF,SZ,159649
2023-02-08,100.181,100.26,100.181,100.246,27848091,2791091330,高等级同业存单ETF,SZ,159649
2023-02-09,100.222,100.252,100.222,100.252,33745902,3382303355,高等级同业存单ETF,SZ,159649
2023-02-10,100.252,100.301,100.241,100.282,34180150,3426710997,高等级同业存单ETF,SZ,159649
2023-02-13,100.332,100.345,100.25,100.312,40226507,4033909844,高等级同业存单ETF,SZ,159649
2023-02-14,100.311,100.34,100.31,100.322,24610130,2468764528,高等级同业存单ETF,SZ,159649
2023-02-15,100.325,100.359,100.305,100.322,33990840,3409789377,高等级同业存单ETF,SZ,159649
2023-02-16,100.322,100.357,100.307,100.327,33582130,3369191837,高等级同业存单ETF,SZ,159649
2023-02-17,100.327,100.35,100.277,100.314,46123740,4626846903,高等级同业存单ETF,SZ,159649
2023-02-20,100.314,100.319,100.233,100.252,38391410,3851251074,高等级同业存单ETF,SZ,159649
2023-02-21,100.25,100.25,100.132,100.15,5682860,569422198,高等级同业存单ETF,SZ,159649
2023-02-22,100.151,100.185,100.15,100.183,26386830,2643155665,高等级同业存单ETF,SZ,159649
2023-02-23,100.185,100.204,100.178,100.187,6829510,684202380,高等级同业存单ETF,SZ,159649
2023-02-24,100.191,100.194,100.138,100.158,4822186,483108387,高等级同业存单ETF,SZ,159649
2023-02-27,100.13,100.159,100.129,100.15,45743473,4581508983,高等级同业存单ETF,SZ,159649
2023-02-28,100.13,100.174,100.13,100.159,15443800,1546915156,高等级同业存单ETF,SZ,159649
2023-03-01,100.161,100.209,100.161,100.194,14016300,1404159575,高等级同业存单ETF,SZ,159649
2023-03-02,100.196,100.22,100.15,100.175,13534840,1356361553,高等级同业存单ETF,SZ,159649
2023-03-03,100.175,100.186,100.148,100.172,34503950,3456344518,高等级同业存单ETF,SZ,159649
2023-03-06,100.18,100.22,100.173,100.212,12624810,1264951868,高等级同业存单ETF,SZ,159649
2023-03-07,100.212,100.3,100.212,100.265,29031114,2910783776,高等级同业存单ETF,SZ,159649
2023-03-08,100.3,100.351,100.282,100.321,12214680,1225302784,高等级同业存单ETF,SZ,159649
2023-03-09,100.321,100.359,100.321,100.332,15301817,1535563070,高等级同业存单ETF,SZ,159649
2023-03-10,100.332,100.381,100.332,100.37,10638201,1067590336,高等级同业存单ETF,SZ,159649
2023-03-13,100.37,100.416,100.365,100.37,10490799,1052975904,高等级同业存单ETF,SZ,159649
2023-03-14,100.37,100.395,100.361,100.384,9712860,974911188,高等级同业存单ETF,SZ,159649
2023-03-15,100.38,100.391,100.341,100.368,31345009,3146533632,高等级同业存单ETF,SZ,159649
2023-03-16,100.368,100.416,100.368,100.41,43436930,4360469371,高等级同业存单ETF,SZ,159649
2023-03-17,100.409,100.459,100.39,100.443,15160636,1522786202,高等级同业存单ETF,SZ,159649
2023-03-20,100.444,100.6,100.444,100.548,8155285,819950311,高等级同业存单ETF,SZ,159649
2023-03-21,100.548,100.598,100.52,100.525,25991615,2614410930,高等级同业存单ETF,SZ,159649
2023-03-22,100.558,100.558,100.482,100.523,13796080,1386725498,高等级同业存单ETF,SZ,159649
2023-03-23,100.523,100.56,100.5,100.556,16786007,1687652084,高等级同业存单ETF,SZ,159649
2023-03-24,100.59,100.59,100.512,100.513,10334773,1039407477,高等级同业存单ETF,SZ,159649
2023-03-27,100.522,100.563,100.52,100.542,53101737,5339004438,高等级同业存单ETF,SZ,159649
2023-03-28,100.545,100.592,100.544,100.584,55874932,5620146467,高等级同业存单ETF,SZ,159649
2023-03-29,100.585,100.628,100.571,100.572,53655520,5397267739,高等级同业存单ETF,SZ,159649
2023-03-30,100.603,100.644,100.603,100.626,17442980,1755171344,高等级同业存单ETF,SZ,159649
2023-03-31,100.627,100.676,100.627,100.669,11419430,1149586311,高等级同业存单ETF,SZ,159649
2023-04-03,100.669,100.73,100.669,100.704,14076790,1417807603,高等级同业存单ETF,SZ,159649
2023-04-04,100.71,100.72,100.705,100.717,17782240,1790847152,高等级同业存单ETF,SZ,159649
2023-04-06,100.717,100.717,100.68,100.705,18452010,1857921136,高等级同业存单ETF,SZ,159649
2023-04-07,100.706,100.706,100.685,100.695,47180230,4750810698,高等级同业存单ETF,SZ,159649
2023-04-10,100.693,100.85,100.691,100.81,18130800,1826416126,高等级同业存单ETF,SZ,159649
2023-04-11,100.81,100.86,100.764,100.809,30252397,3049695255,高等级同业存单ETF,SZ,159649
2023-04-12,100.8,100.814,100.798,100.808,37837910,3814438816,高等级同业存单ETF,SZ,159649
2023-04-13,100.79,100.81,100.79,100.794,22891990,2307708431,高等级同业存单ETF,SZ,159649
2023-04-14,100.761,100.81,100.76,100.797,14869900,1498836499,高等级同业存单ETF,SZ,159649
2023-04-17,100.796,100.806,100.773,100.781,17471397,1760980462,高等级同业存单ETF,SZ,159649
2023-04-18,100.751,100.784,100.751,100.784,24452010,2464183676,高等级同业存单ETF,SZ,159649
2023-04-19,100.757,100.835,100.757,100.829,17098100,1723828823,高等级同业存单ETF,SZ,159649
2023-04-20,100.829,100.875,100.819,100.847,74267890,7490593721,高等级同业存单ETF,SZ,159649
2023-04-21,100.847,100.862,100.84,100.851,23444195,2364466200,高等级同业存单ETF,SZ,159649
2023-04-24,100.85,100.901,100.85,100.865,43007250,4338128626,高等级同业存单ETF,SZ,159649
2023-04-25,100.866,100.952,100.866,100.906,26919069,2715948765,高等级同业存单ETF,SZ,159649
2023-04-26,100.906,100.94,100.85,100.87,16948700,1710326600,高等级同业存单ETF,SZ,159649
2023-04-27,100.881,101.025,100.881,101.025,23037617,2325347253,高等级同业存单ETF,SZ,159649
2023-04-28,101.0,101.055,101.0,101.055,9063634,915781509,高等级同业存单ETF,SZ,159649
2023-05-04,101.062,101.128,101.062,101.107,21511910,2174718168,高等级同业存单ETF,SZ,159649
2023-05-05,101.107,101.29,101.107,101.248,14043300,1420901756,高等级同业存单ETF,SZ,159649
2023-05-08,101.248,101.25,101.19,101.194,16108520,1630650626,高等级同业存单ETF,SZ,159649
2023-05-09,101.168,101.24,101.168,101.225,16627520,1682890860,高等级同业存单ETF,SZ,159649
2023-05-10,101.205,101.44,101.205,101.278,12235650,1239032862,高等级同业存单ETF,SZ,159649
2023-05-11,101.328,101.38,101.328,101.375,29011700,2941063657,高等级同业存单ETF,SZ,159649
2023-05-12,101.342,101.395,101.336,101.34,26267100,2662277646,高等级同业存单ETF,SZ,159649
2023-05-15,101.34,101.379,101.3,101.336,24914710,2525548002,高等级同业存单ETF,SZ,159649
2023-05-16,101.34,101.368,101.33,101.359,19478200,1974095733,高等级同业存单ETF,SZ,159649
2023-05-17,101.32,101.36,101.32,101.351,19015600,1927256490,高等级同业存单ETF,SZ,159649
2023-05-18,101.351,101.351,101.271,101.315,20256360,2052269319,高等级同业存单ETF,SZ,159649
2023-05-19,101.315,101.364,101.31,101.362,22181940,2247933032,高等级同业存单ETF,SZ,159649
2023-05-22,101.412,101.48,101.38,101.436,14737264,1494424490,高等级同业存单ETF,SZ,159649
2023-05-23,101.444,101.618,101.444,101.558,14310420,1452944063,高等级同业存单ETF,SZ,159649
2023-05-24,101.578,101.6,101.524,101.58,26150538,2655146025,高等级同业存单ETF,SZ,159649
2023-05-25,101.578,101.578,101.452,101.506,5591230,567378387,高等级同业存单ETF,SZ,159649
2023-05-26,101.48,101.48,101.436,101.455,15100150,1531918452,高等级同业存单ETF,SZ,159649
2023-05-29,101.456,101.528,101.456,101.528,12252100,1243372050,高等级同业存单ETF,SZ,159649
2023-05-30,101.531,101.586,101.531,101.586,9365320,951191624,高等级同业存单ETF,SZ,159649
2023-05-31,101.542,101.61,101.542,101.579,28448020,2889948043,高等级同业存单ETF,SZ,159649
2023-06-01,101.591,101.68,101.591,101.642,15268500,1551923921,高等级同业存单ETF,SZ,159649
2023-06-02,101.644,101.68,101.582,101.613,17394100,1768530538,高等级同业存单ETF,SZ,159649
2023-06-05,101.618,101.656,101.618,101.648,14047491,1427717534,高等级同业存单ETF,SZ,159649
2023-06-06,101.668,101.76,101.668,101.743,10631300,1081207087,高等级同业存单ETF,SZ,159649
2023-06-07,101.75,101.805,101.75,101.798,19672703,2002402092,高等级同业存单ETF,SZ,159649
2023-06-08,101.752,101.79,101.731,101.77,24354300,2478600021,高等级同业存单ETF,SZ,159649
2023-06-09,101.77,101.819,101.736,101.806,22548400,2294614912,高等级同业存单ETF,SZ,159649
2023-06-12,101.806,101.839,101.806,101.826,15183192,1546058858,高等级同业存单ETF,SZ,159649
2023-06-13,101.826,101.9,101.815,101.9,12059600,1228799393,高等级同业存单ETF,SZ,159649
2023-06-14,101.95,101.95,101.921,101.946,19983420,2036989751,高等级同业存单ETF,SZ,159649
2023-06-15,101.9,101.91,101.829,101.844,7069600,720179243,高等级同业存单ETF,SZ,159649
2023-06-16,101.795,101.814,101.705,101.709,18581109,1890907466,高等级同业存单ETF,SZ,159649
2023-06-19,101.715,101.759,101.641,101.69,8179510,831680563,高等级同业存单ETF,SZ,159649
2023-06-20,101.64,101.72,101.64,101.697,17219320,1751372089,高等级同业存单ETF,SZ,159649
2023-06-21,101.711,101.86,101.711,101.784,20570650,2093872985,高等级同业存单ETF,SZ,159649
2023-06-26,101.77,101.82,101.77,101.813,13487100,1373144087,高等级同业存单ETF,SZ,159649
2023-06-27,101.819,101.84,101.785,101.796,21001710,2138167117,高等级同业存单ETF,SZ,159649
2023-06-28,101.8,101.862,101.8,101.847,9440920,961577115,高等级同业存单ETF,SZ,159649
2023-06-29,101.851,101.896,101.844,101.88,13752094,1400703999,高等级同业存单ETF,SZ,159649
2023-06-30,101.885,101.98,101.885,101.97,15053150,1534749519,高等级同业存单ETF,SZ,159649
2023-07-03,101.951,102.014,101.95,101.968,387594,39525719,高等级同业存单ETF,SZ,159649
2023-07-04,101.973,102.012,101.972,101.999,8541023,871151245,高等级同业存单ETF,SZ,159649
2023-07-05,102.017,102.089,102.003,102.063,20934800,2136178588,高等级同业存单ETF,SZ,159649
2023-07-06,102.065,102.1,102.064,102.079,21161800,2160220862,高等级同业存单ETF,SZ,159649
2023-07-07,102.081,102.129,102.081,102.125,13022499,1329739291,高等级同业存单ETF,SZ,159649
2023-07-10,102.134,102.134,102.095,102.105,16692800,1704477054,高等级同业存单ETF,SZ,159649
2023-07-11,102.114,102.149,102.088,102.114,15503500,1583449177,高等级同业存单ETF,SZ,159649
2023-07-12,102.121,102.121,102.064,102.08,10425300,1064349432,高等级同业存单ETF,SZ,159649
2023-07-13,102.086,102.095,102.06,102.08,15094620,1540968586,高等级同业存单ETF,SZ,159649
2023-07-14,102.088,102.088,102.052,102.069,17058720,1741148951,高等级同业存单ETF,SZ,159649
2023-07-17,102.069,102.11,102.069,102.109,16194730,1653356896,高等级同业存单ETF,SZ,159649
2023-07-18,102.109,102.224,102.109,102.189,13505400,1380074378,高等级同业存单ETF,SZ,159649
2023-07-19,102.197,102.22,102.197,102.204,10763700,1100105258,高等级同业存单ETF,SZ,159649
2023-07-20,102.215,102.227,102.185,102.2,11208320,1145579042,高等级同业存单ETF,SZ,159649
2023-07-21,102.211,102.25,102.211,102.247,16371300,1673542026,高等级同业存单ETF,SZ,159649
2023-07-24,102.21,102.287,102.21,102.268,15549000,1590243554,高等级同业存单ETF,SZ,159649
2023-07-25,102.218,102.251,102.111,102.134,21433910,2190112094,高等级同业存单ETF,SZ,159649
2023-07-26,102.135,102.135,102.085,102.128,20510600,2094386270,高等级同业存单ETF,SZ,159649
2023-07-27,102.128,102.219,102.128,102.205,18337900,1873854169,高等级同业存单ETF,SZ,159649
2023-07-28,102.215,102.252,102.14,102.186,21849600,2233452511,高等级同业存单ETF,SZ,159649
2023-07-31,102.186,102.186,102.118,102.143,19751908,2017460176,高等级同业存单ETF,SZ,159649
2023-08-01,102.177,102.192,102.151,102.183,21422400,2189169080,高等级同业存单ETF,SZ,159649
2023-08-02,102.158,102.22,102.158,102.202,18710900,1912098254,高等级同业存单ETF,SZ,159649
2023-08-03,102.204,102.273,102.204,102.268,21530738,2201267371,高等级同业存单ETF,SZ,159649
2023-08-04,102.268,102.294,102.26,102.285,20878500,2135527522,高等级同业存单ETF,SZ,159649
2023-08-07,102.285,102.34,102.285,102.326,21413010,2191021247,高等级同业存单ETF,SZ,159649
2023-08-08,102.323,102.34,102.32,102.338,25741508,2634349534,高等级同业存单ETF,SZ,159649
2023-08-09,102.36,102.361,102.338,102.342,21221722,2172125560,高等级同业存单ETF,SZ,159649
2023-08-10,102.298,102.359,102.298,102.353,18518300,1895126407,高等级同业存单ETF,SZ,159649
2023-08-11,102.31,102.382,102.31,102.372,33741877,3454320344,高等级同业存单ETF,SZ,159649
2023-08-14,102.394,102.425,102.394,102.424,17715019,1814354313,高等级同业存单ETF,SZ,159649
2023-08-15,102.425,102.575,102.425,102.533,5288692,542146315,高等级同业存单ETF,SZ,159649
2023-08-16,102.532,102.555,102.502,102.55,7135820,731615743,高等级同业存单ETF,SZ,159649
2023-08-17,102.55,102.599,102.491,102.5,19175300,1965984875,高等级同业存单ETF,SZ,159649
2023-08-18,102.501,102.625,102.501,102.587,2822968,289618238,高等级同业存单ETF,SZ,159649
2023-08-21,102.588,102.677,102.571,102.646,1317229,135150089,高等级同业存单ETF,SZ,159649
2023-08-22,102.63,102.63,102.568,102.59,14991100,1538126194,高等级同业存单ETF,SZ,159649
2023-08-23,102.541,102.607,102.541,102.582,20629420,2116429672,高等级同业存单ETF,SZ,159649
2023-08-24,102.59,102.6,102.572,102.59,23962800,2458461621,高等级同业存单ETF,SZ,159649
2023-08-25,102.592,102.61,102.548,102.574,22455627,2303665908,高等级同业存单ETF,SZ,159649
2023-08-28,102.524,102.532,102.403,102.51,10960120,1123191259,高等级同业存单ETF,SZ,159649
2023-08-29,102.47,102.52,102.432,102.46,17347400,1778213480,高等级同业存单ETF,SZ,159649
2023-08-30,102.46,102.492,102.42,102.487,21411840,2194406355,高等级同业存单ETF,SZ,159649
2023-08-31,102.487,102.545,102.487,102.542,18896100,1937618475,高等级同业存单ETF,SZ,159649
2023-09-01,102.54,102.54,102.487,102.511,22954207,2353399116,高等级同业存单ETF,SZ,159649
2023-09-04,102.462,102.468,102.42,102.425,19761310,2024335393,高等级同业存单ETF,SZ,159649
2023-09-05,102.454,102.466,102.408,102.465,26976900,2764011016,高等级同业存单ETF,SZ,159649
2023-09-06,102.432,102.48,102.43,102.43,24917100,2553438107,高等级同业存单ETF,SZ,159649
2023-09-07,102.43,102.45,102.316,102.316,21006800,2151281095,高等级同业存单ETF,SZ,159649
2023-09-08,102.297,102.396,102.15,102.212,20886251,2137628477,高等级同业存单ETF,SZ,159649
2023-09-11,102.262,102.273,102.229,102.238,19640010,2008503899,高等级同业存单ETF,SZ,159649
2023-09-12,102.24,102.32,102.24,102.284,31799369,3253035197,高等级同业存单ETF,SZ,159649
2023-09-13,102.334,102.38,102.325,102.371,15491900,1585640002,高等级同业存单ETF,SZ,159649
2023-09-14,102.375,102.426,102.375,102.412,19974610,2045140759,高等级同业存单ETF,SZ,159649
2023-09-15,102.415,102.435,102.393,102.407,16404010,1679912871,高等级同业存单ETF,SZ,159649
2023-09-18,102.366,102.39,102.308,102.33,33531200,3431651040,高等级同业存单ETF,SZ,159649
2023-09-19,102.38,102.38,102.317,102.333,24197607,2476983488,高等级同业存单ETF,SZ,159649
2023-09-20,102.325,102.331,102.284,102.318,21087793,2157397703,高等级同业存单ETF,SZ,159649
2023-09-21,102.326,102.42,102.32,102.419,14045949,1437440980,高等级同业存单ETF,SZ,159649
2023-09-22,102.419,102.436,102.344,102.357,20536300,2102918275,高等级同业存单ETF,SZ,159649
2023-09-25,102.345,102.388,102.332,102.34,13740510,1406616913,高等级同业存单ETF,SZ,159649
2023-09-26,102.296,102.376,102.296,102.3,23089669,2363546817,高等级同业存单ETF,SZ,159649
2023-09-27,102.256,102.327,102.228,102.236,1338327,136826463,高等级同业存单ETF,SZ,159649
2023-09-28,102.384,102.459,102.384,102.429,14687500,1504155528,高等级同业存单ETF,SZ,159649
2023-10-09,102.43,102.53,102.409,102.509,24665700,2528782336,高等级同业存单ETF,SZ,159649
2023-10-10,102.508,102.508,102.46,102.461,22743700,2330618777,高等级同业存单ETF,SZ,159649
2023-10-11,102.461,102.461,102.362,102.38,19048110,1950657822,高等级同业存单ETF,SZ,159649
2023-10-12,102.37,102.386,102.272,102.348,20392600,2087002641,高等级同业存单ETF,SZ,159649
2023-10-13,102.346,102.42,102.346,102.405,15773510,1615333327,高等级同业存单ETF,SZ,159649
2023-10-16,102.414,102.459,102.407,102.413,12481600,1278458546,高等级同业存单ETF,SZ,159649
2023-10-17,102.399,102.399,102.371,102.383,16991000,1739538776,高等级同业存单ETF,SZ,159649
2023-10-18,102.338,102.402,102.333,102.333,10384000,1063164850,高等级同业存单ETF,SZ,159649
2023-10-19,102.333,102.333,102.2,102.214,10977500,1122777439,高等级同业存单ETF,SZ,159649
2023-10-20,102.169,102.25,102.169,102.25,8845210,904285199,高等级同业存单ETF,SZ,159649
2023-10-23,102.25,102.311,102.25,102.305,5489897,561642884,高等级同业存单ETF,SZ,159649
2023-10-24,102.235,102.275,102.198,102.272,11644009,1190516885,高等级同业存单ETF,SZ,159649
2023-10-25,102.295,102.376,102.276,102.368,4886078,499989215,高等级同业存单ETF,SZ,159649
2023-10-26,102.378,102.481,102.378,102.47,4683400,479954502,高等级同业存单ETF,SZ,159649
2023-10-27,102.474,102.486,102.438,102.462,5099600,522483991,高等级同业存单ETF,SZ,159649
2023-10-30,102.462,102.536,102.46,102.472,2267300,232397731,高等级同业存单ETF,SZ,159649
2023-10-31,102.473,102.568,102.473,102.558,13553500,1389676189,高等级同业存单ETF,SZ,159649
2023-11-01,102.558,102.558,102.485,102.517,11507500,1179621354,高等级同业存单ETF,SZ,159649
2023-11-02,102.518,102.632,102.518,102.626,1760510,180585862,高等级同业存单ETF,SZ,159649
2023-11-03,102.589,102.621,102.553,102.589,2166200,222245549,高等级同业存单ETF,SZ,159649
2023-11-06,102.57,102.587,102.501,102.536,12253056,1256079449,高等级同业存单ETF,SZ,159649
2023-11-07,102.536,102.584,102.512,102.53,2949200,302341570,高等级同业存单ETF,SZ,159649
2023-11-08,102.5,102.555,102.45,102.544,20260300,2076058595,高等级同业存单ETF,SZ,159649
2023-11-09,102.501,102.546,102.501,102.541,16759100,1718515086,高等级同业存单ETF,SZ,159649
2023-11-10,102.513,102.595,102.51,102.55,13047620,1337664428,高等级同业存单ETF,SZ,159649
2023-11-13,102.508,102.607,102.508,102.6,18989200,1948001676,高等级同业存单ETF,SZ,159649
2023-11-14,102.589,102.609,102.561,102.577,9805700,1005860259,高等级同业存单ETF,SZ,159649
