date,open,high,low,close,volume,amount,品种,交易所,基金代码
2017-08-24,100.126,100.126,92.0,99.401,278244,27657872,7-10年国债ETF,SH,511260
2017-08-25,99.487,99.838,99.001,99.801,288910,28791174,7-10年国债ETF,SH,511260
2017-08-28,99.817,99.988,99.79,99.988,272560,27231186,7-10年国债ETF,SH,511260
2017-08-29,99.98,99.98,99.753,99.83,53080,5299552,7-10年国债ETF,SH,511260
2017-08-30,99.783,99.9,99.735,99.877,41070,4099607,7-10年国债ETF,SH,511260
2017-08-31,98.853,100.0,98.853,100.0,111530,11143288,7-10年国债ETF,SH,511260
2017-09-01,99.815,99.99,99.815,99.861,26680,2665704,7-10年国债ETF,SH,511260
2017-09-04,99.867,99.988,99.867,99.878,18510,1849267,7-10年国债ETF,SH,511260
2017-09-05,99.277,99.889,99.277,99.87,4660,465406,7-10年国债ETF,SH,511260
2017-09-06,99.849,100.0,99.83,99.871,82620,8255089,7-10年国债ETF,SH,511260
2017-09-07,99.71,99.999,99.71,99.822,42610,4258319,7-10年国债ETF,SH,511260
2017-09-08,99.751,99.99,99.751,99.961,36590,3658059,7-10年国债ETF,SH,511260
2017-09-11,99.97,100.01,99.816,99.86,86210,8620788,7-10年国债ETF,SH,511260
2017-09-12,99.951,100.03,99.951,99.962,23670,2366807,7-10年国债ETF,SH,511260
2017-09-13,99.935,100.038,99.935,99.995,19890,1989393,7-10年国债ETF,SH,511260
2017-09-14,99.408,100.069,99.408,100.009,34730,3473908,7-10年国债ETF,SH,511260
2017-09-15,99.73,100.198,99.73,100.195,17090,1711662,7-10年国债ETF,SH,511260
2017-09-18,100.041,100.298,100.041,100.276,68024,6819123,7-10年国债ETF,SH,511260
2017-09-19,100.03,100.276,100.03,100.121,21200,2125625,7-10年国债ETF,SH,511260
2017-09-20,100.124,100.32,100.124,100.23,71710,7190835,7-10年国债ETF,SH,511260
2017-09-21,100.119,100.35,100.119,100.28,51554,5169979,7-10年国债ETF,SH,511260
2017-09-22,100.103,100.51,100.103,100.454,142110,14244148,7-10年国债ETF,SH,511260
2017-09-25,100.126,100.6,100.126,100.546,110850,11124494,7-10年国债ETF,SH,511260
2017-09-26,100.2,100.501,100.2,100.34,236340,23728960,7-10年国债ETF,SH,511260
2017-09-27,100.207,100.413,100.206,100.315,100980,10129438,7-10年国债ETF,SH,511260
2017-09-28,100.318,100.445,100.318,100.415,93260,9367143,7-10年国债ETF,SH,511260
2017-09-29,100.2,100.2,99.921,100.01,35510,3551955,7-10年国债ETF,SH,511260
2017-10-09,100.2,100.2,100.111,100.136,101970,10217320,7-10年国债ETF,SH,511260
2017-10-10,100.133,100.2,100.133,100.2,59780,5989936,7-10年国债ETF,SH,511260
