date,open,high,low,close,volume,amount,品种,交易所,基金代码,hold,settle,合约代码,日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,开盘,最高,最低,收盘,涨跌,涨跌幅,成交量,成交金额,样本数量,滚动市盈率
2015-01-01,,,,,,,中证交易所绿色债券指数,,,,,,2015-01-01,930951.0,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.0,,,0.0,0.0,,
2015-01-01,,,,,,,中证交易所绿色债券指数,,,,,,2015-01-01,930951.0,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.0,,,0.0,0.0,,
2015-01-01,,,,,,,中证交易所高等级绿色债券指数,,,,,,2015-01-01,931147.0,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.0,,,0.0,0.0,,
2015-01-01,,,,,,,中证交易所高等级绿色债券指数,,,,,,2015-01-01,931147.0,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.0,,,0.0,0.0,,
2015-01-01,,,,,,,中证绿色债券指数,,,,,,2015-01-01,931145.0,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.0,,,0.0,0.0,,
2015-01-01,,,,,,,中证绿色债券指数,,,,,,2015-01-01,931145.0,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.0,,,0.0,0.0,,
2016-12-30,,,,,,,中证交易所绿色债券指数,,,,,,2016-12-30,930951.0,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.0,,,0.0,0.0,,
2016-12-30,,,,,,,中证交易所绿色债券指数,,,,,,2016-12-30,930951.0,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.0,,,0.0,0.0,,
2016-12-30,,,,,,,中证交易所高等级绿色债券指数,,,,,,2016-12-30,931147.0,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.0,,,0.0,0.0,,
2016-12-30,,,,,,,中证交易所高等级绿色债券指数,,,,,,2016-12-30,931147.0,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.0,,,0.0,0.0,,
2016-12-30,,,,,,,中证绿色债券指数,,,,,,2016-12-30,931145.0,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.0,,,0.0,0.0,,
2016-12-30,,,,,,,中证绿色债券指数,,,,,,2016-12-30,931145.0,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.0,,,0.0,0.0,,
2017-01-03,,,,,,,中证交易所绿色债券指数,,,,,,2017-01-03,930951.0,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.0,,0.0,,,,
2017-01-03,,,,,,,中证交易所绿色债券指数,,,,,,2017-01-03,930951.0,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.0,,0.0,,,,
