date,open,high,low,close,volume,hold,settle,品种,交易所,合约代码
2017-01-17,96.5,96.83,96.485,96.6,35413,0,0.0,10年期国债期货,CFFEX,T0
2017-01-17,99.12,99.175,98.98,99.075,7239,0,0.0,5年期国债期货,CFFEX,TF0
2017-01-18,96.65,96.945,96.585,96.65,30467,0,0.0,10年期国债期货,CFFEX,T0
2017-01-18,99.075,99.3,99.06,99.1,6430,0,0.0,5年期国债期货,CFFEX,TF0
2017-01-19,96.525,97.05,96.405,96.94,37479,0,0.0,10年期国债期货,CFFEX,T0
2017-01-19,99.0,99.42,98.965,99.355,7685,0,0.0,5年期国债期货,CFFEX,TF0
2017-01-20,96.94,97.375,96.85,97.235,38971,0,0.0,10年期国债期货,CFFEX,T0
2017-01-20,99.335,99.63,99.255,99.47,7957,0,0.0,5年期国债期货,CFFEX,TF0
2017-01-23,97.2,97.31,97.03,97.085,18444,0,0.0,10年期国债期货,CFFEX,T0
2017-01-23,99.495,99.555,99.38,99.425,3716,0,0.0,5年期国债期货,CFFEX,TF0
2017-01-24,97.185,97.345,96.26,96.27,27081,0,0.0,10年期国债期货,CFFEX,T0
2017-01-24,99.46,99.765,99.055,99.095,7646,0,0.0,5年期国债期货,CFFEX,TF0
2017-01-25,94.565,94.765,94.29,94.6,53533,0,0.0,10年期国债期货,CFFEX,T0
2017-01-25,99.06,99.06,98.8,98.97,8201,0,0.0,5年期国债期货,CFFEX,TF0
2017-01-26,94.56,94.67,94.17,94.27,28293,0,94.27,10年期国债期货,CFFEX,T0
2017-01-26,98.865,99.075,98.835,99.075,5436,0,98.965,5年期国债期货,CFFEX,TF0
2017-02-03,94.27,94.52,92.96,93.495,48312,0,0.0,10年期国债期货,CFFEX,T0
2017-02-03,99.2,99.2,98.615,98.745,7771,0,0.0,5年期国债期货,CFFEX,TF0
2017-02-06,93.32,93.765,93.305,93.365,43533,0,0.0,10年期国债期货,CFFEX,T0
2017-02-06,98.635,99.115,98.635,98.83,4877,0,0.0,5年期国债期货,CFFEX,TF0
2017-02-07,93.2,93.805,93.125,93.68,60748,0,0.0,10年期国债期货,CFFEX,T0
2017-02-07,97.345,97.66,97.21,97.605,8359,0,0.0,5年期国债期货,CFFEX,TF0
2017-02-08,93.73,94.18,93.725,94.18,57771,0,0.0,10年期国债期货,CFFEX,T0
2017-02-08,97.64,97.94,97.605,97.94,8511,0,0.0,5年期国债期货,CFFEX,TF0
2017-02-09,94.37,94.635,94.21,94.55,54471,0,0.0,10年期国债期货,CFFEX,T0
2017-02-09,97.965,98.17,97.94,98.115,8550,0,0.0,5年期国债期货,CFFEX,TF0
2017-02-10,94.49,94.52,94.265,94.355,40869,0,0.0,10年期国债期货,CFFEX,T0
2017-02-10,98.095,98.1,97.955,98.02,6851,0,0.0,5年期国债期货,CFFEX,TF0
2017-02-13,94.315,94.79,94.22,94.75,44641,0,0.0,10年期国债期货,CFFEX,T0
2017-02-13,98.03,98.335,97.98,98.275,7113,0,0.0,5年期国债期货,CFFEX,TF0
2017-02-14,94.69,94.9,94.315,94.495,62949,0,0.0,10年期国债期货,CFFEX,T0
2017-02-14,98.245,98.38,98.03,98.165,8539,0,0.0,5年期国债期货,CFFEX,TF0
2017-02-15,94.335,94.45,94.18,94.305,50508,0,0.0,10年期国债期货,CFFEX,T0
2017-02-15,98.11,98.17,97.97,98.115,7969,0,0.0,5年期国债期货,CFFEX,TF0
2017-02-16,94.34,95.145,94.305,95.145,52308,0,0.0,10年期国债期货,CFFEX,T0
2017-02-16,98.12,98.6,98.095,98.6,9203,0,0.0,5年期国债期货,CFFEX,TF0
2017-02-17,95.025,95.375,94.92,95.12,66495,0,0.0,10年期国债期货,CFFEX,T0
2017-02-17,98.49,98.69,98.38,98.57,11036,0,0.0,5年期国债期货,CFFEX,TF0
2017-02-20,95.295,95.66,95.215,95.625,51492,0,0.0,10年期国债期货,CFFEX,T0
2017-02-20,98.675,98.865,98.535,98.785,10004,0,0.0,5年期国债期货,CFFEX,TF0
2017-02-21,95.55,95.55,94.975,95.06,55177,0,0.0,10年期国债期货,CFFEX,T0
2017-02-21,98.795,98.795,98.47,98.495,10554,0,0.0,5年期国债期货,CFFEX,TF0
2017-02-22,94.805,95.67,94.805,95.62,65649,0,0.0,10年期国债期货,CFFEX,T0
2017-02-22,98.31,98.86,98.31,98.83,9682,0,0.0,5年期国债期货,CFFEX,TF0
2017-02-23,95.6,95.93,95.42,95.61,60564,0,95.64,10年期国债期货,CFFEX,T0
2017-02-23,98.895,99.0,98.7,98.84,7703,0,98.82,5年期国债期货,CFFEX,TF0
2017-02-24,95.61,95.96,95.38,95.655,64745,0,95.745,10年期国债期货,CFFEX,T0
2017-02-24,98.84,98.99,98.65,98.795,10046,0,98.85,5年期国债期货,CFFEX,TF0
2017-02-27,95.76,96.115,95.5,95.565,55850,0,0.0,10年期国债期货,CFFEX,T0
