类别,品种,代码,交易所,数据量,开始日期,结束日期
国债期货,10年期国债期货,T0,CFFEX,2175,2017-01-17,2025-12-31
国债期货,5年期国债期货,TF0,CFFEX,2175,2017-01-17,2025-12-31
国债期货,2年期国债期货,TS0,CFFEX,1789,2018-08-17,2025-12-31
国债期货,30年期国债期货,TL0,CFFEX,655,2023-04-21,2025-12-31
债券ETF,1-3年国债ETF,511020,SH,1571,2019-02-22,2025-12-31
债券ETF,7-10年国债ETF,511260,SH,2028,2017-08-24,2025-12-31
债券ETF,信用债ETF,511360,SH,1276,2020-09-25,2025-12-31
债券ETF,高等级同业存单ETF,159649,SZ,777,2022-10-24,2025-12-31
债券ETF,综合债指数ETF,511280,SH,429,2018-05-31,2021-08-02
债券ETF,短融ETF,159976,SZ,1440,2020-01-17,2025-12-31
债券ETF,绿色债券ETF(南方),518890,SH,1275,2020-09-28,2025-12-31
债券ETF,绿色电力ETF,159869,SZ,1173,2021-03-05,2025-12-31
绿色债券指数,中证绿色债券指数,931145,,2188,2015-01-01,2025-12-31
绿色债券指数,中证交易所绿色债券指数,930951,,2188,2015-01-01,2025-12-31
绿色债券指数,中证交易所高等级绿色债券指数,931147,,2188,2015-01-01,2025-12-31
