日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,开盘,最高,最低,收盘,涨跌,涨跌幅,成交量,成交金额,样本数量,滚动市盈率,date,品种
2015-01-01,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.0,,,0.0,0.0,,,2015-01-01,中证交易所绿色债券指数
2016-12-30,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.0,,,0.0,0.0,,,2016-12-30,中证交易所绿色债券指数
2017-01-03,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.0,,0.0,,,,,2017-01-03,中证交易所绿色债券指数
2017-01-04,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.07,,0.07,,,,,2017-01-04,中证交易所绿色债券指数
2017-01-05,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.01,,-0.06,,,,,2017-01-05,中证交易所绿色债券指数
2017-01-06,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.13,,0.12,,,,,2017-01-06,中证交易所绿色债券指数
2017-01-09,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.29,,0.16,,,,,2017-01-09,中证交易所绿色债券指数
2017-01-10,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.36,,0.07,,,,,2017-01-10,中证交易所绿色债券指数
2017-01-11,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.44,,0.07,,,,,2017-01-11,中证交易所绿色债券指数
2017-01-12,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.48,,0.05,,,,,2017-01-12,中证交易所绿色债券指数
2017-01-13,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.52,,0.04,,,,,2017-01-13,中证交易所绿色债券指数
2017-01-16,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.52,,0.01,,,,,2017-01-16,中证交易所绿色债券指数
2017-01-17,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.46,,-0.07,,,,,2017-01-17,中证交易所绿色债券指数
2017-01-18,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.28,,-0.18,,,,,2017-01-18,中证交易所绿色债券指数
2017-01-19,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.1,,-0.18,,,,,2017-01-19,中证交易所绿色债券指数
2017-01-20,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.02,,-0.08,,,,,2017-01-20,中证交易所绿色债券指数
2017-01-23,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.98,,-0.04,,,,,2017-01-23,中证交易所绿色债券指数
2017-01-24,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.06,,0.08,,,,,2017-01-24,中证交易所绿色债券指数
2017-01-25,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,100.04,,-0.01,,,,,2017-01-25,中证交易所绿色债券指数
2017-01-26,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.92,,-0.12,,,,,2017-01-26,中证交易所绿色债券指数
2017-02-03,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.89,,-0.03,,,,,2017-02-03,中证交易所绿色债券指数
2017-02-06,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.72,,-0.17,,,,,2017-02-06,中证交易所绿色债券指数
2017-02-07,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.53,,-0.19,,,,,2017-02-07,中证交易所绿色债券指数
2017-02-08,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.26,,-0.27,,,,,2017-02-08,中证交易所绿色债券指数
2017-02-09,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.12,,-0.13,,,,,2017-02-09,中证交易所绿色债券指数
2017-02-10,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.15,,0.02,,,,,2017-02-10,中证交易所绿色债券指数
2017-02-13,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.16,,0.01,,,,,2017-02-13,中证交易所绿色债券指数
2017-02-14,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.07,,-0.08,,,,,2017-02-14,中证交易所绿色债券指数
2017-02-15,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.88,,-0.19,,,,,2017-02-15,中证交易所绿色债券指数
2017-02-16,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.89,,0.01,,,,,2017-02-16,中证交易所绿色债券指数
2017-02-17,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.87,,-0.03,,,,,2017-02-17,中证交易所绿色债券指数
2017-02-20,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.97,,0.11,,,,,2017-02-20,中证交易所绿色债券指数
2017-02-21,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.02,,0.05,,,,,2017-02-21,中证交易所绿色债券指数
2017-02-22,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.93,,-0.09,,,,,2017-02-22,中证交易所绿色债券指数
2017-02-23,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.9,,-0.04,,,,,2017-02-23,中证交易所绿色债券指数
2017-02-24,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.99,,0.09,,,,,2017-02-24,中证交易所绿色债券指数
2017-02-27,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.02,,0.03,,,,,2017-02-27,中证交易所绿色债券指数
2017-02-28,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.03,,0.01,,,,,2017-02-28,中证交易所绿色债券指数
2017-03-01,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.01,,-0.02,,,,,2017-03-01,中证交易所绿色债券指数
2017-03-02,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.03,,0.01,,,,,2017-03-02,中证交易所绿色债券指数
2017-03-03,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.05,,0.03,,,,,2017-03-03,中证交易所绿色债券指数
2017-03-06,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.02,,-0.04,,,,,2017-03-06,中证交易所绿色债券指数
2017-03-07,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.0,,-0.01,,,,,2017-03-07,中证交易所绿色债券指数
2017-03-08,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.95,,-0.05,,,,,2017-03-08,中证交易所绿色债券指数
2017-03-09,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.9,,-0.05,,,,,2017-03-09,中证交易所绿色债券指数
2017-03-10,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.77,,-0.13,,,,,2017-03-10,中证交易所绿色债券指数
