日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,开盘,最高,最低,收盘,涨跌,涨跌幅,成交量,成交金额,样本数量,滚动市盈率,date,品种
2015-01-01,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.0,,,0.0,0.0,,,2015-01-01,中证交易所高等级绿色债券指数
2016-12-30,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.0,,,0.0,0.0,,,2016-12-30,中证交易所高等级绿色债券指数
2017-01-03,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.0,,0.0,0.0,0.0,,,2017-01-03,中证交易所高等级绿色债券指数
2017-01-04,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.07,,0.07,0.0,0.0,,,2017-01-04,中证交易所高等级绿色债券指数
2017-01-05,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.01,,-0.06,0.0,0.0,,,2017-01-05,中证交易所高等级绿色债券指数
2017-01-06,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.13,,0.12,0.0,0.0,,,2017-01-06,中证交易所高等级绿色债券指数
2017-01-09,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.29,,0.16,0.0,0.0,,,2017-01-09,中证交易所高等级绿色债券指数
2017-01-10,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.36,,0.07,0.0,0.0,,,2017-01-10,中证交易所高等级绿色债券指数
2017-01-11,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.43,,0.07,0.0,0.0,,,2017-01-11,中证交易所高等级绿色债券指数
2017-01-12,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.48,,0.05,0.0,0.0,,,2017-01-12,中证交易所高等级绿色债券指数
2017-01-13,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.51,,0.04,0.0,0.0,,,2017-01-13,中证交易所高等级绿色债券指数
2017-01-16,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.52,,0.01,0.0,0.0,,,2017-01-16,中证交易所高等级绿色债券指数
2017-01-17,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.46,,-0.07,0.0,0.0,,,2017-01-17,中证交易所高等级绿色债券指数
2017-01-18,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.27,,-0.18,0.0,0.0,,,2017-01-18,中证交易所高等级绿色债券指数
2017-01-19,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.1,,-0.18,0.0,0.0,,,2017-01-19,中证交易所高等级绿色债券指数
2017-01-20,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.01,,-0.08,0.0,0.0,,,2017-01-20,中证交易所高等级绿色债券指数
2017-01-23,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,99.97,,-0.04,0.0,0.0,,,2017-01-23,中证交易所高等级绿色债券指数
2017-01-24,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.05,,0.08,0.0,0.0,,,2017-01-24,中证交易所高等级绿色债券指数
2017-01-25,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,100.04,,-0.02,0.0,0.0,,,2017-01-25,中证交易所高等级绿色债券指数
2017-01-26,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,99.91,,-0.13,0.0,0.0,,,2017-01-26,中证交易所高等级绿色债券指数
2017-02-03,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,99.88,,-0.03,0.0,0.0,,,2017-02-03,中证交易所高等级绿色债券指数
2017-02-06,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,99.71,,-0.17,0.0,0.0,,,2017-02-06,中证交易所高等级绿色债券指数
2017-02-07,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,99.52,,-0.19,0.0,0.0,,,2017-02-07,中证交易所高等级绿色债券指数
2017-02-08,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,99.24,,-0.28,0.0,0.0,,,2017-02-08,中证交易所高等级绿色债券指数
2017-02-09,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,99.11,,-0.14,0.0,0.0,,,2017-02-09,中证交易所高等级绿色债券指数
2017-02-10,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,99.13,,0.03,0.0,0.0,,,2017-02-10,中证交易所高等级绿色债券指数
2017-02-13,931147,中证交易所高等级绿色债券指数,交易所高等级绿色债,CSI Exchange High Grade Green Bond Index,Exchange High Grade Green Bond,,,,99.14,,0.01,0.0,0.0,,,2017-02-13,中证交易所高等级绿色债券指数
