日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,开盘,最高,最低,收盘,涨跌,涨跌幅,成交量,成交金额,样本数量,滚动市盈率,date,品种
2015-01-01,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.0,,,0.0,0.0,,,2015-01-01,中证绿色债券指数
2016-12-30,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.0,,,0.0,0.0,,,2016-12-30,中证绿色债券指数
2017-01-03,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.07,,0.07,0.0,0.0,,,2017-01-03,中证绿色债券指数
2017-01-04,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.02,,-0.05,0.0,0.0,,,2017-01-04,中证绿色债券指数
2017-01-05,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.08,,0.06,0.0,0.0,,,2017-01-05,中证绿色债券指数
2017-01-06,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.15,,0.06,0.0,0.0,,,2017-01-06,中证绿色债券指数
2017-01-09,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.12,,-0.03,0.0,0.0,,,2017-01-09,中证绿色债券指数
2017-01-10,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.18,,0.06,0.0,0.0,,,2017-01-10,中证绿色债券指数
2017-01-11,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.28,,0.1,0.0,0.0,,,2017-01-11,中证绿色债券指数
2017-01-12,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.26,,-0.02,0.0,0.0,,,2017-01-12,中证绿色债券指数
2017-01-13,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.31,,0.05,0.0,0.0,,,2017-01-13,中证绿色债券指数
2017-01-16,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.4,,0.09,0.0,0.0,,,2017-01-16,中证绿色债券指数
2017-01-17,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.25,,-0.15,0.0,0.0,,,2017-01-17,中证绿色债券指数
2017-01-18,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.14,,-0.11,0.0,0.0,,,2017-01-18,中证绿色债券指数
2017-01-19,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.05,,-0.08,0.0,0.0,,,2017-01-19,中证绿色债券指数
2017-01-20,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.18,,0.13,0.0,0.0,,,2017-01-20,中证绿色债券指数
2017-01-23,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.24,,0.06,0.0,0.0,,,2017-01-23,中证绿色债券指数
2017-01-24,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.29,,0.05,0.0,0.0,,,2017-01-24,中证绿色债券指数
2017-01-25,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.15,,-0.14,0.0,0.0,,,2017-01-25,中证绿色债券指数
2017-01-26,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.08,,-0.07,0.0,0.0,,,2017-01-26,中证绿色债券指数
2017-02-03,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,100.12,,0.04,0.0,0.0,,,2017-02-03,中证绿色债券指数
2017-02-06,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,99.77,,-0.36,0.0,0.0,,,2017-02-06,中证绿色债券指数
2017-02-07,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,99.59,,-0.18,0.0,0.0,,,2017-02-07,中证绿色债券指数
2017-02-08,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,99.44,,-0.15,0.0,0.0,,,2017-02-08,中证绿色债券指数
2017-02-09,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,99.51,,0.08,0.0,0.0,,,2017-02-09,中证绿色债券指数
2017-02-10,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,99.56,,0.05,0.0,0.0,,,2017-02-10,中证绿色债券指数
2017-02-13,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,99.5,,-0.06,0.0,0.0,,,2017-02-13,中证绿色债券指数
2017-02-14,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,99.54,,0.03,0.0,0.0,,,2017-02-14,中证绿色债券指数
2017-02-15,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,99.52,,-0.02,0.0,0.0,,,2017-02-15,中证绿色债券指数
2017-02-16,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,99.57,,0.05,0.0,0.0,,,2017-02-16,中证绿色债券指数
2017-02-17,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,99.59,,0.02,0.0,0.0,,,2017-02-17,中证绿色债券指数
2017-02-20,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,99.7,,0.11,0.0,0.0,,,2017-02-20,中证绿色债券指数
2017-02-21,931145,中证绿色债券指数,中证绿色债,CSI Green Bond Index,CSI Green Bond,,,,99.75,,0.05,0.0,0.0,,,2017-02-21,中证绿色债券指数
