date,open,high,low,close,volume,hold,settle,品种,类别,交易所,合约代码
2015-01-05,2535.0,2551.0,2535.0,2538.0,498,11510,2535.0,小麦,农产品,CZCE,WH0
2015-01-05,13040.0,13080.0,12890.0,13030.0,247762,473520,13010.0,棉花,农产品,CZCE,CF0
2015-01-05,2377.0,2381.0,2369.0,2377.0,46870,154530,2375.0,玉米,农产品,DCE,C0
2015-01-05,4580.0,4580.0,4525.0,4552.0,516190,641602,4551.0,白糖,农产品,CZCE,SR0
2015-01-05,6002.0,6036.0,5950.0,6008.0,42986,126550,6002.0,菜籽油,农产品,CZCE,OI0
2015-01-05,2214.0,2231.0,2203.0,2207.0,1100870,913176,2217.0,菜籽粕,农产品,CZCE,RM0
2015-01-05,2802.0,2828.0,2802.0,2805.0,1133224,2128376,2816.0,豆粕,农产品,DCE,M0
2015-01-05,4488.0,4504.0,4446.0,4497.0,72400,257298,4486.0,黄大豆一号,农产品,DCE,A0
2015-01-05,1029.0,1037.0,1023.0,1031.0,82832,107114,1030.0,焦炭,能源化工,DCE,J0
2015-01-05,736.0,744.0,725.0,731.0,117480,159942,733.0,焦煤,能源化工,DCE,JM0
2015-01-05,2979.0,2979.0,2979.0,2979.0,2,24,2979.0,燃料油,能源化工,SHFE,FU0
2015-01-05,2030.0,2057.0,2001.0,2007.0,816934,326002,2023.0,甲醇,能源化工,CZCE,MA0
2015-01-05,2928.0,2928.0,2886.0,2902.0,3480,14328,2900.0,热轧卷板,金属类,SHFE,HC0
2015-01-05,3498.0,3516.0,3478.0,3507.0,513798,410420,3500.0,白银,金属类,SHFE,AG0
2015-01-05,2550.0,2570.0,2540.0,2560.0,2891600,2212700,2556.0,螺纹钢,金属类,SHFE,RB0
2015-01-05,45500.0,45570.0,44990.0,45080.0,189194,325160,45250.0,铜,金属类,SHFE,CU0
2015-01-05,12970.0,12985.0,12860.0,12895.0,56386,157426,12915.0,铝,金属类,SHFE,AL0
2015-01-05,16710.0,16870.0,16625.0,16720.0,189904,160518,16745.0,锌,金属类,SHFE,ZN0
2015-01-05,240.0,242.5,240.0,242.15,61846,199292,241.4,黄金,金属类,SHFE,AU0
2015-01-06,2539.0,2544.0,2536.0,2536.0,198,11398,2540.0,小麦,农产品,CZCE,WH0
2015-01-06,13020.0,13150.0,13015.0,13110.0,174140,478214,13090.0,棉花,农产品,CZCE,CF0
2015-01-06,2387.0,2394.0,2386.0,2389.0,47668,147544,2390.0,玉米,农产品,DCE,C0
2015-01-06,4531.0,4616.0,4531.0,4586.0,632142,669876,4588.0,白糖,农产品,CZCE,SR0
2015-01-06,6094.0,6094.0,6044.0,6068.0,30276,129796,6066.0,菜籽油,农产品,CZCE,OI0
2015-01-06,2220.0,2263.0,2212.0,2243.0,1277816,862134,2241.0,菜籽粕,农产品,CZCE,RM0
2015-01-06,2816.0,2873.0,2811.0,2849.0,1638688,1857150,2848.0,豆粕,农产品,DCE,M0
2015-01-06,4500.0,4548.0,4486.0,4503.0,176706,257146,4514.0,黄大豆一号,农产品,DCE,A0
2015-01-06,1029.0,1065.0,1028.0,1054.0,356160,128868,1050.0,焦炭,能源化工,DCE,J0
2015-01-06,730.0,756.0,727.0,744.0,290926,173598,744.0,焦煤,能源化工,DCE,JM0
2015-01-06,2979.0,2979.0,2979.0,2979.0,0,24,2979.0,燃料油,能源化工,SHFE,FU0
2015-01-06,1990.0,2041.0,1986.0,2022.0,1459904,355152,2013.0,甲醇,能源化工,CZCE,MA0
2015-01-06,2882.0,2992.0,2882.0,2936.0,7502,14760,2936.0,热轧卷板,金属类,SHFE,HC0
2015-01-06,3490.0,3566.0,3462.0,3554.0,2199972,450158,3517.0,白银,金属类,SHFE,AG0
2015-01-06,2551.0,2647.0,2548.0,2619.0,7434500,2279100,2612.0,螺纹钢,金属类,SHFE,RB0
2015-01-06,44210.0,44910.0,43980.0,44800.0,447986,310542,44570.0,铜,金属类,SHFE,CU0
2015-01-06,12860.0,12880.0,12800.0,12845.0,56276,160562,12835.0,铝,金属类,SHFE,AL0
2015-01-06,16525.0,16800.0,16500.0,16740.0,239488,163974,16680.0,锌,金属类,SHFE,ZN0
2015-01-06,240.95,245.0,240.35,244.45,237512,214248,242.8,黄金,金属类,SHFE,AU0
2015-01-07,2545.0,2545.0,2535.0,2535.0,8,11298,2538.0,小麦,农产品,CZCE,WH0
2015-01-07,13120.0,13210.0,13050.0,13070.0,193080,474024,13130.0,棉花,农产品,CZCE,CF0
2015-01-07,2389.0,2397.0,2386.0,2397.0,35484,153148,2393.0,玉米,农产品,DCE,C0
2015-01-07,4587.0,4694.0,4586.0,4660.0,1183202,661768,4653.0,白糖,农产品,CZCE,SR0
2015-01-07,6072.0,6084.0,6012.0,6046.0,45932,126034,6044.0,菜籽油,农产品,CZCE,OI0
