date,open,high,low,close,volume,hold,settle,品种,类别,交易所,合约代码
2015-01-05,2535.0,2551.0,2535.0,2538.0,498,11510,2535.0,小麦,农产品,CZCE,WH0
2015-01-06,2539.0,2544.0,2536.0,2536.0,198,11398,2540.0,小麦,农产品,CZCE,WH0
2015-01-07,2545.0,2545.0,2535.0,2535.0,8,11298,2538.0,小麦,农产品,CZCE,WH0
2015-01-08,2540.0,2545.0,2535.0,2540.0,136,10380,2540.0,小麦,农产品,CZCE,WH0
2015-01-09,2549.0,2549.0,2540.0,2549.0,24,10358,2549.0,小麦,农产品,CZCE,WH0
2015-01-12,2540.0,2549.0,2540.0,2540.0,26,10332,2540.0,小麦,农产品,CZCE,WH0
2015-01-13,2545.0,2559.0,2540.0,2559.0,298,10282,2554.0,小麦,农产品,CZCE,WH0
2015-01-14,2557.0,2560.0,2540.0,2560.0,98,10282,2558.0,小麦,农产品,CZCE,WH0
2015-01-15,2500.0,2559.0,2500.0,2558.0,560,9392,2511.0,小麦,农产品,CZCE,WH0
2015-01-16,2560.0,2560.0,2500.0,2560.0,40,5352,2560.0,小麦,农产品,CZCE,WH0
2015-01-19,2659.0,2717.0,2659.0,2690.0,2256,6110,2692.0,小麦,农产品,CZCE,WH0
2015-01-20,2689.0,2701.0,2689.0,2698.0,1170,6358,2696.0,小麦,农产品,CZCE,WH0
2015-01-21,2701.0,2720.0,2699.0,2709.0,1820,6576,2712.0,小麦,农产品,CZCE,WH0
2015-01-22,2714.0,2715.0,2699.0,2701.0,872,6574,2705.0,小麦,农产品,CZCE,WH0
2015-01-23,2701.0,2703.0,2693.0,2702.0,572,6838,2699.0,小麦,农产品,CZCE,WH0
2015-01-26,2690.0,2701.0,2677.0,2700.0,514,6938,2694.0,小麦,农产品,CZCE,WH0
2015-01-27,2704.0,2704.0,2695.0,2700.0,470,6968,2701.0,小麦,农产品,CZCE,WH0
2015-01-28,2703.0,2704.0,2696.0,2699.0,172,7004,2700.0,小麦,农产品,CZCE,WH0
2015-01-29,2695.0,2696.0,2673.0,2676.0,872,7236,2681.0,小麦,农产品,CZCE,WH0
2015-01-30,2671.0,2681.0,2630.0,2646.0,1524,7592,2655.0,小麦,农产品,CZCE,WH0
2015-02-02,2644.0,2656.0,2639.0,2648.0,700,7436,2647.0,小麦,农产品,CZCE,WH0
2015-02-03,2641.0,2651.0,2640.0,2648.0,290,7488,2647.0,小麦,农产品,CZCE,WH0
2015-02-04,2651.0,2664.0,2636.0,2636.0,1146,7466,2646.0,小麦,农产品,CZCE,WH0
2015-02-05,2633.0,2649.0,2602.0,2639.0,1446,7498,2627.0,小麦,农产品,CZCE,WH0
2015-02-06,2656.0,2668.0,2636.0,2643.0,586,7574,2646.0,小麦,农产品,CZCE,WH0
2015-02-09,2643.0,2645.0,2636.0,2639.0,456,7652,2640.0,小麦,农产品,CZCE,WH0
2015-02-10,2639.0,2645.0,2636.0,2639.0,358,7742,2642.0,小麦,农产品,CZCE,WH0
2015-02-11,2640.0,2641.0,2636.0,2638.0,142,7768,2638.0,小麦,农产品,CZCE,WH0
2015-02-12,2631.0,2642.0,2631.0,2631.0,214,7798,2635.0,小麦,农产品,CZCE,WH0
2015-02-13,2631.0,2637.0,2620.0,2628.0,496,7876,2630.0,小麦,农产品,CZCE,WH0
2015-02-16,2629.0,2630.0,2618.0,2629.0,414,7978,2627.0,小麦,农产品,CZCE,WH0
2015-02-17,2626.0,2635.0,2622.0,2630.0,402,7980,2629.0,小麦,农产品,CZCE,WH0
2015-02-26,2623.0,2631.0,2621.0,2626.0,330,8068,2626.0,小麦,农产品,CZCE,WH0
2015-02-27,2621.0,2628.0,2611.0,2621.0,780,8464,2619.0,小麦,农产品,CZCE,WH0
2015-03-02,2620.0,2630.0,2620.0,2623.0,768,8652,2624.0,小麦,农产品,CZCE,WH0
2015-03-03,2613.0,2625.0,2612.0,2623.0,408,8690,2621.0,小麦,农产品,CZCE,WH0
