date,open,high,low,close,volume,hold,settle,品种,类别,交易所,合约代码
2015-01-05,13040.0,13080.0,12890.0,13030.0,247762,473520,13010.0,棉花,农产品,CZCE,CF0
2015-01-06,13020.0,13150.0,13015.0,13110.0,174140,478214,13090.0,棉花,农产品,CZCE,CF0
2015-01-07,13120.0,13210.0,13050.0,13070.0,193080,474024,13130.0,棉花,农产品,CZCE,CF0
2015-01-08,13080.0,13180.0,13035.0,13145.0,174134,479466,13125.0,棉花,农产品,CZCE,CF0
2015-01-09,13165.0,13190.0,13080.0,13110.0,132142,469210,13130.0,棉花,农产品,CZCE,CF0
2015-01-12,13130.0,13150.0,13055.0,13085.0,143944,469506,13105.0,棉花,农产品,CZCE,CF0
2015-01-13,13050.0,13080.0,12905.0,12910.0,284468,436884,12980.0,棉花,农产品,CZCE,CF0
2015-01-14,12900.0,12970.0,12860.0,12890.0,199174,422086,12910.0,棉花,农产品,CZCE,CF0
2015-01-15,12875.0,12995.0,12860.0,12970.0,203934,420962,12925.0,棉花,农产品,CZCE,CF0
2015-01-16,12970.0,13245.0,12970.0,13125.0,274904,407034,13135.0,棉花,农产品,CZCE,CF0
2015-01-19,13105.0,13165.0,13060.0,13140.0,162822,402958,13115.0,棉花,农产品,CZCE,CF0
2015-01-20,13125.0,13190.0,13075.0,13105.0,130830,394596,13120.0,棉花,农产品,CZCE,CF0
2015-01-21,13110.0,13130.0,12950.0,13005.0,269822,388818,13015.0,棉花,农产品,CZCE,CF0
2015-01-22,13025.0,13095.0,12990.0,13025.0,151908,378632,13045.0,棉花,农产品,CZCE,CF0
2015-01-23,13030.0,13070.0,12910.0,13025.0,257488,370792,12975.0,棉花,农产品,CZCE,CF0
2015-01-26,13005.0,13075.0,12910.0,12920.0,207560,359210,12990.0,棉花,农产品,CZCE,CF0
2015-01-27,12930.0,13135.0,12870.0,13000.0,262644,355832,13020.0,棉花,农产品,CZCE,CF0
2015-01-28,13015.0,13140.0,12995.0,13135.0,183894,383908,13065.0,棉花,农产品,CZCE,CF0
