date,open,high,low,close,volume,hold,settle,品种,类别,交易所,合约代码
2015-01-05,4580.0,4580.0,4525.0,4552.0,516190,641602,4551.0,白糖,农产品,CZCE,SR0
2015-01-06,4531.0,4616.0,4531.0,4586.0,632142,669876,4588.0,白糖,农产品,CZCE,SR0
2015-01-07,4587.0,4694.0,4586.0,4660.0,1183202,661768,4653.0,白糖,农产品,CZCE,SR0
2015-01-08,4660.0,4686.0,4657.0,4673.0,850562,654472,4671.0,白糖,农产品,CZCE,SR0
2015-01-09,4659.0,4709.0,4656.0,4676.0,900240,637818,4683.0,白糖,农产品,CZCE,SR0
2015-01-12,4676.0,4771.0,4667.0,4756.0,960484,681014,4734.0,白糖,农产品,CZCE,SR0
2015-01-13,4750.0,4756.0,4706.0,4725.0,681012,655798,4729.0,白糖,农产品,CZCE,SR0
2015-01-14,4729.0,4762.0,4662.0,4710.0,1078952,675512,4724.0,白糖,农产品,CZCE,SR0
2015-01-15,4740.0,4745.0,4685.0,4702.0,766794,648544,4714.0,白糖,农产品,CZCE,SR0
2015-01-16,4732.0,4758.0,4701.0,4718.0,1004412,629182,4732.0,白糖,农产品,CZCE,SR0
2015-01-19,4708.0,4833.0,4698.0,4809.0,1516952,619250,4773.0,白糖,农产品,CZCE,SR0
2015-01-20,4806.0,4824.0,4790.0,4806.0,651474,621490,4806.0,白糖,农产品,CZCE,SR0
2015-01-21,4822.0,4999.0,4811.0,4958.0,1879408,639124,4923.0,白糖,农产品,CZCE,SR0
2015-01-22,4966.0,5005.0,4944.0,4986.0,1098298,651408,4972.0,白糖,农产品,CZCE,SR0
2015-01-23,4979.0,5042.0,4961.0,5039.0,1952982,747222,5003.0,白糖,农产品,CZCE,SR0
2015-01-26,5026.0,5049.0,4955.0,5005.0,1608128,720136,4995.0,白糖,农产品,CZCE,SR0
2015-01-27,5017.0,5134.0,5002.0,5082.0,1893456,728532,5074.0,白糖,农产品,CZCE,SR0
2015-01-28,5059.0,5064.0,4951.0,4980.0,1840252,656768,5003.0,白糖,农产品,CZCE,SR0
2015-01-29,4988.0,5015.0,4964.0,4982.0,1098980,643490,4987.0,白糖,农产品,CZCE,SR0
2015-01-30,4968.0,4976.0,4898.0,4907.0,1400906,600940,4939.0,白糖,农产品,CZCE,SR0
2015-02-02,4907.0,5030.0,4880.0,5017.0,1460318,648974,4972.0,白糖,农产品,CZCE,SR0
2015-02-03,5020.0,5041.0,4926.0,5003.0,1652622,620094,4983.0,白糖,农产品,CZCE,SR0
2015-02-04,5024.0,5057.0,4998.0,4999.0,1637364,601774,5026.0,白糖,农产品,CZCE,SR0
2015-02-05,5022.0,5037.0,4966.0,4974.0,1335202,565044,4997.0,白糖,农产品,CZCE,SR0
2015-02-06,4986.0,5025.0,4950.0,5007.0,1501108,563994,4987.0,白糖,农产品,CZCE,SR0
2015-02-09,4991.0,5034.0,4967.0,5010.0,1403386,561054,4997.0,白糖,农产品,CZCE,SR0
2015-02-10,5020.0,5112.0,5006.0,5088.0,1711694,626108,5061.0,白糖,农产品,CZCE,SR0
2015-02-11,5084.0,5114.0,5070.0,5107.0,1239574,616426,5092.0,白糖,农产品,CZCE,SR0
2015-02-12,5100.0,5138.0,5080.0,5124.0,1791832,619620,5112.0,白糖,农产品,CZCE,SR0
2015-02-13,5124.0,5148.0,5089.0,5121.0,1534576,553232,5122.0,白糖,农产品,CZCE,SR0
2015-02-16,5163.0,5203.0,5138.0,5172.0,324954,604610,5173.0,白糖,农产品,CZCE,SR0
2015-02-17,5172.0,5194.0,5143.0,5190.0,156396,609768,5172.0,白糖,农产品,CZCE,SR0
2015-02-25,5065.0,5085.0,4990.0,5004.0,480418,474922,5026.0,白糖,农产品,CZCE,SR0
2015-02-26,5065.0,5072.0,5006.0,5041.0,427900,667410,5041.0,白糖,农产品,CZCE,SR0
2015-02-27,5050.0,5155.0,5042.0,5113.0,607690,661560,5096.0,白糖,农产品,CZCE,SR0
2015-03-02,5110.0,5219.0,5102.0,5209.0,682424,710172,5164.0,白糖,农产品,CZCE,SR0
2015-03-03,5214.0,5223.0,5164.0,5178.0,544544,679386,5190.0,白糖,农产品,CZCE,SR0
2015-03-04,5171.0,5208.0,5142.0,5153.0,526764,659782,5172.0,白糖,农产品,CZCE,SR0
2015-03-05,5149.0,5165.0,5080.0,5097.0,558088,625100,5118.0,白糖,农产品,CZCE,SR0
2015-03-06,5106.0,5166.0,5089.0,5094.0,667438,649432,5123.0,白糖,农产品,CZCE,SR0
2015-03-09,5102.0,5110.0,4918.0,4926.0,1592968,634506,4964.0,白糖,农产品,CZCE,SR0
2015-03-10,4920.0,4990.0,4920.0,4950.0,893046,607596,4961.0,白糖,农产品,CZCE,SR0
2015-03-11,4926.0,4994.0,4912.0,4955.0,1147178,620380,4968.0,白糖,农产品,CZCE,SR0
2015-03-12,4956.0,5052.0,4956.0,5050.0,833634,590822,4991.0,白糖,农产品,CZCE,SR0
2015-03-13,5051.0,5085.0,5029.0,5080.0,1011052,617400,5058.0,白糖,农产品,CZCE,SR0
2015-03-16,5051.0,5090.0,5020.0,5066.0,1168844,623642,5051.0,白糖,农产品,CZCE,SR0
2015-03-17,5075.0,5094.0,5055.0,5070.0,734254,640064,5075.0,白糖,农产品,CZCE,SR0
2015-03-18,5065.0,5083.0,4993.0,5012.0,1018006,658862,5045.0,白糖,农产品,CZCE,SR0
2015-03-19,5018.0,5026.0,4966.0,5006.0,922338,640680,4998.0,白糖,农产品,CZCE,SR0
2015-03-20,4984.0,5013.0,4956.0,4998.0,1021586,633760,4985.0,白糖,农产品,CZCE,SR0
2015-03-23,4978.0,5090.0,4976.0,5074.0,1016606,650772,5048.0,白糖,农产品,CZCE,SR0
2015-03-24,5071.0,5254.0,5070.0,5254.0,1624458,682378,5170.0,白糖,农产品,CZCE,SR0
2015-03-25,5280.0,5285.0,5184.0,5224.0,1423280,605436,5233.0,白糖,农产品,CZCE,SR0
2015-03-26,5236.0,5253.0,5192.0,5246.0,1093244,638308,5229.0,白糖,农产品,CZCE,SR0
2015-03-27,5240.0,5326.0,5190.0,5307.0,1480670,702590,5242.0,白糖,农产品,CZCE,SR0
2015-03-30,5313.0,5411.0,5297.0,5380.0,1925636,716512,5343.0,白糖,农产品,CZCE,SR0
2015-03-31,5380.0,5406.0,5323.0,5363.0,1274102,694590,5364.0,白糖,农产品,CZCE,SR0
2015-04-01,5360.0,5433.0,5338.0,5414.0,1416876,741258,5392.0,白糖,农产品,CZCE,SR0
2015-04-02,5428.0,5438.0,5394.0,5422.0,987404,747184,5415.0,白糖,农产品,CZCE,SR0
2015-04-03,5433.0,5445.0,5321.0,5387.0,1564406,716792,5361.0,白糖,农产品,CZCE,SR0
2015-04-07,5366.0,5398.0,5341.0,5362.0,469586,720840,5362.0,白糖,农产品,CZCE,SR0
2015-04-08,5353.0,5429.0,5313.0,5412.0,1372684,770914,5367.0,白糖,农产品,CZCE,SR0
2015-04-09,5414.0,5452.0,5367.0,5410.0,1247136,776384,5411.0,白糖,农产品,CZCE,SR0
2015-04-10,5395.0,5464.0,5360.0,5446.0,1340334,832434,5412.0,白糖,农产品,CZCE,SR0
2015-04-13,5448.0,5557.0,5411.0,5529.0,1591312,937848,5495.0,白糖,农产品,CZCE,SR0
2015-04-14,5518.0,5560.0,5509.0,5542.0,1136662,919882,5535.0,白糖,农产品,CZCE,SR0
2015-04-15,5530.0,5568.0,5515.0,5535.0,1129204,928226,5539.0,白糖,农产品,CZCE,SR0
2015-04-16,5526.0,5548.0,5484.0,5516.0,1368658,917888,5519.0,白糖,农产品,CZCE,SR0
