date,open,high,low,close,volume,hold,settle,品种,类别,交易所,合约代码
2015-01-05,6002.0,6036.0,5950.0,6008.0,42986,126550,6002.0,菜籽油,农产品,CZCE,OI0
2015-01-06,6094.0,6094.0,6044.0,6068.0,30276,129796,6066.0,菜籽油,农产品,CZCE,OI0
2015-01-07,6072.0,6084.0,6012.0,6046.0,45932,126034,6044.0,菜籽油,农产品,CZCE,OI0
2015-01-08,6062.0,6178.0,6062.0,6120.0,132832,141480,6138.0,菜籽油,农产品,CZCE,OI0
2015-01-09,6150.0,6158.0,6074.0,6110.0,66382,142922,6120.0,菜籽油,农产品,CZCE,OI0
2015-01-12,6116.0,6158.0,6092.0,6114.0,35574,141712,6128.0,菜籽油,农产品,CZCE,OI0
2015-01-13,6016.0,6050.0,6012.0,6016.0,44940,141856,6030.0,菜籽油,农产品,CZCE,OI0
2015-01-14,5994.0,6042.0,5960.0,5992.0,56946,141268,5994.0,菜籽油,农产品,CZCE,OI0
2015-01-15,5992.0,6018.0,5934.0,5946.0,102124,153002,5974.0,菜籽油,农产品,CZCE,OI0
2015-01-16,5920.0,5952.0,5890.0,5936.0,83716,154074,5922.0,菜籽油,农产品,CZCE,OI0
2015-01-19,5956.0,6032.0,5850.0,5948.0,135162,154432,5970.0,菜籽油,农产品,CZCE,OI0
2015-01-20,5924.0,5978.0,5924.0,5978.0,42404,158340,5952.0,菜籽油,农产品,CZCE,OI0
2015-01-21,5968.0,6004.0,5926.0,5978.0,55942,156218,5972.0,菜籽油,农产品,CZCE,OI0
2015-01-22,5968.0,6000.0,5954.0,5966.0,39186,153428,5980.0,菜籽油,农产品,CZCE,OI0
2015-01-23,5948.0,5968.0,5936.0,5954.0,53198,149974,5948.0,菜籽油,农产品,CZCE,OI0
2015-01-26,5926.0,5942.0,5906.0,5928.0,43656,145424,5922.0,菜籽油,农产品,CZCE,OI0
2015-01-27,5924.0,5988.0,5914.0,5926.0,47744,145334,5946.0,菜籽油,农产品,CZCE,OI0
2015-01-28,5932.0,5954.0,5904.0,5946.0,45564,137530,5928.0,菜籽油,农产品,CZCE,OI0
2015-01-29,5898.0,5930.0,5868.0,5870.0,74492,132112,5894.0,菜籽油,农产品,CZCE,OI0
2015-01-30,5800.0,5812.0,5690.0,5762.0,137714,146064,5752.0,菜籽油,农产品,CZCE,OI0
2015-02-02,5790.0,5840.0,5754.0,5760.0,49438,139370,5790.0,菜籽油,农产品,CZCE,OI0
2015-02-03,5800.0,5810.0,5762.0,5766.0,53828,145554,5786.0,菜籽油,农产品,CZCE,OI0
2015-02-04,5816.0,5868.0,5754.0,5780.0,87122,133688,5806.0,菜籽油,农产品,CZCE,OI0
2015-02-05,5750.0,5808.0,5744.0,5764.0,52452,128870,5774.0,菜籽油,农产品,CZCE,OI0
2015-02-06,5820.0,5860.0,5780.0,5794.0,106596,127894,5814.0,菜籽油,农产品,CZCE,OI0
2015-02-09,5780.0,5808.0,5764.0,5780.0,32682,127360,5782.0,菜籽油,农产品,CZCE,OI0
2015-02-10,5776.0,5816.0,5776.0,5796.0,28202,125648,5796.0,菜籽油,农产品,CZCE,OI0
2015-02-11,5776.0,5798.0,5770.0,5790.0,20630,120998,5784.0,菜籽油,农产品,CZCE,OI0
2015-02-12,5786.0,5798.0,5764.0,5780.0,33216,112230,5776.0,菜籽油,农产品,CZCE,OI0
2015-02-13,5812.0,5866.0,5800.0,5848.0,41894,107028,5830.0,菜籽油,农产品,CZCE,OI0
2015-02-16,5876.0,5890.0,5816.0,5832.0,19666,104082,5840.0,菜籽油,农产品,CZCE,OI0
2015-02-17,5838.0,5850.0,5820.0,5832.0,9868,103392,5832.0,菜籽油,农产品,CZCE,OI0
2015-02-26,5820.0,5856.0,5812.0,5836.0,24302,103344,5836.0,菜籽油,农产品,CZCE,OI0
2015-02-27,5838.0,5988.0,5824.0,5966.0,73218,91624,5916.0,菜籽油,农产品,CZCE,OI0
2015-03-02,6018.0,6066.0,5996.0,6056.0,42536,84838,6030.0,菜籽油,农产品,CZCE,OI0
2015-03-03,6022.0,6022.0,5960.0,5982.0,29856,82426,5986.0,菜籽油,农产品,CZCE,OI0
2015-03-04,5966.0,6020.0,5952.0,5990.0,26568,84106,5992.0,菜籽油,农产品,CZCE,OI0
2015-03-05,5906.0,5906.0,5876.0,5892.0,18000,81692,5894.0,菜籽油,农产品,CZCE,OI0
2015-03-06,5848.0,5858.0,5826.0,5842.0,25878,72558,5844.0,菜籽油,农产品,CZCE,OI0
2015-03-09,5844.0,5878.0,5824.0,5856.0,27332,72262,5842.0,菜籽油,农产品,CZCE,OI0
2015-03-10,5880.0,5886.0,5828.0,5828.0,21164,75634,5862.0,菜籽油,农产品,CZCE,OI0
2015-03-11,5848.0,5896.0,5824.0,5888.0,24604,81502,5868.0,菜籽油,农产品,CZCE,OI0
2015-03-12,5900.0,5916.0,5862.0,5866.0,27170,87388,5882.0,菜籽油,农产品,CZCE,OI0
2015-03-13,5852.0,5882.0,5840.0,5854.0,23094,88814,5862.0,菜籽油,农产品,CZCE,OI0
2015-03-16,5802.0,5820.0,5784.0,5796.0,44822,95054,5802.0,菜籽油,农产品,CZCE,OI0
2015-03-17,5808.0,5822.0,5796.0,5808.0,25634,97460,5808.0,菜籽油,农产品,CZCE,OI0
2015-03-18,5780.0,5816.0,5772.0,5810.0,32646,96778,5794.0,菜籽油,农产品,CZCE,OI0
2015-03-19,5864.0,5912.0,5840.0,5842.0,58264,101724,5884.0,菜籽油,农产品,CZCE,OI0
2015-03-20,5854.0,5866.0,5824.0,5828.0,29314,102108,5842.0,菜籽油,农产品,CZCE,OI0
2015-03-23,5860.0,5888.0,5852.0,5876.0,21950,102792,5874.0,菜籽油,农产品,CZCE,OI0
2015-03-24,5920.0,5936.0,5874.0,5908.0,31602,103204,5900.0,菜籽油,农产品,CZCE,OI0
2015-03-25,5890.0,5910.0,5872.0,5872.0,17612,103364,5886.0,菜籽油,农产品,CZCE,OI0
2015-03-26,5882.0,5920.0,5854.0,5900.0,26340,102916,5896.0,菜籽油,农产品,CZCE,OI0
2015-03-27,5894.0,5894.0,5858.0,5868.0,27692,106004,5872.0,菜籽油,农产品,CZCE,OI0
2015-03-30,5836.0,5852.0,5812.0,5834.0,30564,109998,5830.0,菜籽油,农产品,CZCE,OI0
2015-03-31,5826.0,5838.0,5812.0,5826.0,22222,111226,5826.0,菜籽油,农产品,CZCE,OI0
2015-04-01,5840.0,5878.0,5828.0,5828.0,31640,110270,5852.0,菜籽油,农产品,CZCE,OI0
2015-04-02,5856.0,5864.0,5844.0,5856.0,21440,110796,5856.0,菜籽油,农产品,CZCE,OI0
2015-04-03,5852.0,5868.0,5834.0,5856.0,18054,111316,5848.0,菜籽油,农产品,CZCE,OI0
2015-04-07,5886.0,5912.0,5864.0,5876.0,33640,109762,5880.0,菜籽油,农产品,CZCE,OI0
2015-04-08,5872.0,5872.0,5808.0,5834.0,29880,114040,5840.0,菜籽油,农产品,CZCE,OI0
2015-04-09,5820.0,5842.0,5812.0,5826.0,26534,117184,5826.0,菜籽油,农产品,CZCE,OI0
2015-04-10,5836.0,5868.0,5822.0,5826.0,18698,116132,5840.0,菜籽油,农产品,CZCE,OI0
2015-04-13,5866.0,5886.0,5852.0,5866.0,35656,113670,5864.0,菜籽油,农产品,CZCE,OI0
2015-04-14,5870.0,5870.0,5842.0,5852.0,17212,109766,5856.0,菜籽油,农产品,CZCE,OI0
2015-04-15,5878.0,5960.0,5878.0,5930.0,77632,112262,5914.0,菜籽油,农产品,CZCE,OI0
2015-04-16,5994.0,6018.0,5938.0,5948.0,51792,113146,5986.0,菜籽油,农产品,CZCE,OI0
2015-04-17,5956.0,5972.0,5942.0,5956.0,23296,113566,5958.0,菜籽油,农产品,CZCE,OI0
2015-04-20,5960.0,6026.0,5958.0,6024.0,50160,109212,5990.0,菜籽油,农产品,CZCE,OI0
2015-04-21,6042.0,6070.0,6006.0,6026.0,46538,113236,6040.0,菜籽油,农产品,CZCE,OI0
2015-04-22,6014.0,6034.0,5980.0,6002.0,34330,114132,5996.0,菜籽油,农产品,CZCE,OI0
2015-04-23,6000.0,6038.0,5980.0,5984.0,37084,118098,6010.0,菜籽油,农产品,CZCE,OI0
2015-04-24,6038.0,6048.0,5994.0,6016.0,51634,109546,6018.0,菜籽油,农产品,CZCE,OI0
