date,open,high,low,close,volume,hold,settle,品种,类别,交易所,合约代码
2015-01-05,2214.0,2231.0,2203.0,2207.0,1100870,913176,2217.0,菜籽粕,农产品,CZCE,RM0
2015-01-06,2220.0,2263.0,2212.0,2243.0,1277816,862134,2241.0,菜籽粕,农产品,CZCE,RM0
2015-01-07,2251.0,2269.0,2234.0,2244.0,1348504,888732,2252.0,菜籽粕,农产品,CZCE,RM0
2015-01-08,2248.0,2265.0,2238.0,2257.0,1142558,882012,2250.0,菜籽粕,农产品,CZCE,RM0
2015-01-09,2257.0,2267.0,2223.0,2230.0,1421152,925856,2242.0,菜籽粕,农产品,CZCE,RM0
2015-01-12,2232.0,2243.0,2225.0,2231.0,879768,904518,2233.0,菜籽粕,农产品,CZCE,RM0
2015-01-13,2226.0,2236.0,2175.0,2195.0,1331602,981434,2198.0,菜籽粕,农产品,CZCE,RM0
2015-01-14,2187.0,2198.0,2126.0,2129.0,1722766,1000516,2157.0,菜籽粕,农产品,CZCE,RM0
2015-01-15,2128.0,2162.0,2110.0,2154.0,1419910,954094,2140.0,菜籽粕,农产品,CZCE,RM0
2015-01-16,2153.0,2169.0,2107.0,2132.0,1895974,1029920,2133.0,菜籽粕,农产品,CZCE,RM0
2015-01-19,2138.0,2167.0,2062.0,2108.0,2760126,919774,2118.0,菜籽粕,农产品,CZCE,RM0
2015-01-20,2110.0,2115.0,2081.0,2108.0,2013796,920812,2099.0,菜籽粕,农产品,CZCE,RM0
2015-01-21,2106.0,2161.0,2095.0,2141.0,2710326,971446,2130.0,菜籽粕,农产品,CZCE,RM0
2015-01-22,2136.0,2168.0,2133.0,2152.0,1617230,995964,2154.0,菜籽粕,农产品,CZCE,RM0
2015-01-23,2164.0,2164.0,2115.0,2133.0,1651454,1032376,2131.0,菜籽粕,农产品,CZCE,RM0
2015-01-26,2125.0,2139.0,2100.0,2128.0,1669960,1044194,2121.0,菜籽粕,农产品,CZCE,RM0
2015-01-27,2128.0,2165.0,2121.0,2142.0,1958020,960232,2144.0,菜籽粕,农产品,CZCE,RM0
2015-01-28,2147.0,2154.0,2117.0,2125.0,1819114,948014,2134.0,菜籽粕,农产品,CZCE,RM0
2015-01-29,2119.0,2129.0,2108.0,2120.0,1464150,968860,2116.0,菜籽粕,农产品,CZCE,RM0
2015-01-30,2117.0,2138.0,2113.0,2131.0,1531216,916972,2127.0,菜籽粕,农产品,CZCE,RM0
2015-02-02,2130.0,2131.0,2087.0,2099.0,2048912,1016280,2105.0,菜籽粕,农产品,CZCE,RM0
2015-02-03,2104.0,2146.0,2100.0,2137.0,1841010,931860,2125.0,菜籽粕,农产品,CZCE,RM0
2015-02-04,2146.0,2195.0,2132.0,2158.0,1725790,810250,2163.0,菜籽粕,农产品,CZCE,RM0
2015-02-05,2163.0,2171.0,2146.0,2160.0,1400000,812122,2159.0,菜籽粕,农产品,CZCE,RM0
2015-02-06,2164.0,2183.0,2161.0,2168.0,1353480,813976,2172.0,菜籽粕,农产品,CZCE,RM0
2015-02-09,2172.0,2183.0,2152.0,2182.0,1240502,811744,2168.0,菜籽粕,农产品,CZCE,RM0
2015-02-10,2177.0,2202.0,2173.0,2187.0,1347078,812872,2188.0,菜籽粕,农产品,CZCE,RM0
2015-02-11,2182.0,2194.0,2168.0,2188.0,1166534,788192,2182.0,菜籽粕,农产品,CZCE,RM0
2015-02-12,2183.0,2189.0,2174.0,2186.0,727658,729996,2183.0,菜籽粕,农产品,CZCE,RM0
2015-02-13,2192.0,2249.0,2186.0,2248.0,1532026,746810,2219.0,菜籽粕,农产品,CZCE,RM0
2015-02-16,2244.0,2275.0,2241.0,2261.0,1104356,694120,2259.0,菜籽粕,农产品,CZCE,RM0
2015-02-17,2258.0,2293.0,2250.0,2279.0,631366,659016,2267.0,菜籽粕,农产品,CZCE,RM0
2015-02-24,2280.0,2280.0,2280.0,2280.0,94,659110,2280.0,菜籽粕,农产品,CZCE,RM0
2015-02-25,2305.0,2320.0,2285.0,2298.0,564534,646864,2302.0,菜籽粕,农产品,CZCE,RM0
2015-02-26,2295.0,2331.0,2293.0,2323.0,1082050,706064,2314.0,菜籽粕,农产品,CZCE,RM0
2015-02-27,2328.0,2382.0,2328.0,2375.0,1743200,693860,2355.0,菜籽粕,农产品,CZCE,RM0
2015-03-02,2375.0,2418.0,2363.0,2405.0,1648948,661716,2392.0,菜籽粕,农产品,CZCE,RM0
2015-03-03,2295.0,2305.0,2233.0,2245.0,1117188,717064,2267.0,菜籽粕,农产品,CZCE,RM0
2015-03-04,2247.0,2260.0,2226.0,2248.0,799528,731552,2245.0,菜籽粕,农产品,CZCE,RM0
2015-03-05,2239.0,2243.0,2202.0,2219.0,858176,729528,2218.0,菜籽粕,农产品,CZCE,RM0
2015-03-06,2216.0,2238.0,2197.0,2201.0,869224,766284,2219.0,菜籽粕,农产品,CZCE,RM0
2015-03-09,2204.0,2245.0,2181.0,2238.0,1305996,829284,2218.0,菜籽粕,农产品,CZCE,RM0
2015-03-10,2232.0,2255.0,2232.0,2238.0,1326972,898814,2245.0,菜籽粕,农产品,CZCE,RM0
2015-03-11,2236.0,2325.0,2214.0,2296.0,3731826,1153664,2281.0,菜籽粕,农产品,CZCE,RM0
2015-03-12,2295.0,2334.0,2292.0,2317.0,3358374,1308258,2311.0,菜籽粕,农产品,CZCE,RM0
2015-03-13,2311.0,2332.0,2256.0,2261.0,4320886,1322408,2289.0,菜籽粕,农产品,CZCE,RM0
2015-03-16,2255.0,2261.0,2216.0,2238.0,2730750,1289148,2242.0,菜籽粕,农产品,CZCE,RM0
2015-03-17,2246.0,2267.0,2226.0,2242.0,2519030,1352232,2248.0,菜籽粕,农产品,CZCE,RM0
2015-03-18,2234.0,2241.0,2209.0,2210.0,2066958,1365306,2226.0,菜籽粕,农产品,CZCE,RM0
2015-03-19,2215.0,2248.0,2201.0,2229.0,2336800,1384906,2228.0,菜籽粕,农产品,CZCE,RM0
2015-03-20,2221.0,2240.0,2206.0,2234.0,2136052,1404120,2223.0,菜籽粕,农产品,CZCE,RM0
2015-03-23,2235.0,2286.0,2232.0,2275.0,2786000,1514928,2263.0,菜籽粕,农产品,CZCE,RM0
2015-03-24,2277.0,2298.0,2253.0,2288.0,3415748,1573708,2280.0,菜籽粕,农产品,CZCE,RM0
2015-03-25,2288.0,2295.0,2264.0,2268.0,3264014,1563924,2279.0,菜籽粕,农产品,CZCE,RM0
2015-03-26,2271.0,2285.0,2241.0,2243.0,2486134,1548188,2261.0,菜籽粕,农产品,CZCE,RM0
2015-03-27,2239.0,2249.0,2221.0,2248.0,2083550,1565656,2236.0,菜籽粕,农产品,CZCE,RM0
2015-03-30,2241.0,2258.0,2228.0,2231.0,2412568,1624372,2242.0,菜籽粕,农产品,CZCE,RM0
2015-03-31,2225.0,2242.0,2212.0,2228.0,2594546,1616478,2230.0,菜籽粕,农产品,CZCE,RM0
2015-04-01,2226.0,2301.0,2221.0,2273.0,3829510,1691244,2271.0,菜籽粕,农产品,CZCE,RM0
2015-04-02,2270.0,2295.0,2252.0,2257.0,2494722,1682330,2271.0,菜籽粕,农产品,CZCE,RM0
2015-04-03,2250.0,2256.0,2230.0,2238.0,2095596,1611646,2242.0,菜籽粕,农产品,CZCE,RM0
2015-04-07,2223.0,2252.0,2223.0,2237.0,1516544,1672258,2238.0,菜籽粕,农产品,CZCE,RM0
2015-04-08,2232.0,2242.0,2202.0,2234.0,2195730,1751128,2229.0,菜籽粕,农产品,CZCE,RM0
2015-04-09,2232.0,2237.0,2165.0,2165.0,2997358,1759304,2198.0,菜籽粕,农产品,CZCE,RM0
2015-04-10,2161.0,2172.0,2130.0,2132.0,2799228,1674206,2153.0,菜籽粕,农产品,CZCE,RM0
2015-04-13,2135.0,2156.0,2117.0,2147.0,2438264,1654326,2139.0,菜籽粕,农产品,CZCE,RM0
2015-04-14,2150.0,2162.0,2139.0,2162.0,1946128,1628284,2151.0,菜籽粕,农产品,CZCE,RM0
