date,open,high,low,close,volume,hold,settle,品种,类别,交易所,合约代码
2015-01-05,2802.0,2828.0,2802.0,2805.0,1133224,2128376,2816.0,豆粕,农产品,DCE,M0
2015-01-06,2816.0,2873.0,2811.0,2849.0,1638688,1857150,2848.0,豆粕,农产品,DCE,M0
2015-01-07,2860.0,2881.0,2846.0,2858.0,1282780,1842564,2863.0,豆粕,农产品,DCE,M0
2015-01-08,2863.0,2873.0,2850.0,2864.0,931688,1879400,2861.0,豆粕,农产品,DCE,M0
2015-01-09,2863.0,2873.0,2820.0,2831.0,1413136,1994680,2842.0,豆粕,农产品,DCE,M0
2015-01-12,2835.0,2849.0,2826.0,2837.0,836516,1983200,2837.0,豆粕,农产品,DCE,M0
2015-01-13,2830.0,2846.0,2770.0,2785.0,1807898,2184950,2797.0,豆粕,农产品,DCE,M0
2015-01-14,2782.0,2792.0,2716.0,2719.0,2093774,2281052,2750.0,豆粕,农产品,DCE,M0
2015-01-15,2718.0,2755.0,2702.0,2746.0,2024042,2140580,2732.0,豆粕,农产品,DCE,M0
2015-01-16,2741.0,2765.0,2692.0,2710.0,2806146,2253938,2720.0,豆粕,农产品,DCE,M0
2015-01-19,2713.0,2735.0,2620.0,2681.0,3603260,2048538,2691.0,豆粕,农产品,DCE,M0
2015-01-20,2681.0,2683.0,2644.0,2669.0,2109820,2081390,2662.0,豆粕,农产品,DCE,M0
2015-01-21,2669.0,2730.0,2645.0,2693.0,2825926,2107458,2682.0,豆粕,农产品,DCE,M0
2015-01-22,2690.0,2721.0,2682.0,2698.0,2285610,2187792,2700.0,豆粕,农产品,DCE,M0
2015-01-23,2711.0,2711.0,2663.0,2681.0,2016936,2194440,2679.0,豆粕,农产品,DCE,M0
2015-01-26,2671.0,2698.0,2658.0,2674.0,2383954,2236424,2679.0,豆粕,农产品,DCE,M0
2015-01-27,2670.0,2720.0,2669.0,2695.0,2215258,2181984,2695.0,豆粕,农产品,DCE,M0
2015-01-28,2696.0,2702.0,2676.0,2691.0,1573514,2167684,2688.0,豆粕,农产品,DCE,M0
2015-01-29,2684.0,2702.0,2673.0,2686.0,1528462,2140312,2685.0,豆粕,农产品,DCE,M0
2015-01-30,2682.0,2702.0,2677.0,2694.0,1672080,2102938,2692.0,豆粕,农产品,DCE,M0
2015-02-02,2697.0,2697.0,2655.0,2665.0,2221282,2231834,2671.0,豆粕,农产品,DCE,M0
2015-02-03,2671.0,2701.0,2663.0,2691.0,1870170,2224246,2682.0,豆粕,农产品,DCE,M0
2015-02-04,2699.0,2752.0,2689.0,2720.0,3041890,2117758,2721.0,豆粕,农产品,DCE,M0
2015-02-05,2721.0,2727.0,2700.0,2716.0,1539530,2088058,2714.0,豆粕,农产品,DCE,M0
2015-02-06,2721.0,2742.0,2716.0,2725.0,1684274,2038138,2727.0,豆粕,农产品,DCE,M0
2015-02-09,2731.0,2738.0,2712.0,2737.0,1413060,2008488,2726.0,豆粕,农产品,DCE,M0
2015-02-10,2732.0,2759.0,2729.0,2734.0,1591966,1955180,2743.0,豆粕,农产品,DCE,M0
2015-02-11,2731.0,2759.0,2724.0,2744.0,1658578,1974310,2740.0,豆粕,农产品,DCE,M0
2015-02-12,2738.0,2749.0,2735.0,2742.0,693770,1936714,2741.0,豆粕,农产品,DCE,M0
2015-02-13,2745.0,2795.0,2743.0,2794.0,1557154,1848922,2769.0,豆粕,农产品,DCE,M0
2015-02-16,2786.0,2819.0,2785.0,2799.0,1128734,1776156,2804.0,豆粕,农产品,DCE,M0
2015-02-17,2793.0,2814.0,2789.0,2809.0,446456,1716552,2800.0,豆粕,农产品,DCE,M0
2015-02-25,2848.0,2869.0,2831.0,2838.0,597144,1702566,2844.0,豆粕,农产品,DCE,M0
2015-02-26,2838.0,2865.0,2832.0,2851.0,979856,1724848,2849.0,豆粕,农产品,DCE,M0
2015-02-27,2818.0,2880.0,2808.0,2864.0,2140000,1992600,2843.0,豆粕,农产品,DCE,M0
2015-03-02,2869.0,2875.0,2842.0,2861.0,1904162,2182690,2859.0,豆粕,农产品,DCE,M0
2015-03-03,2853.0,2864.0,2807.0,2820.0,2058066,2300520,2831.0,豆粕,农产品,DCE,M0
2015-03-04,2823.0,2826.0,2795.0,2817.0,1563664,2402506,2811.0,豆粕,农产品,DCE,M0
2015-03-05,2805.0,2809.0,2769.0,2781.0,1620220,2386236,2784.0,豆粕,农产品,DCE,M0
2015-03-06,2781.0,2801.0,2761.0,2762.0,1734038,2486742,2781.0,豆粕,农产品,DCE,M0
2015-03-09,2766.0,2798.0,2754.0,2787.0,1894096,2532186,2780.0,豆粕,农产品,DCE,M0
2015-03-10,2782.0,2807.0,2782.0,2786.0,1637750,2526668,2793.0,豆粕,农产品,DCE,M0
2015-03-11,2783.0,2844.0,2766.0,2822.0,3597522,2658142,2804.0,豆粕,农产品,DCE,M0
2015-03-12,2820.0,2858.0,2811.0,2839.0,2935928,2707320,2833.0,豆粕,农产品,DCE,M0
2015-03-13,2838.0,2847.0,2802.0,2810.0,3339740,2731938,2821.0,豆粕,农产品,DCE,M0
2015-03-16,2802.0,2809.0,2766.0,2785.0,2193840,2796188,2787.0,豆粕,农产品,DCE,M0
2015-03-17,2792.0,2810.0,2778.0,2781.0,2045880,2925680,2792.0,豆粕,农产品,DCE,M0
2015-03-18,2775.0,2781.0,2750.0,2752.0,2067994,3033172,2766.0,豆粕,农产品,DCE,M0
2015-03-19,2761.0,2797.0,2750.0,2776.0,1863808,3062468,2772.0,豆粕,农产品,DCE,M0
2015-03-20,2768.0,2777.0,2756.0,2773.0,1635004,3072698,2766.0,豆粕,农产品,DCE,M0
2015-03-23,2775.0,2816.0,2771.0,2806.0,2209604,3181598,2796.0,豆粕,农产品,DCE,M0
2015-03-24,2804.0,2827.0,2787.0,2818.0,2408170,3241714,2810.0,豆粕,农产品,DCE,M0
2015-03-25,2815.0,2821.0,2795.0,2799.0,2111250,3239636,2806.0,豆粕,农产品,DCE,M0
2015-03-26,2803.0,2811.0,2777.0,2780.0,1920590,3272778,2793.0,豆粕,农产品,DCE,M0
2015-03-27,2773.0,2784.0,2763.0,2782.0,1588942,3299814,2775.0,豆粕,农产品,DCE,M0
2015-03-30,2776.0,2781.0,2757.0,2763.0,1833266,3334668,2768.0,豆粕,农产品,DCE,M0
2015-03-31,2760.0,2766.0,2737.0,2753.0,2352584,3359370,2752.0,豆粕,农产品,DCE,M0
2015-04-01,2748.0,2822.0,2746.0,2794.0,4194538,3258912,2789.0,豆粕,农产品,DCE,M0
2015-04-02,2794.0,2817.0,2787.0,2798.0,2342528,3239996,2803.0,豆粕,农产品,DCE,M0
2015-04-03,2790.0,2799.0,2770.0,2773.0,2003270,3219262,2784.0,豆粕,农产品,DCE,M0
2015-04-07,2765.0,2789.0,2762.0,2768.0,1015032,3318882,2772.0,豆粕,农产品,DCE,M0
2015-04-08,2760.0,2771.0,2750.0,2763.0,1653240,3420206,2761.0,豆粕,农产品,DCE,M0
2015-04-09,2763.0,2769.0,2708.0,2708.0,2683294,3605968,2732.0,豆粕,农产品,DCE,M0
2015-04-10,2708.0,2715.0,2676.0,2682.0,2819572,3605558,2697.0,豆粕,农产品,DCE,M0
