date,open,high,low,close,volume,hold,settle,品种,类别,交易所,合约代码
2015-01-05,2535.0,2551.0,2535.0,2538.0,498,11510,2535.0,小麦,农产品,CZCE,WH0
2015-01-05,13040.0,13080.0,12890.0,13030.0,247762,473520,13010.0,棉花,农产品,CZCE,CF0
2015-01-05,2377.0,2381.0,2369.0,2377.0,46870,154530,2375.0,玉米,农产品,DCE,C0
2015-01-05,4580.0,4580.0,4525.0,4552.0,516190,641602,4551.0,白糖,农产品,CZCE,SR0
2015-01-05,6002.0,6036.0,5950.0,6008.0,42986,126550,6002.0,菜籽油,农产品,CZCE,OI0
2015-01-05,2214.0,2231.0,2203.0,2207.0,1100870,913176,2217.0,菜籽粕,农产品,CZCE,RM0
2015-01-05,2802.0,2828.0,2802.0,2805.0,1133224,2128376,2816.0,豆粕,农产品,DCE,M0
2015-01-05,4488.0,4504.0,4446.0,4497.0,72400,257298,4486.0,黄大豆一号,农产品,DCE,A0
2015-01-06,2539.0,2544.0,2536.0,2536.0,198,11398,2540.0,小麦,农产品,CZCE,WH0
2015-01-06,13020.0,13150.0,13015.0,13110.0,174140,478214,13090.0,棉花,农产品,CZCE,CF0
2015-01-06,2387.0,2394.0,2386.0,2389.0,47668,147544,2390.0,玉米,农产品,DCE,C0
2015-01-06,4531.0,4616.0,4531.0,4586.0,632142,669876,4588.0,白糖,农产品,CZCE,SR0
2015-01-06,6094.0,6094.0,6044.0,6068.0,30276,129796,6066.0,菜籽油,农产品,CZCE,OI0
2015-01-06,2220.0,2263.0,2212.0,2243.0,1277816,862134,2241.0,菜籽粕,农产品,CZCE,RM0
2015-01-06,2816.0,2873.0,2811.0,2849.0,1638688,1857150,2848.0,豆粕,农产品,DCE,M0
2015-01-06,4500.0,4548.0,4486.0,4503.0,176706,257146,4514.0,黄大豆一号,农产品,DCE,A0
2015-01-07,2545.0,2545.0,2535.0,2535.0,8,11298,2538.0,小麦,农产品,CZCE,WH0
2015-01-07,13120.0,13210.0,13050.0,13070.0,193080,474024,13130.0,棉花,农产品,CZCE,CF0
2015-01-07,2389.0,2397.0,2386.0,2397.0,35484,153148,2393.0,玉米,农产品,DCE,C0
2015-01-07,4587.0,4694.0,4586.0,4660.0,1183202,661768,4653.0,白糖,农产品,CZCE,SR0
2015-01-07,6072.0,6084.0,6012.0,6046.0,45932,126034,6044.0,菜籽油,农产品,CZCE,OI0
2015-01-07,2251.0,2269.0,2234.0,2244.0,1348504,888732,2252.0,菜籽粕,农产品,CZCE,RM0
2015-01-07,2860.0,2881.0,2846.0,2858.0,1282780,1842564,2863.0,豆粕,农产品,DCE,M0
2015-01-07,4514.0,4528.0,4480.0,4505.0,102236,259540,4503.0,黄大豆一号,农产品,DCE,A0
2015-01-08,2540.0,2545.0,2535.0,2540.0,136,10380,2540.0,小麦,农产品,CZCE,WH0
2015-01-08,13080.0,13180.0,13035.0,13145.0,174134,479466,13125.0,棉花,农产品,CZCE,CF0
2015-01-08,2398.0,2409.0,2393.0,2406.0,48352,149164,2400.0,玉米,农产品,DCE,C0
2015-01-08,4660.0,4686.0,4657.0,4673.0,850562,654472,4671.0,白糖,农产品,CZCE,SR0
2015-01-08,6062.0,6178.0,6062.0,6120.0,132832,141480,6138.0,菜籽油,农产品,CZCE,OI0
2015-01-08,2248.0,2265.0,2238.0,2257.0,1142558,882012,2250.0,菜籽粕,农产品,CZCE,RM0
2015-01-08,2863.0,2873.0,2850.0,2864.0,931688,1879400,2861.0,豆粕,农产品,DCE,M0
2015-01-08,4510.0,4524.0,4490.0,4503.0,93610,258778,4508.0,黄大豆一号,农产品,DCE,A0
2015-01-09,2549.0,2549.0,2540.0,2549.0,24,10358,2549.0,小麦,农产品,CZCE,WH0
2015-01-09,13165.0,13190.0,13080.0,13110.0,132142,469210,13130.0,棉花,农产品,CZCE,CF0
2015-01-09,2404.0,2408.0,2398.0,2406.0,39762,140402,2402.0,玉米,农产品,DCE,C0
2015-01-09,4659.0,4709.0,4656.0,4676.0,900240,637818,4683.0,白糖,农产品,CZCE,SR0
2015-01-09,6150.0,6158.0,6074.0,6110.0,66382,142922,6120.0,菜籽油,农产品,CZCE,OI0
2015-01-09,2257.0,2267.0,2223.0,2230.0,1421152,925856,2242.0,菜籽粕,农产品,CZCE,RM0
2015-01-09,2863.0,2873.0,2820.0,2831.0,1413136,1994680,2842.0,豆粕,农产品,DCE,M0
2015-01-09,4508.0,4519.0,4486.0,4509.0,106146,257520,4502.0,黄大豆一号,农产品,DCE,A0
2015-01-12,2540.0,2549.0,2540.0,2540.0,26,10332,2540.0,小麦,农产品,CZCE,WH0
2015-01-12,13130.0,13150.0,13055.0,13085.0,143944,469506,13105.0,棉花,农产品,CZCE,CF0
2015-01-12,2406.0,2417.0,2398.0,2408.0,43488,137522,2407.0,玉米,农产品,DCE,C0
