类别,品种,代码,交易所,数据量,开始日期,结束日期
能源化工,原油,SC0,INE,1887,2018-03-26,2025-12-31
能源化工,低硫燃料油,LU0,INE,1343,2020-06-22,2025-12-31
能源化工,燃料油,FU0,SHFE,2650,2015-01-05,2025-12-31
能源化工,焦煤,JM0,DCE,2673,2015-01-05,2025-12-31
能源化工,焦炭,J0,DCE,2674,2015-01-05,2025-12-31
能源化工,液化石油气,PG0,DCE,1399,2020-03-30,2025-12-31
能源化工,甲醇,MA0,CZCE,2667,2015-01-05,2025-12-31
金属类,黄金,AU0,SHFE,2676,2015-01-05,2025-12-31
金属类,白银,AG0,SHFE,2675,2015-01-05,2025-12-31
金属类,铜,CU0,SHFE,2675,2015-01-05,2025-12-31
金属类,锌,ZN0,SHFE,2675,2015-01-05,2025-12-31
金属类,铝,AL0,SHFE,2675,2015-01-05,2025-12-31
金属类,镍,NI0,SHFE,2621,2015-03-27,2025-12-31
金属类,锡,SN0,SHFE,2621,2015-03-27,2025-12-31
金属类,螺纹钢,RB0,SHFE,2675,2015-01-05,2025-12-31
金属类,热轧卷板,HC0,SHFE,2676,2015-01-05,2025-12-31
农产品,玉米,C0,DCE,2675,2015-01-05,2025-12-31
农产品,黄大豆一号,A0,DCE,2674,2015-01-05,2025-12-31
农产品,豆粕,M0,DCE,2676,2015-01-05,2025-12-31
农产品,白糖,SR0,CZCE,2672,2015-01-05,2025-12-31
农产品,棉花,CF0,CZCE,2671,2015-01-05,2025-12-31
农产品,菜籽粕,RM0,CZCE,2673,2015-01-05,2025-12-31
农产品,菜籽油,OI0,CZCE,2666,2015-01-05,2025-12-31
农产品,小麦,WH0,CZCE,1764,2015-01-05,2023-02-28
股指期货,沪深300股指期货,IF0,CFFEX,2175,2017-01-17,2025-12-31
股指期货,上证50股指期货,IH0,CFFEX,2175,2017-01-17,2025-12-31
股指期货,中证500股指期货,IC0,CFFEX,2175,2017-01-17,2025-12-31
股指期货,中证1000股指期货,IM0,CFFEX,837,2022-07-22,2025-12-31
