date,open,high,low,close,volume,hold,settle,品种,类别,交易所,合约代码
2017-01-17,2321.0,2332.0,2320.2,2325.6,5711,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-01-18,2329.8,2380.0,2325.4,2345.0,5196,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-01-19,2338.6,2353.8,2328.6,2334.0,4946,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-01-20,2332.8,2351.0,2332.6,2349.8,4803,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-01-23,2354.0,2361.8,2340.2,2346.8,3218,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-01-24,2352.0,2354.8,2343.8,2351.2,3029,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-01-25,2345.0,2358.8,2342.4,2358.8,2997,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-01-26,2359.0,2374.8,2359.0,2365.0,2974,0,2365.8,上证50股指期货,股指期货,CFFEX,IH0
2017-02-03,2370.8,2371.2,2337.6,2342.0,3015,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-06,2347.0,2351.6,2334.6,2341.8,3548,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-07,2341.8,2346.0,2329.6,2333.8,3128,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-08,2332.2,2344.8,2320.0,2344.0,3806,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-09,2343.6,2364.0,2340.8,2351.2,3899,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-10,2357.6,2370.4,2356.8,2363.0,4591,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-13,2366.6,2377.8,2366.2,2371.8,4805,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-14,2374.2,2374.8,2365.2,2368.0,4276,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-15,2372.0,2380.8,2366.2,2366.6,5026,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-16,2369.2,2372.8,2360.2,2368.2,4314,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-17,2373.2,2389.6,2353.8,2355.2,5710,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-20,2358.0,2393.2,2358.0,2393.2,7272,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-21,2395.6,2405.6,2386.4,2388.6,6566,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-22,2388.0,2393.0,2383.2,2391.6,4877,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-23,2392.0,2397.0,2375.2,2380.8,5862,0,2378.6,上证50股指期货,股指期货,CFFEX,IH0
2017-02-24,2376.6,2383.8,2371.0,2382.2,5289,0,2380.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-27,2384.0,2384.0,2359.0,2365.8,5194,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-28,2365.8,2375.8,2358.0,2362.2,4700,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-03-01,2366.2,2378.8,2362.6,2364.0,5713,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
