date,open,high,low,close,volume,hold,settle,品种,类别,交易所,合约代码
2017-01-17,2321.0,2332.0,2320.2,2325.6,5711,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-01-17,5998.0,6070.0,5956.8,6065.0,8087,0,0.0,中证500股指期货,股指期货,CFFEX,IC0
2017-01-17,3308.6,3326.0,3291.4,3315.4,10767,0,0.0,沪深300股指期货,股指期货,CFFEX,IF0
2017-01-18,2329.8,2380.0,2325.4,2345.0,5196,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-01-18,6059.0,6105.0,6038.0,6073.8,7472,0,0.0,中证500股指期货,股指期货,CFFEX,IC0
2017-01-18,3315.2,3358.2,3310.2,3345.0,9632,0,0.0,沪深300股指期货,股指期货,CFFEX,IF0
2017-01-19,2338.6,2353.8,2328.6,2334.0,4946,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-01-19,6063.4,6093.4,6026.6,6047.0,6053,0,0.0,中证500股指期货,股指期货,CFFEX,IC0
2017-01-19,3335.4,3350.2,3320.0,3326.0,7728,0,0.0,沪深300股指期货,股指期货,CFFEX,IF0
2017-01-20,2332.8,2351.0,2332.6,2349.8,4803,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-01-20,5988.0,6108.0,5983.0,6082.8,8844,0,0.0,中证500股指期货,股指期货,CFFEX,IC0
2017-01-20,3320.2,3356.6,3320.2,3353.0,9525,0,0.0,沪深300股指期货,股指期货,CFFEX,IF0
2017-01-23,2354.0,2361.8,2340.2,2346.8,3218,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-01-23,6095.0,6157.6,6095.0,6114.2,6444,0,0.0,中证500股指期货,股指期货,CFFEX,IC0
2017-01-23,3355.2,3379.2,3347.8,3352.0,7862,0,0.0,沪深300股指期货,股指期货,CFFEX,IF0
2017-01-24,2352.0,2354.8,2343.8,2351.2,3029,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-01-24,6109.8,6129.6,6090.4,6123.0,5648,0,0.0,中证500股指期货,股指期货,CFFEX,IC0
2017-01-24,3358.0,3364.4,3342.6,3353.4,6796,0,0.0,沪深300股指期货,股指期货,CFFEX,IF0
2017-01-25,2345.0,2358.8,2342.4,2358.8,2997,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-01-25,6102.4,6158.0,6091.6,6155.0,5634,0,0.0,中证500股指期货,股指期货,CFFEX,IC0
2017-01-25,3346.0,3370.0,3336.0,3369.2,6715,0,0.0,沪深300股指期货,股指期货,CFFEX,IF0
2017-01-26,2359.0,2374.8,2359.0,2365.0,2974,0,2365.8,上证50股指期货,股指期货,CFFEX,IH0
2017-01-26,6162.8,6197.6,6152.6,6188.8,4638,0,0.0,中证500股指期货,股指期货,CFFEX,IC0
2017-01-26,3370.4,3394.8,3370.0,3377.6,6096,0,3380.4,沪深300股指期货,股指期货,CFFEX,IF0
2017-02-03,2370.8,2371.2,2337.6,2342.0,3015,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-03,6190.0,6199.8,6079.6,6165.0,5183,0,0.0,中证500股指期货,股指期货,CFFEX,IC0
2017-02-03,3387.0,3387.6,3342.6,3357.0,6655,0,0.0,沪深300股指期货,股指期货,CFFEX,IF0
2017-02-06,2347.0,2351.6,2334.6,2341.8,3548,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-06,6171.2,6207.2,6147.8,6199.6,6191,0,0.0,中证500股指期货,股指期货,CFFEX,IC0
2017-02-06,3358.0,3368.6,3343.0,3354.0,7671,0,0.0,沪深300股指期货,股指期货,CFFEX,IF0
2017-02-07,2341.8,2346.0,2329.6,2333.8,3128,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-07,6200.0,6218.6,6163.0,6187.4,6258,0,0.0,中证500股指期货,股指期货,CFFEX,IC0
2017-02-07,3354.6,3360.6,3331.2,3349.0,7257,0,0.0,沪深300股指期货,股指期货,CFFEX,IF0
2017-02-08,2332.2,2344.8,2320.0,2344.0,3806,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
2017-02-08,6180.0,6261.8,6166.0,6246.6,6954,0,0.0,中证500股指期货,股指期货,CFFEX,IC0
2017-02-08,3344.8,3373.8,3328.8,3369.4,8905,0,0.0,沪深300股指期货,股指期货,CFFEX,IF0
2017-02-09,2343.6,2364.0,2340.8,2351.2,3899,0,0.0,上证50股指期货,股指期货,CFFEX,IH0
