date,open,high,low,close,volume,hold,settle,品种,类别,交易所,合约代码
2020-06-22,2570.0,2763.0,2570.0,2599.0,130439,24859,2638.0,低硫燃料油,能源化工,INE,LU0
2020-06-23,2611.0,2679.0,2602.0,2649.0,144505,33377,2650.0,低硫燃料油,能源化工,INE,LU0
2020-06-24,2660.0,2672.0,2588.0,2603.0,79323,34207,2628.0,低硫燃料油,能源化工,INE,LU0
2020-06-29,2577.0,2577.0,2486.0,2514.0,63816,42496,2518.0,低硫燃料油,能源化工,INE,LU0
2020-06-30,2540.0,2568.0,2522.0,2534.0,42512,40329,2542.0,低硫燃料油,能源化工,INE,LU0
2020-07-01,2526.0,2568.0,2516.0,2553.0,28865,39329,2542.0,低硫燃料油,能源化工,INE,LU0
2020-07-02,2526.0,2575.0,2526.0,2553.0,39078,41683,2551.0,低硫燃料油,能源化工,INE,LU0
2020-07-03,2560.0,2613.0,2560.0,2589.0,43286,39595,2587.0,低硫燃料油,能源化工,INE,LU0
2020-07-06,2576.0,2612.0,2565.0,2601.0,30837,37478,2590.0,低硫燃料油,能源化工,INE,LU0
2020-07-07,2600.0,2609.0,2555.0,2574.0,26882,37095,2578.0,低硫燃料油,能源化工,INE,LU0
2020-07-08,2575.0,2591.0,2564.0,2570.0,13873,37052,2577.0,低硫燃料油,能源化工,INE,LU0
2020-07-09,2579.0,2583.0,2533.0,2563.0,14556,36747,2567.0,低硫燃料油,能源化工,INE,LU0
2020-07-10,2568.0,2575.0,2480.0,2493.0,21575,37502,2524.0,低硫燃料油,能源化工,INE,LU0
2020-07-13,2511.0,2557.0,2507.0,2542.0,15256,36363,2534.0,低硫燃料油,能源化工,INE,LU0
2020-07-14,2549.0,2560.0,2485.0,2519.0,18192,38243,2521.0,低硫燃料油,能源化工,INE,LU0
2020-07-15,2518.0,2539.0,2506.0,2520.0,13821,38565,2524.0,低硫燃料油,能源化工,INE,LU0
2020-07-16,2529.0,2540.0,2503.0,2510.0,16460,38007,2518.0,低硫燃料油,能源化工,INE,LU0
2020-07-17,2510.0,2535.0,2484.0,2491.0,19137,38953,2507.0,低硫燃料油,能源化工,INE,LU0
2020-07-20,2485.0,2518.0,2436.0,2452.0,29044,39974,2467.0,低硫燃料油,能源化工,INE,LU0
2020-07-21,2456.0,2487.0,2436.0,2487.0,18480,37574,2464.0,低硫燃料油,能源化工,INE,LU0
2020-07-22,2530.0,2598.0,2516.0,2528.0,37610,36752,2550.0,低硫燃料油,能源化工,INE,LU0
2020-07-23,2526.0,2588.0,2514.0,2588.0,16297,36810,2545.0,低硫燃料油,能源化工,INE,LU0
2020-07-24,2568.0,2573.0,2486.0,2506.0,30403,38900,2530.0,低硫燃料油,能源化工,INE,LU0
2020-07-27,2518.0,2521.0,2484.0,2486.0,22374,44380,2503.0,低硫燃料油,能源化工,INE,LU0
2020-07-28,2495.0,2510.0,2462.0,2492.0,29191,50929,2487.0,低硫燃料油,能源化工,INE,LU0
2020-07-29,2485.0,2513.0,2477.0,2508.0,18850,54852,2496.0,低硫燃料油,能源化工,INE,LU0
2020-07-30,2511.0,2522.0,2485.0,2495.0,17204,56772,2506.0,低硫燃料油,能源化工,INE,LU0
2020-07-31,2490.0,2490.0,2389.0,2430.0,61131,69468,2432.0,低硫燃料油,能源化工,INE,LU0
2020-08-03,2431.0,2434.0,2400.0,2405.0,27686,71978,2413.0,低硫燃料油,能源化工,INE,LU0
2020-08-04,2410.0,2456.0,2410.0,2431.0,22390,73181,2432.0,低硫燃料油,能源化工,INE,LU0
2020-08-05,2420.0,2470.0,2411.0,2462.0,29183,70883,2443.0,低硫燃料油,能源化工,INE,LU0
2020-08-06,2488.0,2529.0,2450.0,2472.0,47177,66133,2486.0,低硫燃料油,能源化工,INE,LU0
2020-08-07,2480.0,2487.0,2450.0,2452.0,23361,66350,2469.0,低硫燃料油,能源化工,INE,LU0
2020-08-10,2450.0,2480.0,2442.0,2478.0,22114,66941,2461.0,低硫燃料油,能源化工,INE,LU0
2020-08-11,2476.0,2493.0,2430.0,2443.0,30775,68826,2467.0,低硫燃料油,能源化工,INE,LU0
2020-08-12,2457.0,2494.0,2417.0,2492.0,45873,67059,2455.0,低硫燃料油,能源化工,INE,LU0
2020-08-13,2500.0,2510.0,2460.0,2461.0,24148,65644,2480.0,低硫燃料油,能源化工,INE,LU0
2020-08-14,2465.0,2478.0,2439.0,2450.0,27603,66777,2460.0,低硫燃料油,能源化工,INE,LU0
2020-08-17,2445.0,2460.0,2442.0,2450.0,18914,67487,2452.0,低硫燃料油,能源化工,INE,LU0
2020-08-18,2445.0,2487.0,2440.0,2456.0,28713,68463,2464.0,低硫燃料油,能源化工,INE,LU0
2020-08-19,2464.0,2475.0,2452.0,2460.0,23825,66697,2463.0,低硫燃料油,能源化工,INE,LU0
2020-08-20,2450.0,2501.0,2450.0,2490.0,43268,68225,2473.0,低硫燃料油,能源化工,INE,LU0
2020-08-21,2494.0,2541.0,2457.0,2496.0,61106,72124,2501.0,低硫燃料油,能源化工,INE,LU0
2020-08-24,2490.0,2501.0,2454.0,2464.0,52035,75509,2474.0,低硫燃料油,能源化工,INE,LU0
2020-08-25,2468.0,2499.0,2468.0,2496.0,36139,72956,2482.0,低硫燃料油,能源化工,INE,LU0
2020-08-26,2505.0,2564.0,2501.0,2532.0,46750,74683,2535.0,低硫燃料油,能源化工,INE,LU0
2020-08-27,2535.0,2538.0,2503.0,2512.0,24264,76132,2516.0,低硫燃料油,能源化工,INE,LU0
2020-08-28,2512.0,2513.0,2470.0,2475.0,35575,81171,2485.0,低硫燃料油,能源化工,INE,LU0
2020-08-31,2477.0,2506.0,2475.0,2491.0,32477,79249,2490.0,低硫燃料油,能源化工,INE,LU0
2020-09-01,2495.0,2498.0,2461.0,2477.0,28306,82970,2477.0,低硫燃料油,能源化工,INE,LU0
