date,open,high,low,close,volume,hold,settle,品种,类别,交易所,合约代码
2015-01-05,1029.0,1037.0,1023.0,1031.0,82832,107114,1030.0,焦炭,能源化工,DCE,J0
2015-01-06,1029.0,1065.0,1028.0,1054.0,356160,128868,1050.0,焦炭,能源化工,DCE,J0
2015-01-07,1055.0,1057.0,1045.0,1055.0,157394,131474,1050.0,焦炭,能源化工,DCE,J0
2015-01-08,1056.0,1066.0,1051.0,1063.0,214786,130880,1057.0,焦炭,能源化工,DCE,J0
2015-01-09,1062.0,1064.0,1050.0,1056.0,142758,113548,1056.0,焦炭,能源化工,DCE,J0
2015-01-12,1055.0,1060.0,1037.0,1040.0,143376,107560,1046.0,焦炭,能源化工,DCE,J0
2015-01-13,1039.0,1042.0,1032.0,1042.0,69622,111242,1036.0,焦炭,能源化工,DCE,J0
2015-01-14,1039.0,1045.0,1029.0,1038.0,133292,109072,1035.0,焦炭,能源化工,DCE,J0
2015-01-15,1040.0,1050.0,1034.0,1047.0,122498,122328,1042.0,焦炭,能源化工,DCE,J0
2015-01-16,1050.0,1052.0,1044.0,1045.0,79676,126346,1046.0,焦炭,能源化工,DCE,J0
2015-01-19,1045.0,1057.0,1038.0,1042.0,208834,136016,1047.0,焦炭,能源化工,DCE,J0
2015-01-20,1042.0,1044.0,1029.0,1038.0,150906,109556,1036.0,焦炭,能源化工,DCE,J0
2015-01-21,1038.0,1043.0,1035.0,1036.0,70660,105786,1038.0,焦炭,能源化工,DCE,J0
2015-01-22,1037.0,1042.0,1032.0,1033.0,84706,104330,1036.0,焦炭,能源化工,DCE,J0
2015-01-23,1033.0,1037.0,1030.0,1033.0,102068,108618,1032.0,焦炭,能源化工,DCE,J0
2015-01-26,1035.0,1035.0,1015.0,1017.0,152294,119524,1020.0,焦炭,能源化工,DCE,J0
2015-01-27,1017.0,1031.0,1016.0,1024.0,77278,109612,1025.0,焦炭,能源化工,DCE,J0
2015-01-28,1023.0,1028.0,1021.0,1027.0,39164,109012,1024.0,焦炭,能源化工,DCE,J0
2015-01-29,1028.0,1031.0,1023.0,1025.0,55900,103022,1027.0,焦炭,能源化工,DCE,J0
2015-01-30,1025.0,1027.0,1023.0,1025.0,26126,100888,1024.0,焦炭,能源化工,DCE,J0
2015-02-02,1025.0,1029.0,1024.0,1027.0,38330,99640,1026.0,焦炭,能源化工,DCE,J0
2015-02-03,1027.0,1035.0,1026.0,1031.0,68600,91802,1029.0,焦炭,能源化工,DCE,J0
2015-02-04,1032.0,1038.0,1027.0,1028.0,66706,96430,1031.0,焦炭,能源化工,DCE,J0
2015-02-05,1031.0,1033.0,1029.0,1031.0,36176,93766,1031.0,焦炭,能源化工,DCE,J0
2015-02-06,1030.0,1041.0,1030.0,1039.0,65964,98994,1036.0,焦炭,能源化工,DCE,J0
2015-02-09,1040.0,1045.0,1031.0,1034.0,38280,93870,1035.0,焦炭,能源化工,DCE,J0
2015-02-10,1035.0,1037.0,1033.0,1035.0,17346,91924,1035.0,焦炭,能源化工,DCE,J0
2015-02-11,1035.0,1036.0,1032.0,1036.0,16120,88352,1033.0,焦炭,能源化工,DCE,J0
2015-02-12,1036.0,1037.0,1031.0,1033.0,16178,86088,1033.0,焦炭,能源化工,DCE,J0
2015-02-13,1034.0,1043.0,1032.0,1040.0,45234,84402,1038.0,焦炭,能源化工,DCE,J0
2015-02-16,1039.0,1043.0,1037.0,1039.0,31696,75740,1039.0,焦炭,能源化工,DCE,J0
2015-02-17,1039.0,1039.0,1026.0,1029.0,37864,69814,1032.0,焦炭,能源化工,DCE,J0
2015-02-26,1019.0,1027.0,1019.0,1026.0,24714,70472,1023.0,焦炭,能源化工,DCE,J0
2015-02-27,1026.0,1028.0,1020.0,1021.0,23178,69922,1023.0,焦炭,能源化工,DCE,J0
2015-03-02,1021.0,1024.0,1017.0,1023.0,51014,74216,1020.0,焦炭,能源化工,DCE,J0
2015-03-03,1023.0,1025.0,1018.0,1020.0,31666,69596,1021.0,焦炭,能源化工,DCE,J0
2015-03-04,1022.0,1022.0,1019.0,1021.0,16248,66316,1020.0,焦炭,能源化工,DCE,J0
2015-03-05,1020.0,1020.0,997.0,1000.0,67954,75814,1006.0,焦炭,能源化工,DCE,J0
2015-03-06,1001.0,1006.0,998.0,1001.0,26684,78086,1002.0,焦炭,能源化工,DCE,J0
2015-03-09,1001.0,1011.0,998.0,1007.0,42470,71114,1005.0,焦炭,能源化工,DCE,J0
2015-03-10,1009.0,1010.0,1003.0,1004.0,23940,69812,1006.0,焦炭,能源化工,DCE,J0
2015-03-11,1003.0,1008.0,1000.0,1005.0,19762,67794,1004.0,焦炭,能源化工,DCE,J0
2015-03-12,1003.0,1007.0,1003.0,1006.0,14988,68026,1005.0,焦炭,能源化工,DCE,J0
2015-03-13,1007.0,1008.0,1000.0,1007.0,27988,67392,1004.0,焦炭,能源化工,DCE,J0
2015-03-16,1005.0,1007.0,992.0,1002.0,54494,69272,998.0,焦炭,能源化工,DCE,J0
2015-03-17,1003.0,1003.0,994.0,996.0,28050,73338,997.0,焦炭,能源化工,DCE,J0
2015-03-18,992.0,995.0,979.0,983.0,62238,74244,986.0,焦炭,能源化工,DCE,J0
2015-03-19,982.0,986.0,978.0,980.0,28066,69570,981.0,焦炭,能源化工,DCE,J0
2015-03-20,980.0,984.0,975.0,976.0,19220,69094,979.0,焦炭,能源化工,DCE,J0
