date,open,high,low,close,volume,hold,settle,品种,类别,交易所,合约代码
2015-01-05,2979.0,2979.0,2979.0,2979.0,2,24,2979.0,燃料油,能源化工,SHFE,FU0
2015-01-06,2979.0,2979.0,2979.0,2979.0,0,24,2979.0,燃料油,能源化工,SHFE,FU0
2015-01-07,2979.0,2979.0,2979.0,2979.0,2,24,2979.0,燃料油,能源化工,SHFE,FU0
2015-01-08,2979.0,2979.0,2979.0,2979.0,0,24,2979.0,燃料油,能源化工,SHFE,FU0
2015-01-09,2979.0,2979.0,2979.0,2979.0,2,24,2979.0,燃料油,能源化工,SHFE,FU0
2015-01-12,2979.0,2979.0,2979.0,2979.0,0,24,2979.0,燃料油,能源化工,SHFE,FU0
2015-01-13,2979.0,2979.0,2979.0,2979.0,2,24,2979.0,燃料油,能源化工,SHFE,FU0
2015-01-14,2979.0,2979.0,2979.0,2979.0,0,24,2979.0,燃料油,能源化工,SHFE,FU0
2015-01-15,3000.0,3000.0,2833.0,2980.0,6,24,2937.0,燃料油,能源化工,SHFE,FU0
2015-01-16,2980.0,3000.0,2833.0,2980.0,0,24,2937.0,燃料油,能源化工,SHFE,FU0
2015-01-19,2790.0,3035.0,2790.0,2978.0,6,24,2934.0,燃料油,能源化工,SHFE,FU0
2015-01-20,2978.0,3035.0,2790.0,2978.0,0,24,2934.0,燃料油,能源化工,SHFE,FU0
2015-01-21,2788.0,3035.0,2788.0,2798.0,8,30,2871.0,燃料油,能源化工,SHFE,FU0
2015-01-22,2727.0,3014.0,2727.0,2952.0,64,30,2904.0,燃料油,能源化工,SHFE,FU0
2015-01-23,2780.0,3046.0,2780.0,2851.0,8,28,2930.0,燃料油,能源化工,SHFE,FU0
2015-01-26,2792.0,3046.0,2780.0,2796.0,4,26,2794.0,燃料油,能源化工,SHFE,FU0
2015-01-27,2869.0,2869.0,2796.0,2869.0,2,24,2869.0,燃料油,能源化工,SHFE,FU0
2015-01-28,2869.0,2869.0,2869.0,2869.0,0,24,2869.0,燃料油,能源化工,SHFE,FU0
2015-01-29,2869.0,2869.0,2869.0,2869.0,2,24,2869.0,燃料油,能源化工,SHFE,FU0
2015-01-30,2869.0,2869.0,2869.0,2869.0,0,24,2869.0,燃料油,能源化工,SHFE,FU0
2015-02-02,2800.0,2960.0,2725.0,2960.0,6,18,2828.0,燃料油,能源化工,SHFE,FU0
2015-02-03,2960.0,2960.0,2725.0,2960.0,0,18,2828.0,燃料油,能源化工,SHFE,FU0
2015-02-04,3086.0,3309.0,3086.0,3200.0,14,20,3258.0,燃料油,能源化工,SHFE,FU0
2015-02-05,3101.0,3370.0,3101.0,3333.0,38,22,3279.0,燃料油,能源化工,SHFE,FU0
2015-02-06,3155.0,3348.0,3155.0,3270.0,14,20,3266.0,燃料油,能源化工,SHFE,FU0
2015-02-09,3120.0,3347.0,3120.0,3328.0,18,18,3246.0,燃料油,能源化工,SHFE,FU0
2015-02-10,2828.0,2828.0,2828.0,2828.0,0,18,2828.0,燃料油,能源化工,SHFE,FU0
2015-02-11,2800.0,2960.0,2725.0,2828.0,6,18,2828.0,燃料油,能源化工,SHFE,FU0
2015-02-12,2969.0,2969.0,2969.0,2969.0,4,14,2969.0,燃料油,能源化工,SHFE,FU0
2015-02-13,2969.0,3117.0,2969.0,3117.0,4,10,3043.0,燃料油,能源化工,SHFE,FU0
2015-02-16,3330.0,3388.0,3162.0,3340.0,4,26,3335.0,燃料油,能源化工,SHFE,FU0
2015-02-17,3120.0,3460.0,3120.0,3460.0,14,30,3350.0,燃料油,能源化工,SHFE,FU0
2015-02-25,3418.0,3418.0,3418.0,3418.0,0,0,3418.0,燃料油,能源化工,SHFE,FU0
2015-02-26,3350.0,3459.0,3251.0,3400.0,14,34,3404.0,燃料油,能源化工,SHFE,FU0
2015-02-27,3321.0,3396.0,3321.0,3395.0,6,32,3371.0,燃料油,能源化工,SHFE,FU0
2015-03-02,3449.0,3498.0,3395.0,3497.0,14,36,3452.0,燃料油,能源化工,SHFE,FU0
2015-03-03,3407.0,3599.0,3407.0,3569.0,40,42,3541.0,燃料油,能源化工,SHFE,FU0
2015-03-04,3414.0,3621.0,3414.0,3581.0,28,28,3544.0,燃料油,能源化工,SHFE,FU0
2015-03-05,3540.0,3718.0,3540.0,3706.0,68,38,3646.0,燃料油,能源化工,SHFE,FU0
2015-03-06,3647.0,3828.0,3647.0,3828.0,32,38,3799.0,燃料油,能源化工,SHFE,FU0
2015-03-09,3865.0,3988.0,3865.0,3988.0,46,64,3982.0,燃料油,能源化工,SHFE,FU0
2015-03-10,3876.0,3988.0,3836.0,3836.0,16,60,3883.0,燃料油,能源化工,SHFE,FU0
2015-03-11,3876.0,4089.0,3690.0,3864.0,40,70,3784.0,燃料油,能源化工,SHFE,FU0
2015-03-12,3783.0,3864.0,3610.0,3610.0,32,76,3692.0,燃料油,能源化工,SHFE,FU0
2015-03-13,3513.0,3842.0,3507.0,3507.0,16,72,3509.0,燃料油,能源化工,SHFE,FU0
2015-03-16,3506.0,3515.0,3228.0,3268.0,68,82,3254.0,燃料油,能源化工,SHFE,FU0
2015-03-17,3096.0,3398.0,3096.0,3196.0,130,102,3190.0,燃料油,能源化工,SHFE,FU0
2015-03-18,3150.0,3233.0,3150.0,3181.0,56,112,3193.0,燃料油,能源化工,SHFE,FU0
2015-03-19,3280.0,3308.0,3202.0,3280.0,144,136,3262.0,燃料油,能源化工,SHFE,FU0
2015-03-20,3281.0,3281.0,3221.0,3221.0,18,134,3256.0,燃料油,能源化工,SHFE,FU0
2015-03-23,3266.0,3356.0,3202.0,3300.0,140,168,3287.0,燃料油,能源化工,SHFE,FU0
2015-03-24,3322.0,3356.0,3202.0,3265.0,78,162,3253.0,燃料油,能源化工,SHFE,FU0
2015-03-25,3217.0,3280.0,3217.0,3266.0,36,168,3248.0,燃料油,能源化工,SHFE,FU0
2015-03-26,3296.0,3408.0,3263.0,3370.0,156,182,3343.0,燃料油,能源化工,SHFE,FU0
2015-03-27,3343.0,3344.0,3250.0,3313.0,40,178,3302.0,燃料油,能源化工,SHFE,FU0
2015-03-30,3310.0,3310.0,3200.0,3215.0,26,176,3239.0,燃料油,能源化工,SHFE,FU0
2015-03-31,3310.0,3310.0,3203.0,3230.0,16,174,3243.0,燃料油,能源化工,SHFE,FU0
2015-04-01,3200.0,3279.0,3180.0,3203.0,24,180,3220.0,燃料油,能源化工,SHFE,FU0
2015-04-02,3250.0,3310.0,3203.0,3244.0,44,188,3263.0,燃料油,能源化工,SHFE,FU0
2015-04-03,3221.0,3244.0,3182.0,3235.0,10,188,3212.0,燃料油,能源化工,SHFE,FU0
