date,open,high,low,close,volume,hold,settle,品种,类别,交易所,合约代码
2015-01-05,1029.0,1037.0,1023.0,1031.0,82832,107114,1030.0,焦炭,能源化工,DCE,J0
2015-01-05,736.0,744.0,725.0,731.0,117480,159942,733.0,焦煤,能源化工,DCE,JM0
2015-01-05,2979.0,2979.0,2979.0,2979.0,2,24,2979.0,燃料油,能源化工,SHFE,FU0
2015-01-05,2030.0,2057.0,2001.0,2007.0,816934,326002,2023.0,甲醇,能源化工,CZCE,MA0
2015-01-06,1029.0,1065.0,1028.0,1054.0,356160,128868,1050.0,焦炭,能源化工,DCE,J0
2015-01-06,730.0,756.0,727.0,744.0,290926,173598,744.0,焦煤,能源化工,DCE,JM0
2015-01-06,2979.0,2979.0,2979.0,2979.0,0,24,2979.0,燃料油,能源化工,SHFE,FU0
2015-01-06,1990.0,2041.0,1986.0,2022.0,1459904,355152,2013.0,甲醇,能源化工,CZCE,MA0
2015-01-07,1055.0,1057.0,1045.0,1055.0,157394,131474,1050.0,焦炭,能源化工,DCE,J0
2015-01-07,745.0,745.0,736.0,740.0,118104,164106,740.0,焦煤,能源化工,DCE,JM0
2015-01-07,2979.0,2979.0,2979.0,2979.0,2,24,2979.0,燃料油,能源化工,SHFE,FU0
2015-01-07,2014.0,2053.0,2000.0,2022.0,1956456,365132,2027.0,甲醇,能源化工,CZCE,MA0
2015-01-08,1056.0,1066.0,1051.0,1063.0,214786,130880,1057.0,焦炭,能源化工,DCE,J0
2015-01-08,740.0,748.0,737.0,743.0,130328,173282,741.0,焦煤,能源化工,DCE,JM0
2015-01-08,2979.0,2979.0,2979.0,2979.0,0,24,2979.0,燃料油,能源化工,SHFE,FU0
2015-01-08,2039.0,2048.0,2023.0,2031.0,1254914,358318,2036.0,甲醇,能源化工,CZCE,MA0
2015-01-09,1062.0,1064.0,1050.0,1056.0,142758,113548,1056.0,焦炭,能源化工,DCE,J0
2015-01-09,744.0,744.0,735.0,737.0,101072,162008,738.0,焦煤,能源化工,DCE,JM0
2015-01-09,2979.0,2979.0,2979.0,2979.0,2,24,2979.0,燃料油,能源化工,SHFE,FU0
2015-01-09,2036.0,2038.0,2006.0,2017.0,1134404,353614,2024.0,甲醇,能源化工,CZCE,MA0
2015-01-12,1055.0,1060.0,1037.0,1040.0,143376,107560,1046.0,焦炭,能源化工,DCE,J0
2015-01-12,738.0,741.0,726.0,726.0,113934,167256,731.0,焦煤,能源化工,DCE,JM0
2015-01-12,2979.0,2979.0,2979.0,2979.0,0,24,2979.0,燃料油,能源化工,SHFE,FU0
2015-01-12,2009.0,2022.0,1944.0,1945.0,1922098,496114,1973.0,甲醇,能源化工,CZCE,MA0
2015-01-13,1039.0,1042.0,1032.0,1042.0,69622,111242,1036.0,焦炭,能源化工,DCE,J0
2015-01-13,726.0,730.0,722.0,728.0,62718,166134,726.0,焦煤,能源化工,DCE,JM0
2015-01-13,2979.0,2979.0,2979.0,2979.0,2,24,2979.0,燃料油,能源化工,SHFE,FU0
2015-01-13,1940.0,1948.0,1897.0,1909.0,1754696,527402,1921.0,甲醇,能源化工,CZCE,MA0
2015-01-14,1039.0,1045.0,1029.0,1038.0,133292,109072,1035.0,焦炭,能源化工,DCE,J0
2015-01-14,727.0,732.0,723.0,725.0,88066,161174,726.0,焦煤,能源化工,DCE,JM0
2015-01-14,2979.0,2979.0,2979.0,2979.0,0,24,2979.0,燃料油,能源化工,SHFE,FU0
2015-01-14,1902.0,1956.0,1902.0,1922.0,2146990,487640,1928.0,甲醇,能源化工,CZCE,MA0
2015-01-15,1040.0,1050.0,1034.0,1047.0,122498,122328,1042.0,焦炭,能源化工,DCE,J0
2015-01-15,726.0,732.0,720.0,728.0,115422,164244,726.0,焦煤,能源化工,DCE,JM0
2015-01-15,3000.0,3000.0,2833.0,2980.0,6,24,2937.0,燃料油,能源化工,SHFE,FU0
2015-01-15,1929.0,1967.0,1915.0,1964.0,1804932,460190,1945.0,甲醇,能源化工,CZCE,MA0
2015-01-16,1050.0,1052.0,1044.0,1045.0,79676,126346,1046.0,焦炭,能源化工,DCE,J0
2015-01-16,728.0,732.0,724.0,724.0,68954,167408,727.0,焦煤,能源化工,DCE,JM0
2015-01-16,2980.0,3000.0,2833.0,2980.0,0,24,2937.0,燃料油,能源化工,SHFE,FU0
2015-01-16,1978.0,2014.0,1940.0,1984.0,3245946,452762,1981.0,甲醇,能源化工,CZCE,MA0
2015-01-19,1045.0,1057.0,1038.0,1042.0,208834,136016,1047.0,焦炭,能源化工,DCE,J0
2015-01-19,725.0,738.0,722.0,731.0,186580,149834,730.0,焦煤,能源化工,DCE,JM0
2015-01-19,2790.0,3035.0,2790.0,2978.0,6,24,2934.0,燃料油,能源化工,SHFE,FU0
2015-01-19,1986.0,2017.0,1978.0,2006.0,2255154,436364,1998.0,甲醇,能源化工,CZCE,MA0
2015-01-20,1042.0,1044.0,1029.0,1038.0,150906,109556,1036.0,焦炭,能源化工,DCE,J0
2015-01-20,730.0,730.0,724.0,726.0,83570,146164,726.0,焦煤,能源化工,DCE,JM0
2015-01-20,2978.0,3035.0,2790.0,2978.0,0,24,2934.0,燃料油,能源化工,SHFE,FU0
2015-01-20,2005.0,2012.0,1981.0,2004.0,1538922,449366,1998.0,甲醇,能源化工,CZCE,MA0
2015-01-21,1038.0,1043.0,1035.0,1036.0,70660,105786,1038.0,焦炭,能源化工,DCE,J0
2015-01-21,725.0,730.0,724.0,724.0,63014,149276,727.0,焦煤,能源化工,DCE,JM0
2015-01-21,2788.0,3035.0,2788.0,2798.0,8,30,2871.0,燃料油,能源化工,SHFE,FU0
2015-01-21,2008.0,2074.0,1992.0,2047.0,2224040,416774,2032.0,甲醇,能源化工,CZCE,MA0
2015-01-22,1037.0,1042.0,1032.0,1033.0,84706,104330,1036.0,焦炭,能源化工,DCE,J0
2015-01-22,723.0,729.0,720.0,722.0,98486,157530,724.0,焦煤,能源化工,DCE,JM0
2015-01-22,2727.0,3014.0,2727.0,2952.0,64,30,2904.0,燃料油,能源化工,SHFE,FU0
2015-01-22,2040.0,2090.0,2037.0,2052.0,2157772,389602,2062.0,甲醇,能源化工,CZCE,MA0
2015-01-23,1033.0,1037.0,1030.0,1033.0,102068,108618,1032.0,焦炭,能源化工,DCE,J0
2015-01-23,723.0,727.0,721.0,724.0,66856,156214,723.0,焦煤,能源化工,DCE,JM0
2015-01-23,2780.0,3046.0,2780.0,2851.0,8,28,2930.0,燃料油,能源化工,SHFE,FU0
2015-01-23,2063.0,2077.0,2033.0,2056.0,1699472,387988,2054.0,甲醇,能源化工,CZCE,MA0
2015-01-26,1035.0,1035.0,1015.0,1017.0,152294,119524,1020.0,焦炭,能源化工,DCE,J0
2015-01-26,724.0,724.0,715.0,718.0,109162,155806,718.0,焦煤,能源化工,DCE,JM0
2015-01-26,2792.0,3046.0,2780.0,2796.0,4,26,2794.0,燃料油,能源化工,SHFE,FU0
2015-01-26,2046.0,2057.0,2003.0,2018.0,1741602,415664,2030.0,甲醇,能源化工,CZCE,MA0
