date,open,high,low,close,volume,hold,settle,品种,类别,交易所,合约代码
2015-01-05,12970.0,12985.0,12860.0,12895.0,56386,157426,12915.0,铝,金属类,SHFE,AL0
2015-01-06,12860.0,12880.0,12800.0,12845.0,56276,160562,12835.0,铝,金属类,SHFE,AL0
2015-01-07,12800.0,12860.0,12760.0,12760.0,63712,168550,12790.0,铝,金属类,SHFE,AL0
2015-01-08,12780.0,12845.0,12755.0,12805.0,47172,166856,12800.0,铝,金属类,SHFE,AL0
2015-01-09,12850.0,12900.0,12780.0,12855.0,62750,161134,12845.0,铝,金属类,SHFE,AL0
2015-01-12,12840.0,12855.0,12760.0,12770.0,41144,162158,12805.0,铝,金属类,SHFE,AL0
2015-01-13,12705.0,12770.0,12685.0,12750.0,55832,160048,12725.0,铝,金属类,SHFE,AL0
2015-01-14,12700.0,12755.0,12445.0,12620.0,115790,155188,12605.0,铝,金属类,SHFE,AL0
2015-01-15,12670.0,13005.0,12665.0,12840.0,96998,139916,12770.0,铝,金属类,SHFE,AL0
2015-01-16,12930.0,12930.0,12765.0,12820.0,44358,136906,12815.0,铝,金属类,SHFE,AL0
2015-01-19,12840.0,12950.0,12825.0,12845.0,45928,135432,12870.0,铝,金属类,SHFE,AL0
2015-01-20,12835.0,12850.0,12765.0,12775.0,33438,133104,12805.0,铝,金属类,SHFE,AL0
2015-01-21,12820.0,12850.0,12745.0,12775.0,36746,128830,12785.0,铝,金属类,SHFE,AL0
2015-01-22,12760.0,12855.0,12740.0,12825.0,34910,126454,12805.0,铝,金属类,SHFE,AL0
2015-01-23,12880.0,12880.0,12795.0,12815.0,30180,122420,12820.0,铝,金属类,SHFE,AL0
2015-01-26,12790.0,12805.0,12710.0,12775.0,34984,119076,12765.0,铝,金属类,SHFE,AL0
2015-01-27,12840.0,12960.0,12815.0,12900.0,39026,131160,12890.0,铝,金属类,SHFE,AL0
2015-01-28,12855.0,12890.0,12800.0,12865.0,27478,134836,12850.0,铝,金属类,SHFE,AL0
2015-01-29,12870.0,12875.0,12815.0,12830.0,18792,136722,12840.0,铝,金属类,SHFE,AL0
2015-01-30,12820.0,12835.0,12770.0,12810.0,29420,143652,12795.0,铝,金属类,SHFE,AL0
2015-02-02,12855.0,12910.0,12835.0,12885.0,35638,144530,12865.0,铝,金属类,SHFE,AL0
2015-02-03,12890.0,13300.0,12885.0,13160.0,63988,142264,13040.0,铝,金属类,SHFE,AL0
2015-02-04,13200.0,13250.0,13105.0,13225.0,48574,141478,13180.0,铝,金属类,SHFE,AL0
2015-02-05,13200.0,13350.0,13180.0,13235.0,75206,135176,13250.0,铝,金属类,SHFE,AL0
2015-02-06,13200.0,13375.0,13195.0,13360.0,46732,131290,13310.0,铝,金属类,SHFE,AL0
2015-02-09,13350.0,13350.0,13220.0,13235.0,34228,124518,13270.0,铝,金属类,SHFE,AL0
