date,open,high,low,close,volume,hold,settle,品种,类别,交易所,合约代码
2015-01-05,16710.0,16870.0,16625.0,16720.0,189904,160518,16745.0,锌,金属类,SHFE,ZN0
2015-01-06,16525.0,16800.0,16500.0,16740.0,239488,163974,16680.0,锌,金属类,SHFE,ZN0
2015-01-07,16790.0,16790.0,16590.0,16630.0,174974,161740,16665.0,锌,金属类,SHFE,ZN0
2015-01-08,16560.0,16610.0,16420.0,16465.0,180220,160806,16515.0,锌,金属类,SHFE,ZN0
2015-01-09,16595.0,16600.0,16410.0,16455.0,203098,158354,16495.0,锌,金属类,SHFE,ZN0
2015-01-12,16455.0,16590.0,16375.0,16410.0,182332,158684,16485.0,锌,金属类,SHFE,ZN0
2015-01-13,16310.0,16395.0,16250.0,16255.0,153358,160330,16325.0,锌,金属类,SHFE,ZN0
2015-01-14,16080.0,16165.0,15550.0,15630.0,573954,186858,15820.0,锌,金属类,SHFE,ZN0
2015-01-15,15760.0,15960.0,15680.0,15870.0,501186,177374,15835.0,锌,金属类,SHFE,ZN0
2015-01-16,15915.0,15990.0,15740.0,15810.0,260228,168820,15840.0,锌,金属类,SHFE,ZN0
2015-01-19,15830.0,16080.0,15800.0,16065.0,256384,158856,15945.0,锌,金属类,SHFE,ZN0
2015-01-20,15980.0,16100.0,15920.0,16035.0,166498,162064,16000.0,锌,金属类,SHFE,ZN0
2015-01-21,16140.0,16210.0,16055.0,16155.0,181386,156518,16125.0,锌,金属类,SHFE,ZN0
2015-01-22,16120.0,16440.0,16110.0,16360.0,285218,151594,16300.0,锌,金属类,SHFE,ZN0
2015-01-23,16385.0,16460.0,16200.0,16235.0,249750,127732,16315.0,锌,金属类,SHFE,ZN0
2015-01-26,16170.0,16245.0,15915.0,16115.0,285934,113610,16095.0,锌,金属类,SHFE,ZN0
2015-01-27,16150.0,16395.0,16110.0,16280.0,170474,144978,16287.0,锌,金属类,SHFE,ZN0
2015-01-28,16315.0,16345.0,16195.0,16335.0,139784,152692,16284.0,锌,金属类,SHFE,ZN0
2015-01-29,16310.0,16320.0,16070.0,16090.0,151370,146800,16175.0,锌,金属类,SHFE,ZN0
2015-01-30,16020.0,16135.0,16000.0,16025.0,141942,151148,16050.0,锌,金属类,SHFE,ZN0
2015-02-02,16145.0,16260.0,16095.0,16195.0,152516,153802,16170.0,锌,金属类,SHFE,ZN0
2015-02-03,16200.0,16325.0,16145.0,16280.0,133202,147530,16245.0,锌,金属类,SHFE,ZN0
2015-02-04,16370.0,16465.0,16290.0,16330.0,173136,136934,16380.0,锌,金属类,SHFE,ZN0
2015-02-05,16340.0,16380.0,16235.0,16270.0,120522,134898,16290.0,锌,金属类,SHFE,ZN0
2015-02-06,16225.0,16405.0,16195.0,16400.0,117836,136488,16307.0,锌,金属类,SHFE,ZN0
2015-02-09,16450.0,16455.0,16310.0,16355.0,107594,125150,16360.0,锌,金属类,SHFE,ZN0
2015-02-10,16380.0,16430.0,16325.0,16355.0,70872,120250,16372.0,锌,金属类,SHFE,ZN0
2015-02-11,16300.0,16310.0,16160.0,16190.0,107608,117126,16222.0,锌,金属类,SHFE,ZN0
2015-02-12,16210.0,16240.0,16115.0,16225.0,71682,112312,16170.0,锌,金属类,SHFE,ZN0
2015-02-13,16275.0,16375.0,16265.0,16350.0,100600,105114,16314.0,锌,金属类,SHFE,ZN0
2015-02-16,16375.0,16440.0,16330.0,16405.0,54168,98594,16383.0,锌,金属类,SHFE,ZN0
2015-02-17,16410.0,16445.0,16310.0,16320.0,41974,90730,16369.0,锌,金属类,SHFE,ZN0
2015-02-25,16190.0,16190.0,15955.0,16135.0,8190,21374,16110.0,锌,金属类,SHFE,ZN0
