date,open,high,low,close,volume,hold,settle,品种,类别,交易所,合约代码
2015-01-05,2928.0,2928.0,2886.0,2902.0,3480,14328,2900.0,热轧卷板,金属类,SHFE,HC0
2015-01-05,3498.0,3516.0,3478.0,3507.0,513798,410420,3500.0,白银,金属类,SHFE,AG0
2015-01-05,2550.0,2570.0,2540.0,2560.0,2891600,2212700,2556.0,螺纹钢,金属类,SHFE,RB0
2015-01-05,45500.0,45570.0,44990.0,45080.0,189194,325160,45250.0,铜,金属类,SHFE,CU0
2015-01-05,12970.0,12985.0,12860.0,12895.0,56386,157426,12915.0,铝,金属类,SHFE,AL0
2015-01-05,16710.0,16870.0,16625.0,16720.0,189904,160518,16745.0,锌,金属类,SHFE,ZN0
2015-01-05,240.0,242.5,240.0,242.15,61846,199292,241.4,黄金,金属类,SHFE,AU0
2015-01-06,2882.0,2992.0,2882.0,2936.0,7502,14760,2936.0,热轧卷板,金属类,SHFE,HC0
2015-01-06,3490.0,3566.0,3462.0,3554.0,2199972,450158,3517.0,白银,金属类,SHFE,AG0
2015-01-06,2551.0,2647.0,2548.0,2619.0,7434500,2279100,2612.0,螺纹钢,金属类,SHFE,RB0
2015-01-06,44210.0,44910.0,43980.0,44800.0,447986,310542,44570.0,铜,金属类,SHFE,CU0
2015-01-06,12860.0,12880.0,12800.0,12845.0,56276,160562,12835.0,铝,金属类,SHFE,AL0
2015-01-06,16525.0,16800.0,16500.0,16740.0,239488,163974,16680.0,锌,金属类,SHFE,ZN0
2015-01-06,240.95,245.0,240.35,244.45,237512,214248,242.8,黄金,金属类,SHFE,AU0
2015-01-07,2930.0,2932.0,2894.0,2902.0,4930,14582,2904.0,热轧卷板,金属类,SHFE,HC0
2015-01-07,3544.0,3596.0,3530.0,3554.0,1865876,401974,3556.0,白银,金属类,SHFE,AG0
2015-01-07,2615.0,2615.0,2568.0,2585.0,4317800,2225300,2586.0,螺纹钢,金属类,SHFE,RB0
2015-01-07,44640.0,44840.0,44420.0,44650.0,317816,301058,44660.0,铜,金属类,SHFE,CU0
2015-01-07,12800.0,12860.0,12760.0,12760.0,63712,168550,12790.0,铝,金属类,SHFE,AL0
2015-01-07,16790.0,16790.0,16590.0,16630.0,174974,161740,16665.0,锌,金属类,SHFE,ZN0
2015-01-07,244.7,247.3,243.8,245.25,237538,214320,245.35,黄金,金属类,SHFE,AU0
2015-01-08,2902.0,2912.0,2874.0,2878.0,3476,14606,2888.0,热轧卷板,金属类,SHFE,HC0
2015-01-08,3540.0,3578.0,3537.0,3548.0,1434122,412464,3558.0,白银,金属类,SHFE,AG0
2015-01-08,2585.0,2603.0,2563.0,2579.0,3696600,2206200,2580.0,螺纹钢,金属类,SHFE,RB0
2015-01-08,44650.0,44890.0,44580.0,44680.0,208524,297932,44740.0,铜,金属类,SHFE,CU0
2015-01-08,12780.0,12845.0,12755.0,12805.0,47172,166856,12800.0,铝,金属类,SHFE,AL0
2015-01-08,16560.0,16610.0,16420.0,16465.0,180220,160806,16515.0,锌,金属类,SHFE,ZN0
2015-01-08,245.2,246.2,244.3,244.5,176986,216874,245.2,黄金,金属类,SHFE,AU0
2015-01-09,2882.0,2882.0,2832.0,2834.0,4748,15336,2854.0,热轧卷板,金属类,SHFE,HC0
2015-01-09,3568.0,3586.0,3544.0,3555.0,1415890,400170,3562.0,白银,金属类,SHFE,AG0
2015-01-09,2584.0,2588.0,2546.0,2557.0,3561000,2156400,2564.0,螺纹钢,金属类,SHFE,RB0
2015-01-09,45000.0,45050.0,44250.0,44250.0,384066,308602,44550.0,铜,金属类,SHFE,CU0
2015-01-09,12850.0,12900.0,12780.0,12855.0,62750,161134,12845.0,铝,金属类,SHFE,AL0
2015-01-09,16595.0,16600.0,16410.0,16455.0,203098,158354,16495.0,锌,金属类,SHFE,ZN0
2015-01-09,245.0,246.15,244.55,245.15,148366,217668,245.35,黄金,金属类,SHFE,AU0
2015-01-12,2836.0,2842.0,2750.0,2752.0,10700,15696,2792.0,热轧卷板,金属类,SHFE,HC0
2015-01-12,3545.0,3609.0,3520.0,3601.0,2522336,407230,3577.0,白银,金属类,SHFE,AG0
2015-01-12,2557.0,2585.0,2501.0,2502.0,5204600,2193600,2537.0,螺纹钢,金属类,SHFE,RB0
2015-01-12,44100.0,44450.0,43790.0,43960.0,403724,307588,44140.0,铜,金属类,SHFE,CU0
2015-01-12,12840.0,12855.0,12760.0,12770.0,41144,162158,12805.0,铝,金属类,SHFE,AL0
2015-01-12,16455.0,16590.0,16375.0,16410.0,182332,158684,16485.0,锌,金属类,SHFE,ZN0
2015-01-12,244.7,248.7,243.95,247.75,271728,229588,246.35,黄金,金属类,SHFE,AU0
2015-01-13,2750.0,2764.0,2724.0,2736.0,7650,17142,2738.0,热轧卷板,金属类,SHFE,HC0
2015-01-13,3577.0,3645.0,3571.0,3616.0,1816952,396296,3608.0,白银,金属类,SHFE,AG0
2015-01-13,2498.0,2514.0,2483.0,2511.0,3337200,2189100,2503.0,螺纹钢,金属类,SHFE,RB0
2015-01-13,43400.0,43720.0,42880.0,42890.0,404006,315628,43360.0,铜,金属类,SHFE,CU0
2015-01-13,12705.0,12770.0,12685.0,12750.0,55832,160048,12725.0,铝,金属类,SHFE,AL0
2015-01-13,16310.0,16395.0,16250.0,16255.0,153358,160330,16325.0,锌,金属类,SHFE,ZN0
2015-01-13,246.35,250.0,246.0,249.0,197054,233632,248.1,黄金,金属类,SHFE,AU0
2015-01-14,2732.0,2742.0,2628.0,2670.0,20266,20594,2682.0,热轧卷板,金属类,SHFE,HC0
2015-01-14,3635.0,3664.0,3570.0,3608.0,2630104,381950,3627.0,白银,金属类,SHFE,AG0
2015-01-14,2499.0,2520.0,2456.0,2487.0,5060400,2181400,2487.0,螺纹钢,金属类,SHFE,RB0
2015-01-14,42300.0,42700.0,41190.0,41190.0,408472,309766,42150.0,铜,金属类,SHFE,CU0
2015-01-14,12700.0,12755.0,12445.0,12620.0,115790,155188,12605.0,铝,金属类,SHFE,AL0
2015-01-14,16080.0,16165.0,15550.0,15630.0,573954,186858,15820.0,锌,金属类,SHFE,ZN0
2015-01-14,249.5,250.5,246.3,247.9,249476,229310,248.5,黄金,金属类,SHFE,AU0
2015-01-15,2670.0,2696.0,2658.0,2692.0,11844,21966,2674.0,热轧卷板,金属类,SHFE,HC0
2015-01-15,3592.0,3642.0,3556.0,3573.0,2546564,405240,3604.0,白银,金属类,SHFE,AG0
2015-01-15,2483.0,2524.0,2472.0,2519.0,4426300,2191900,2495.0,螺纹钢,金属类,SHFE,RB0
2015-01-15,40600.0,41230.0,39820.0,40920.0,1020638,312866,40520.0,铜,金属类,SHFE,CU0
2015-01-15,12670.0,13005.0,12665.0,12840.0,96998,139916,12770.0,铝,金属类,SHFE,AL0
2015-01-15,15760.0,15960.0,15680.0,15870.0,501186,177374,15835.0,锌,金属类,SHFE,ZN0
2015-01-15,248.0,250.1,246.35,246.75,288116,227196,248.3,黄金,金属类,SHFE,AU0
2015-01-16,2698.0,2708.0,2650.0,2682.0,11764,22776,2676.0,热轧卷板,金属类,SHFE,HC0
2015-01-16,3635.0,3660.0,3613.0,3642.0,2161856,387826,3635.0,白银,金属类,SHFE,AG0
2015-01-16,2519.0,2532.0,2497.0,2510.0,3898300,2247500,2512.0,螺纹钢,金属类,SHFE,RB0
2015-01-16,41320.0,41710.0,40570.0,41040.0,656280,303626,41070.0,铜,金属类,SHFE,CU0
2015-01-16,12930.0,12930.0,12765.0,12820.0,44358,136906,12815.0,铝,金属类,SHFE,AL0
2015-01-16,15915.0,15990.0,15740.0,15810.0,260228,168820,15840.0,锌,金属类,SHFE,ZN0
2015-01-16,251.85,253.75,251.0,253.65,403772,237232,252.45,黄金,金属类,SHFE,AU0
2015-01-19,2676.0,2684.0,2650.0,2666.0,10318,23730,2664.0,热轧卷板,金属类,SHFE,HC0
2015-01-19,3638.0,3783.0,3633.0,3767.0,3544420,472114,3725.0,白银,金属类,SHFE,AG0
2015-01-19,2499.0,2526.0,2471.0,2517.0,5839900,2161800,2501.0,螺纹钢,金属类,SHFE,RB0
2015-01-19,40850.0,41910.0,40750.0,41770.0,517860,287290,41400.0,铜,金属类,SHFE,CU0
2015-01-19,12840.0,12950.0,12825.0,12845.0,45928,135432,12870.0,铝,金属类,SHFE,AL0
2015-01-19,15830.0,16080.0,15800.0,16065.0,256384,158856,15945.0,锌,金属类,SHFE,ZN0
2015-01-19,253.8,259.0,253.5,257.85,381174,239050,256.7,黄金,金属类,SHFE,AU0
2015-01-20,2656.0,2674.0,2638.0,2644.0,10034,22320,2650.0,热轧卷板,金属类,SHFE,HC0
2015-01-20,3770.0,3800.0,3745.0,3770.0,1461346,479754,3770.0,白银,金属类,SHFE,AG0
2015-01-20,2512.0,2528.0,2486.0,2488.0,3804600,2224600,2502.0,螺纹钢,金属类,SHFE,RB0
2015-01-20,41200.0,41590.0,41020.0,41250.0,418760,276198,41340.0,铜,金属类,SHFE,CU0
2015-01-20,12835.0,12850.0,12765.0,12775.0,33438,133104,12805.0,铝,金属类,SHFE,AL0
2015-01-20,15980.0,16100.0,15920.0,16035.0,166498,162064,16000.0,锌,金属类,SHFE,ZN0
2015-01-20,258.0,258.3,256.85,257.65,139018,238328,257.5,黄金,金属类,SHFE,AU0
2015-01-21,2650.0,2662.0,2632.0,2640.0,9092,21312,2646.0,热轧卷板,金属类,SHFE,HC0
2015-01-21,3822.0,3919.0,3787.0,3890.0,2675070,506162,3836.0,白银,金属类,SHFE,AG0
2015-01-21,2485.0,2513.0,2470.0,2472.0,4067200,2226700,2493.0,螺纹钢,金属类,SHFE,RB0
2015-01-21,41510.0,41590.0,41110.0,41260.0,351830,268638,41320.0,铜,金属类,SHFE,CU0
2015-01-21,12820.0,12850.0,12745.0,12775.0,36746,128830,12785.0,铝,金属类,SHFE,AL0
2015-01-21,16140.0,16210.0,16055.0,16155.0,181386,156518,16125.0,锌,金属类,SHFE,ZN0
2015-01-21,260.55,263.0,259.15,262.2,294908,239610,260.75,黄金,金属类,SHFE,AU0
2015-01-22,2628.0,2656.0,2612.0,2632.0,8936,21898,2638.0,热轧卷板,金属类,SHFE,HC0
2015-01-22,3887.0,3934.0,3798.0,3819.0,3079184,517020,3865.0,白银,金属类,SHFE,AG0
2015-01-22,2461.0,2491.0,2460.0,2479.0,3426500,2207300,2481.0,螺纹钢,金属类,SHFE,RB0
2015-01-22,41040.0,42180.0,40930.0,41560.0,526812,253644,41600.0,铜,金属类,SHFE,CU0
2015-01-22,12760.0,12855.0,12740.0,12825.0,34910,126454,12805.0,铝,金属类,SHFE,AL0
2015-01-22,16120.0,16440.0,16110.0,16360.0,285218,151594,16300.0,锌,金属类,SHFE,ZN0
2015-01-22,262.15,263.2,258.05,259.05,349310,236052,260.5,黄金,金属类,SHFE,AU0
2015-01-23,2632.0,2640.0,2606.0,2610.0,9434,24036,2620.0,热轧卷板,金属类,SHFE,HC0
2015-01-23,3843.0,3886.0,3822.0,3859.0,2627510,502324,3859.0,白银,金属类,SHFE,AG0
2015-01-23,2478.0,2496.0,2471.0,2484.0,3686600,2299700,2483.0,螺纹钢,金属类,SHFE,RB0
2015-01-23,41290.0,41620.0,40410.0,40750.0,480318,302022,40910.0,铜,金属类,SHFE,CU0
2015-01-23,12880.0,12880.0,12795.0,12815.0,30180,122420,12820.0,铝,金属类,SHFE,AL0
2015-01-23,16385.0,16460.0,16200.0,16235.0,249750,127732,16315.0,锌,金属类,SHFE,ZN0
2015-01-23,259.55,262.85,258.95,261.4,380550,242060,261.1,黄金,金属类,SHFE,AU0
2015-01-26,2604.0,2612.0,2544.0,2560.0,18546,25014,2576.0,热轧卷板,金属类,SHFE,HC0
