,code,code_name,first_appear_date
0,sh.600000,浦发银行,2015-01-01
1,sh.600004,白云机场,2019-01-01
2,sh.600005,武钢股份,2015-07-01
3,sh.600008,首创股份,2015-01-01
4,sh.600009,上海机场,2015-01-01
5,sh.600010,包钢股份,2015-01-01
6,sh.600011,华能国际,2015-01-01
7,sh.600015,华夏银行,2015-01-01
8,sh.600016,民生银行,2015-01-01
9,sh.600018,上港集团,2015-01-01
10,sh.600019,宝钢股份,2015-01-01
11,sh.600021,上海电力,2016-01-01
12,sh.600022,山东钢铁,2016-07-01
13,sh.600023,浙能电力,2015-01-01
14,sh.600025,华能水电,2018-07-01
15,sh.600026,中远海能,2024-07-01
16,sh.600027,华电国际,2015-01-01
17,sh.600028,中国石化,2015-01-01
18,sh.600029,南方航空,2015-01-01
19,sh.600030,中信证券,2015-01-01
20,sh.600031,三一重工,2015-01-01
21,sh.600036,招商银行,2015-01-01
22,sh.600037,歌华有线,2016-07-01
23,sh.600038,中直股份,2015-01-01
24,sh.600039,四川路桥,2023-07-01
25,sh.600048,保利地产,2015-01-01
26,sh.600050,中国联通,2015-01-01
27,sh.600058,五矿发展,2015-01-01
28,sh.600060,海信电器,2015-01-01
29,sh.600061,国投资本,2016-07-01
30,sh.600066,宇通客车,2015-01-01
31,sh.600068,葛洲坝,2015-01-01
32,sh.600074,*ST保千,2016-07-01
33,sh.600079,人福医药,2015-01-01
34,sh.600085,同仁堂,2015-01-01
35,sh.600089,特变电工,2015-01-01
36,sh.600098,广州发展,2016-07-01
37,sh.600100,同方股份,2015-01-01
38,sh.600104,上汽集团,2015-01-01
39,sh.600108,亚盛集团,2015-01-01
40,sh.600109,国金证券,2015-01-01
41,sh.600111,北方稀土,2015-01-01
42,sh.600115,东方航空,2015-01-01
43,sh.600118,中国卫星,2015-01-01
44,sh.600132,重庆啤酒,2022-01-01
45,sh.600143,金发科技,2015-01-01
46,sh.600150,*ST船舶,2015-01-01
47,sh.600153,建发股份,2015-01-01
48,sh.600157,永泰能源,2015-01-01
49,sh.600160,巨化股份,2025-01-01
50,sh.600161,天坛生物,2021-01-01
51,sh.600166,福田汽车,2015-01-01
52,sh.600170,上海建工,2015-01-01
53,sh.600176,中国巨石,2018-07-01
54,sh.600177,雅戈尔,2015-01-01
55,sh.600183,生益科技,2020-01-01
56,sh.600188,兖州煤业,2015-01-01
57,sh.600196,复星医药,2015-01-01
58,sh.600208,新湖中宝,2015-01-01
59,sh.600219,南山铝业,2018-01-01
60,sh.600221,海航控股,2015-01-01
61,sh.600233,圆通速递,2017-07-01
62,sh.600252,中恒集团,2015-01-01
63,sh.600256,广汇能源,2015-01-01
64,sh.600267,海正药业,2015-01-01
65,sh.600271,航天信息,2015-01-01
66,sh.600276,恒瑞医药,2015-01-01
67,sh.600277,亿利洁能,2015-01-01
68,sh.600297,广汇汽车,2017-01-01
69,sh.600299,安迪苏,2019-07-01
70,sh.600309,万华化学,2015-01-01
71,sh.600315,上海家化,2015-01-01
72,sh.600316,洪都航空,2015-01-01
73,sh.600317,营口港,2015-07-01
74,sh.600332,白云山,2015-01-01
75,sh.600339,中油工程,2018-07-01
76,sh.600340,华夏幸福,2015-01-01
77,sh.600346,恒力股份,2018-07-01
78,sh.600348,阳泉煤业,2015-01-01
79,sh.600350,山东高速,2016-01-01
80,sh.600352,浙江龙盛,2015-01-01
81,sh.600362,江西铜业,2015-01-01
82,sh.600369,西南证券,2015-01-01
83,sh.600372,中航电子,2015-01-01
84,sh.600373,中文传媒,2015-01-01
85,sh.600376,首开股份,2016-07-01
86,sh.600377,宁沪高速,2025-01-01
87,sh.600383,金地集团,2015-01-01
88,sh.600390,五矿资本,2018-01-01
89,sh.600395,盘江股份,2015-01-01
90,sh.600398,海澜之家,2015-01-01
91,sh.600406,国电南瑞,2015-01-01
92,sh.600415,小商品城,2015-01-01
93,sh.600426,华鲁恒升,2022-01-01
94,sh.600436,片仔癀,2015-01-01
95,sh.600438,通威股份,2018-07-01
96,sh.600446,金证股份,2016-07-01
97,sh.600460,士兰微,2022-07-01
98,sh.600482,中国动力,2017-01-01
99,sh.600485,信威集团,2015-01-01
100,sh.600487,亨通光电,2018-07-01
101,sh.600489,中金黄金,2015-01-01
102,sh.600497,驰宏锌锗,2015-01-01
103,sh.600498,烽火通信,2015-01-01
104,sh.600515,海南机场,2024-01-01
105,sh.600516,方大炭素,2015-01-01
106,sh.600518,康美药业,2015-01-01
107,sh.600519,贵州茅台,2015-01-01
108,sh.600521,华海药业,2022-01-01
109,sh.600522,中天科技,2017-07-01
110,sh.600535,天士力,2015-01-01
111,sh.600547,山东黄金,2015-01-01
112,sh.600549,厦门钨业,2015-01-01
113,sh.600566,济川药业,2019-01-01
