date,interest_rate,vix
2015-02-09,4.335,28.63
2015-02-10,4.321,28.75
2015-02-11,4.42,26.44
2015-02-12,4.602,25.8
2015-02-13,4.663,23.41
2015-02-15,4.72,23.41
2015-02-16,4.7,23.71
2015-02-17,4.749,24.3
2015-02-25,4.768,26.33
2015-02-26,4.717,26.1
2015-02-27,4.715,27.04
2015-02-28,4.772,27.04
2015-03-02,4.748,28.05
2015-03-03,4.747,28.45
2015-03-04,4.717,27.68
2015-03-05,4.729,26.67
2015-03-06,4.739,26.47
2015-03-09,4.773,27.22
2015-03-10,4.763,26.22
2015-03-11,4.773,25.86
2015-03-12,4.7511,25.93
2015-03-13,4.738,25.01
2015-03-16,4.708,25.2
2015-03-17,4.62,25.25
2015-03-18,4.602,25.14
2015-03-19,4.496,27.3
2015-03-20,4.331,26.47
2015-03-23,4.143,28.76
2015-03-24,4.033,30.67
2015-03-25,3.955,30.16
2015-03-26,3.897,29.06
2015-03-27,3.893,29.28
2015-03-30,3.919,27.87
2015-03-31,3.886,30.09
2015-04-01,3.754,30.36
2015-04-02,3.635,31.77
2015-04-03,3.506,31.17
2015-04-07,3.319,29.51
2015-04-08,3.163,31.98
2015-04-09,3.073,35.06
2015-04-10,2.97,33.41
2015-04-13,2.949,36.86
2015-04-14,2.92,40.15
2015-04-15,2.88,40.13
2015-04-16,2.884,37.36
2015-04-17,2.873,41.57
2015-04-20,2.732,47.75
2015-04-21,2.62,46.9
2015-04-22,2.567,44.28
2015-04-23,2.527,44.72
2015-04-24,2.488,45.65
2015-04-27,2.451,44.88
2015-04-28,2.438,46.59
2015-04-29,2.439,46.61
2015-04-30,2.43,46.55
2015-05-04,2.39,46.13
2015-05-05,2.368,45.46
2015-05-06,2.369,45.55
2015-05-07,2.355,46.78
2015-05-08,2.334,44.97
2015-05-11,2.245,45.78
2015-05-12,2.197,45.97
2015-05-13,2.149,46.03
2015-05-14,2.056,44.96
2015-05-15,1.962,41.44
2015-05-18,1.92,37.48
2015-05-19,1.925,37.28
2015-05-20,1.932,41.52
2015-05-21,1.944,42.05
2015-05-22,1.966,43.01
2015-05-25,1.968,45.8
2015-05-26,1.9688,45.81
2015-05-27,1.967,46.91
2015-05-28,1.952,46.63
2015-05-29,1.972,47.29
2015-06-01,1.963,47.22
2015-06-02,1.977,47.61
2015-06-03,2.057,47.9
2015-06-04,2.122,46.57
2015-06-05,2.07,46.6
2015-06-08,2.043,43.66
2015-06-09,2.049,47.55
2015-06-10,2.052,48.07
2015-06-11,2.063,49.74
2015-06-12,2.085,49.76
2015-06-15,2.11,48.06
2015-06-16,2.143,47.27
2015-06-17,2.238,47.31
2015-06-18,2.478,47.08
2015-06-19,2.674,46.9
2015-06-23,2.675,51.17
2015-06-24,2.808,52.05
2015-06-25,2.884,47.42
2015-06-26,2.921,48.08
2015-06-29,2.84,60.09
2015-06-30,2.652,59.21
2015-07-01,2.602,55.91
2015-07-02,2.712,57.54
2015-07-03,2.802,55.15
2015-07-06,2.661,60.08
2015-07-07,2.61,54.84
2015-07-08,2.589,51.7
2015-07-09,2.578,55.34
2015-07-10,2.575,54.02
2015-07-13,2.553,52.96
2015-07-14,2.556,49.31
2015-07-15,2.55,45.06
2015-07-16,2.481,41.63
2015-07-17,2.464,39.33
2015-07-20,2.449,38.73
2015-07-21,2.458,38.79
2015-07-22,2.478,35.26
2015-07-23,2.54,32.98
2015-07-24,2.559,33.09
2015-07-27,2.559,30.41
2015-07-28,2.552,39.52
2015-07-29,2.514,41.79
2015-07-30,2.502,37.43
2015-07-31,2.509,40.17
2015-08-03,2.495,40.45
2015-08-04,2.483,40.02
2015-08-05,2.471,40.26
2015-08-06,2.449,41.51
2015-08-07,2.453,40.79
2015-08-10,2.455,40.75
2015-08-11,2.463,40.18
2015-08-12,2.472,39.83
2015-08-13,2.481,39.61
2015-08-14,2.495,39.65
2015-08-17,2.517,40.06
2015-08-18,2.531,39.07
2015-08-19,2.546,37.42
2015-08-20,2.586,38.03
2015-08-21,2.599,35.2
2015-08-24,2.597,35.61
2015-08-25,2.593,48.34
2015-08-26,2.429,63.79
2015-08-27,2.398,61.14
2015-08-28,2.392,61.16
2015-08-31,2.398,62.28
2015-09-01,2.41,63.33
2015-09-02,2.421,60.88
2015-09-06,2.41,60.88
2015-09-07,2.41,59.49
2015-09-08,2.402,47.98
2015-09-09,2.398,45.63
2015-09-10,2.4,41.78
2015-09-11,2.403,40.86
2015-09-14,2.394,42.35
2015-09-15,2.392,44.63
2015-09-16,2.391,41.34
2015-09-17,2.391,41.06
2015-09-18,2.39,40.19
2015-09-21,2.391,39.81
2015-09-22,2.397,37.17
2015-09-23,2.401,38.93
2015-09-24,2.48,37.63
2015-09-25,2.447,34.91
2015-09-28,2.431,31.93
2015-09-29,2.419,31.1
2015-09-30,2.408,30.65
2015-10-08,2.4,31.7
2015-10-09,2.4,30.07
2015-10-10,2.401,30.07
2015-10-12,2.397,30.07
2015-10-13,2.397,31.95
2015-10-14,2.397,31.71
2015-10-15,2.397,29.66
2015-10-16,2.394,29.26
2015-10-19,2.395,30.34
2015-10-20,2.394,30.99
2015-10-21,2.394,32.76
2015-10-22,2.396,31.8
2015-10-23,2.401,30.64
2015-10-26,2.338,32.39
2015-10-27,2.297,30.86
2015-10-28,2.292,31.72
2015-10-29,2.291,31.76
2015-10-30,2.291,28.96
2015-11-02,2.291,29.84
2015-11-03,2.29,30.01
2015-11-04,2.293,30.25
2015-11-05,2.288,32.16
2015-11-06,2.285,32.45
2015-11-09,2.285,41.93
2015-11-10,2.28,43.1
2015-11-11,2.279,39.62
2015-11-12,2.279,38.7
2015-11-13,2.278,37.74
2015-11-16,2.279,38.37
2015-11-17,2.278,37.72
2015-11-18,2.279,37.03
2015-11-19,2.28,35.99
2015-11-20,2.282,34.04
2015-11-23,2.283,33.22
2015-11-24,2.285,31.83
2015-11-25,2.286,32.28
2015-11-26,2.289,29.7
2015-11-27,2.293,34.58
2015-11-30,2.299,34.53
2015-12-01,2.294,33.73
2015-12-02,2.293,32.45
2015-12-03,2.292,32.53
2015-12-04,2.293,32.49
2015-12-07,2.291,31.6
2015-12-08,2.292,31.46
2015-12-09,2.294,31.12
2015-12-10,2.297,30.86
2015-12-11,2.302,30.77
2015-12-14,2.303,31.09
2015-12-15,2.299,30.47
2015-12-16,2.301,30.28
2015-12-17,2.299,29.27
2015-12-18,2.318,26.08
2015-12-21,2.334,26.61
2015-12-22,2.342,27.69
2015-12-23,2.348,28.04
2015-12-24,2.348,27.19
2015-12-25,2.355,26.28
2015-12-28,2.354,28.13
2015-12-29,2.352,27.28
2015-12-30,2.352,27.46
2015-12-31,2.355,27.95
2016-01-04,2.335,33.44
2016-01-05,2.33,32.18
2016-01-06,2.322,31.51
2016-01-07,2.313,23.33
2016-01-08,2.308,35.22
2016-01-11,2.303,33.81
2016-01-12,2.3,35.91
2016-01-13,2.3,34.72
2016-01-14,2.3,37.8
2016-01-15,2.303,35.49
2016-01-18,2.308,37.24
2016-01-19,2.316,37.35
2016-01-20,2.341,36.81
2016-01-21,2.405,35.12
2016-01-22,2.4,34.87
2016-01-25,2.376,34.74
2016-01-26,2.363,32.02
2016-01-27,2.359,38.46
2016-01-28,2.362,37.67
2016-01-29,2.33,38.95
2016-02-01,2.444,36.37
2016-02-02,2.455,35.14
2016-02-03,2.453,34.8
2016-02-04,2.455,34.52
2016-02-05,2.448,35.38
2016-02-06,2.353,35.38
2016-02-14,2.313,35.38
2016-02-15,2.3,37.39
2016-02-16,2.297,36.65
2016-02-17,2.297,35.5
2016-02-18,2.285,33.79
2016-02-19,2.286,32.22
