品种,类别,样本量,均值,标准差,最小值,25%,50% (中位数),75%,最大值,偏度,峰度
1-3年国债ETF,,3141,4.368737365975846e-05,0.0015082701319567968,-0.04676176590803921,0.0,0.0,9.153737019521726e-05,0.015419710439099451,-12.270445407303955,361.12316271203457
10年期国债期货,,4349,2.53518851898389e-05,0.0015000566712415763,-0.017499267732042658,0.0,0.0,0.0001391433410562122,0.012758071981617092,-0.4735965686016095,11.58956808729861
2年期国债期货,,3577,9.135926807817176e-06,0.000530237584246505,-0.011918260106949049,0.0,0.0,4.8867495794816814e-05,0.0075134076549216505,-3.2709831890573797,102.49546271618193
30年期国债期货,,1309,0.00011205789740110833,0.0030188076338693508,-0.02306732728539838,0.0,0.0,0.0005947576537955362,0.01711584258596401,-0.7117026244301813,7.617116084982779
5年期国债期货,,4349,1.5013850776471503e-05,0.0010030917851281919,-0.012472480773035352,0.0,0.0,5.0217189354494856e-05,0.009675063923541867,-0.7527900130021954,16.697008527241795
7-10年国债ETF,,4055,7.333988147722704e-05,0.0012479006127962017,-0.011379554567070911,0.0,0.0,0.0001677733117383203,0.012389062314160282,-0.16161542886776933,16.3874777565797
中证交易所绿色债券指数,,4375,8.671882979999583e-05,0.00041106937506962615,-0.0041777366481102205,0.0,0.0,0.0002120066606093463,0.006426507025297201,0.8586405092919689,35.03272740535441
中证交易所高等级绿色债券指数,,4375,8.649975673605651e-05,0.0004126311717274676,-0.004180993228697956,0.0,0.0,0.00021272890899600087,0.006333143397022599,0.7943974393117288,33.04695730352468
中证绿色债券指数,,4375,7.68262925653425e-05,0.00031910414831486637,-0.003501929638157736,0.0,0.0,0.0001682935149925366,0.005487906711235658,1.2657116178528758,38.381887099812175
信用债ETF,,2551,4.6463689296523714e-05,0.00032506110114943195,-0.01052553053217482,0.0,0.0,8.631771753756437e-05,0.010089944035882958,-1.8293943764347347,796.5064539551852
短融ETF,,2879,9.18226467125287e-05,0.0088474358858233,-0.09618861429544133,0.0,0.0,0.0,0.08610516940609166,-0.5239963231044241,17.363926758478538
综合债指数ETF,,857,0.00017900530528507967,0.013041751054255096,-0.10536225329087474,0.0,0.0,0.0,0.08668327757788616,-0.7244483001396681,24.708265188071273
绿色债券ETF(南方),,2549,0.00033166091938780125,0.006227912847537018,-0.06354247989677711,0.0,0.0,0.0007529175910957491,0.044675343030833085,-0.7402558879782634,15.502553294383844
绿色电力ETF,,2345,0.00014538447205569025,0.01691531778834582,-0.1057553044509523,0.0,0.0,0.0,0.0956826886557176,0.0665399693777006,7.5429568341253574
高等级同业存单ETF,,1553,5.097506640065612e-05,0.000420746897017469,-0.0033500868852820854,0.0,0.0,9.243852844452577e-05,0.0024780551825100434,-0.3214882388001064,9.985977077903323
