品种,类别,数据起始,数据结束,交易日数,样本量,均值,标准差,最小值,25%,50% (中位数),75%,最大值,偏度,峰度
1-3年国债ETF,,2019-02-22,2025-12-31,3142,3142,108.34525779758116,5.214937152972266,98.95,104.4,107.1,112.77525,117.898,0.3419274929783187,-0.9665654125391008
10年期国债期货,,2017-01-17,2025-12-31,4350,4350,100.15874022988505,4.428388119555991,91.495,97.21124999999999,99.91,102.195,109.535,0.4350683370831124,-0.5213717999752441
2年期国债期货,,2018-08-17,2025-12-31,3578,3578,101.10492174399107,0.8716327427701583,99.16,100.365,101.01,101.668,103.148,0.32533820732014723,-0.7331093697358271
30年期国债期货,,2023-04-21,2025-12-31,1310,1310,109.70784732824426,7.974347265339298,96.21,101.3875,111.43,116.4975,122.1,-0.19641665880801504,-1.348891519464521
5年期国债期货,,2017-01-17,2025-12-31,4350,4350,101.0612551724138,2.7031343910652534,95.635,99.27125,100.985,102.40875,106.97,0.3229213380647787,-0.5836363114998822
7-10年国债ETF,,2017-08-24,2025-12-31,4056,4056,116.36773865877713,11.183799653726481,97.05,107.5405,114.997,123.48875,136.938,0.2865146071519299,-0.9238595892918959
中证交易所绿色债券指数,,2015-01-01,2025-12-31,4376,4376,122.27690585009141,15.01013002174739,97.29,109.58250000000001,122.22,134.53,146.14,-0.05452781907196641,-1.2056225223145232
中证交易所高等级绿色债券指数,,2015-01-01,2025-12-31,4376,4376,122.21648994515539,14.989751105037888,97.22,109.63,122.05,134.5225,146.0,-0.054735041203550716,-1.2085384120451284
中证绿色债券指数,,2015-01-01,2025-12-31,4376,4376,120.33749542961608,12.56597251400926,98.94,110.1275,120.63,130.89,139.95,-0.13349447457387073,-1.1848619780278578
信用债ETF,,2020-09-25,2025-12-31,2552,2552,107.08364420062695,3.6523493493734076,100.195,104.10175,107.213,110.3625,112.835,-0.14341401089962832,-1.1640283523189408
短融ETF,,2020-01-17,2025-12-31,2880,2880,1.1007854166666666,0.16223217316197563,0.808,0.97,1.0625,1.233,1.496,0.3267457980590366,-1.0568303738443026
综合债指数ETF,,2018-05-31,2021-08-02,858,858,104.3577226107226,5.0084724865724315,93.991,100.5,102.801,106.0,129.199,1.4599885258109804,2.4168346804558434
绿色债券ETF(南方),,2020-09-28,2025-12-31,2550,2550,4.9640964705882356,1.5057664437351985,3.558,3.8522499999999997,4.389,5.5575,9.669,1.3460003733776853,0.8488051189386283
绿色电力ETF,,2021-03-05,2025-12-31,2346,2346,1.0254083546462063,0.22535777458424766,0.663,0.84,0.978,1.147,1.685,0.7148949790193992,-0.25456961168552317
高等级同业存单ETF,,2022-10-24,2025-12-31,1554,1554,104.69293050193049,2.922692387565561,99.549,102.25,105.121,107.665,108.71,-0.2221745789859483,-1.4114536377704816
