品种,类别,样本量,均值,标准差,最小值,25%,50% (中位数),75%,最大值,偏度,峰度
小麦,农产品,1764,1382.331065759637,2525.515921487463,0,45.0,308.0,1600.0,30046,3.853224136399227,23.685660336774863
棉花,农产品,2671,333088.2456008985,251282.14186078744,2,177931.0,274450.0,414300.5,2864938,3.0423722775119337,16.623415699078723
玉米,农产品,2675,491806.73831775703,309315.0870924502,0,314718.0,429027.0,591622.0,3723882,2.3288916061173865,11.008108561430513
白糖,农产品,2672,509784.74550898204,398076.74658697913,24,261441.0,381889.5,601103.25,3360972,2.3321535414170995,6.988645419583818
菜籽油,农产品,2666,306619.3218304576,216919.0530616177,24,136687.75,262097.5,426329.5,1550987,1.1422354453240262,1.75969805594015
菜籽粕,农产品,2673,891042.7358772914,723761.7760501989,8,471810.0,699915.0,1010328.0,6092828,2.827906283534696,10.448871669788536
豆粕,农产品,2676,1339315.4286248132,846557.0510997297,0,862222.5,1141077.5,1544236.0,7651616,3.2103849121270334,14.97782603651707
黄大豆一号,农产品,2674,148384.33694839192,84629.67623996257,0,96036.5,128577.5,176526.0,1299000,3.1123566122512134,22.50604248917523
上证50股指期货,股指期货,2175,29940.936091954023,14304.266372692984,116,19625.0,30624.0,39295.0,113039,0.43999835227981254,1.245730853631756
中证1000股指期货,股指期货,837,87611.18040621266,57727.22479504786,13464,35749.0,75764.0,130165.0,307215,0.7084055484029897,-0.44507724247976643
中证500股指期货,股指期货,2175,50199.949885057475,29125.755601836187,306,28221.5,49899.0,68603.0,168648,0.45276432055105215,0.05979697360643366
沪深300股指期货,股指期货,2175,60963.96091954023,31483.30920908953,270,39477.0,61815.0,81677.5,187888,0.23701886555668192,-0.16478281720382615
低硫燃料油,能源化工,1343,87610.0037230082,42658.86761061999,2835,55959.0,81903.0,112208.0,314520,1.0171614390169614,1.8335722503640373
原油,能源化工,1887,159402.1229464759,96160.98311116283,249,98387.0,135217.0,199803.5,703896,1.8318246962756128,5.03268265988735
液化石油气,能源化工,1399,125077.83774124374,97994.02652369326,26096,69314.5,100620.0,149360.0,1270395,4.427075215441847,32.04561828349773
焦炭,能源化工,2674,199723.5560957367,229081.25713668097,0,31090.75,118180.0,317761.5,2420704,2.7678316237720284,16.129178509989757
焦煤,能源化工,2673,243117.56939768052,305643.64540729544,0,77565.0,147648.0,286709.0,3461352,4.0678383841076595,23.99851286107664
燃料油,能源化工,2650,622506.8852830188,639557.5020462385,0,18.0,532458.5,972402.25,5269715,1.5573741611138479,4.253267456037615
甲醇,能源化工,2667,1301489.9696287964,767267.5901861984,6,801787.5,1159355.0,1602126.5,9020298,2.9867854784839722,18.464737445297516
热轧卷板,金属类,2676,463681.16554559045,282838.85456321924,0,296815.5,436572.0,605535.5,2083776,0.8135348966003466,1.5670989141522913
白银,金属类,2675,769680.3136448598,605093.2718486097,0,386791.0,591243.0,932238.0,5271543,2.480468526978104,9.215128605829145
螺纹钢,金属类,2675,2924995.5185046727,2166864.478275219,4,1446726.5,2270046.0,3800548.0,22361400,2.5579917679146402,11.802538006456798
铜,金属类,2675,183332.20897196262,146249.37607727884,0,87906.0,136876.0,225645.0,1319384,2.4255436907950765,8.682061183017726
铝,金属类,2675,189882.1368224299,120198.02836825373,0,118201.5,162060.0,236378.5,1115798,2.0108321305422883,7.411312671521925
锌,金属类,2675,268307.1076635514,194934.10632432144,0,135064.0,192934.0,351638.5,1844238,1.8687936846068738,5.6012400518729795
锡,金属类,2621,53912.3441434567,51774.01571262645,0,16154.0,39972.0,75396.0,472551,2.3255912014697846,9.572744788597769
镍,金属类,2621,469704.53796260967,357570.1515719344,0,161026.0,420894.0,665006.0,2292382,1.3608601470220345,2.668294728124181
黄金,金属类,2676,186165.30156950673,132470.66342788565,0,108567.5,150631.5,218829.75,1365148,3.014321816352809,13.960331950388058
