品种,类别,合约代码,样本量,均值,标准差,最小值,25%,50% (中位数),75%,最大值,偏度,峰度
小麦,农产品,WH0,1763,0.00010423438532451678,0.015016136409711228,-0.15783392524355477,-0.002539454905447532,0.0,0.0028898771581007685,0.1611193491433516,-0.4216613855170184,37.419032678793975
棉花,农产品,CF0,2670,4.222442403854945e-05,0.012489182487085223,-0.07933373919293644,-0.005207074773328374,0.0,0.005690281676474014,0.07191975995469586,-0.12531571776092984,5.4865251471715535
玉米,农产品,C0,2674,-2.4544852477452765e-05,0.012828555649258229,-0.17964293177186846,-0.00405680069561443,0.0,0.004173659917171466,0.18524126689728937,-1.7917502076801601,85.10386742506537
白糖,农产品,SR0,2671,5.348253007551235e-05,0.009108550518506342,-0.06229149435131376,-0.004592755426475825,0.00017480989468525476,0.004538448980139302,0.0605621965966257,0.19206614723574744,5.407380377545633
菜籽油,农产品,OI0,2665,0.00015525437382790758,0.012420633248302723,-0.0675970377278097,-0.005898433267255792,0.0,0.006719209709696559,0.06765536116823838,-0.10569385739933568,3.4351235224761214
菜籽粕,农产品,RM0,2672,2.5877206088807664e-05,0.016378494489212247,-0.1710474802207366,-0.007932271749500501,0.0,0.00836727312301213,0.08021303848070786,-0.8505291642778299,10.757659057112251
豆粕,农产品,M0,2675,-7.5388148753460625e-06,0.01371607878304628,-0.15172359573838137,-0.006269671203372672,0.00024122542632964834,0.006638247511209859,0.07360035792962409,-1.8413284146080766,20.98293360777843
黄大豆一号,农产品,A0,2673,-2.192720437565117e-05,0.011028425251704107,-0.06745692033541757,-0.005287858803192155,-0.00017542320894035391,0.004826505167112612,0.10834627809642847,0.34901488578505496,8.054233322477058
上证50股指期货,股指期货,IH0,2174,0.00012094435198724729,0.012402544810451891,-0.1008346964273823,-0.005900161774189169,7.657628762381931e-05,0.006142071614456702,0.0868633963959574,-0.15868941264589254,7.551937564212693
中证1000股指期货,股指期货,IM0,836,7.974774693402775e-05,0.01633926135365836,-0.10462763294701774,-0.007536700404827106,0.00041327454276182137,0.007704845436134881,0.0985133953178323,-0.09293682513032925,6.852908780535018
中证500股指期货,股指期货,IC0,2174,8.919307855584886e-05,0.014390091363087847,-0.10668315163916882,-0.006866497887991965,0.00027894962073254063,0.007152106126342695,0.09626447732711303,-0.4697349685433482,7.627095219161436
沪深300股指期货,股指期货,IF0,2174,0.0001506138658143264,0.012672691545749052,-0.10635690036699058,-0.006096979361909316,-0.00013483812730781742,0.006441461658579312,0.08336906902030952,-0.425970842450087,8.8113936212112
低硫燃料油,能源化工,LU0,1342,9.059664502287982e-05,0.021679356459043606,-0.14557028397090557,-0.01165651139536219,0.0013525044802361347,0.012532816251996926,0.10991774319853717,-0.33612461221193685,3.5587262745145622
原油,能源化工,SC0,1886,2.8291731551157298e-06,0.022906488887317587,-0.14131906777779576,-0.011651362335576988,0.0008635593610061174,0.012434232856687072,0.10111127341573754,-0.2984776714128005,3.0509831995458936
液化石油气,能源化工,PG0,1398,0.00039882745758311943,0.02142454401656026,-0.08483782348052193,-0.009234244810980667,-0.00018061830209287828,0.009908650712392924,0.22776899948044987,1.482827619267935,14.037269301334492
焦炭,能源化工,J0,2673,0.0001855491575443972,0.023250484345819646,-0.1911558758208126,-0.010941658252868873,0.0004884004981088468,0.01291097746690502,0.09383846499123936,-0.7404344250765778,5.337311412605244
焦煤,能源化工,JM0,2672,0.0001580075689163337,0.02498068742615996,-0.2060834285689014,-0.011489368236279676,0.0,0.012380796215511797,0.11632064160841317,-0.5853681734477705,5.681195511554947
燃料油,能源化工,FU0,2649,-7.426383135923275e-05,0.024346008748403723,-0.2504233611691513,-0.008241804895103755,0.0,0.00982326170294302,0.1725022945673155,-0.8449624851609447,12.773924050871884
甲醇,能源化工,MA0,2666,3.71578016019634e-05,0.01718145180586629,-0.11643695926522252,-0.00909846930106607,0.0,0.009331590907269476,0.09874464225295974,-0.1372754102849762,3.455004647444842
热轧卷板,金属类,HC0,2675,4.463171231669603e-05,0.01573329124893399,-0.08132157108051599,-0.007711115589923917,0.00030916679794873404,0.008403473664217365,0.078738880162981,-0.4091537718466986,3.2082139160416117
白银,金属类,AG0,2674,0.0005919206684480464,0.015494570242576973,-0.10345898918826375,-0.005887486283080342,0.0002893227760339396,0.0073123244181791495,0.08061816647744457,-0.22962444728428744,5.136664289934502
螺纹钢,金属类,RB0,2674,7.422085400215895e-05,0.016917949704744355,-0.10111506326255554,-0.00796596750076084,0.000267066753672338,0.008736314005651731,0.09888640176509389,-0.4760600148091691,4.570391636933911
铜,金属类,CU0,2674,0.0002913144260386167,0.011065321060063504,-0.06848577208460407,-0.0055421434948729545,0.0002714284257498478,0.005981658517053096,0.061602080101225476,-0.0691380078153202,4.4287953761160805
铝,金属类,AL0,2674,0.00021517890007824295,0.010743085615925645,-0.06514127739571735,-0.004800797339125505,0.000374462555789439,0.005729928717569944,0.049849077022553014,-0.4968577787983921,4.096060328097641
锌,金属类,ZN0,2674,0.00012370015538764885,0.013029851190923867,-0.07606057772662436,-0.0070775319184341115,0.00021055150374464345,0.007319822664023904,0.07488527495228385,-0.07898815128983486,2.8462649025982687
锡,金属类,SN0,2620,0.0011491492707350007,0.04207354056303856,-0.11139518454585105,-0.006361692210841828,0.00027923462954363934,0.006987941205119734,2.004728835651055,41.250043948570166,1965.2742625522121
镍,金属类,NI0,2620,0.00010427842100757823,0.019659930423428534,-0.31374406948803885,-0.009331224752097753,0.0006763335981863942,0.009795265211596214,0.15697498568204984,-1.3970342759286005,30.606783729287528
黄金,金属类,AU0,2675,0.0005216831036264332,0.008612718957211813,-0.05836898289145757,-0.003773228729438096,0.0004714454174966014,0.004732707325609394,0.053989732285296035,-0.08834205420145445,4.631954080977348
