品种,类别,合约代码,数据起始,数据结束,交易日数,样本量,均值,标准差,最小值,25%,50% (中位数),75%,最大值,偏度,峰度
小麦,农产品,WH0,2015-01-05,2023-02-28,1764,1764,2699.9030612244896,236.57960496585977,2129.0,2558.0,2645.0,2784.0,3645.0,1.130050469519872,1.7026809412506085
棉花,农产品,CF0,2015-01-05,2025-12-31,2671,2671,14819.417821040808,2286.183711436779,9990.0,13310.0,14815.0,15690.0,22855.0,1.053950745343694,1.697353397225422
玉米,农产品,C0,2015-01-05,2025-12-31,2675,2675,2193.7906542056076,426.84981163487487,1390.0,1842.0,2204.0,2561.0,3044.0,0.028162012282138885,-1.2272698387523704
白糖,农产品,SR0,2015-01-05,2025-12-31,2672,2672,5771.447230538922,556.8241713757976,4552.0,5388.5,5669.0,6121.25,7270.0,0.5194505002880895,-0.4560741395379675
菜籽油,农产品,OI0,2015-01-05,2025-12-31,2666,2666,8216.323330832709,1996.080214663959,5458.0,6586.0,7720.0,9563.0,14448.0,0.7625698042879835,-0.15933153085519836
菜籽粕,农产品,RM0,2015-01-05,2025-12-31,2673,2673,2555.4747474747473,412.4966133708985,1709.0,2276.0,2459.0,2799.0,4285.0,1.115171477998858,1.4189408662228904
豆粕,农产品,M0,2015-01-05,2025-12-31,2676,2676,3111.9555306427505,466.544024711173,2255.0,2780.0,2978.0,3381.75,4488.0,0.8093119969132376,-0.10239974259666518
黄大豆一号,农产品,A0,2015-01-05,2025-12-31,2674,2674,4450.9349289454,872.6222130042137,3129.0,3757.0,4169.0,5065.75,6508.0,0.695459933379604,-0.7591306622160783
上证50股指期货,股指期货,IH0,2017-01-17,2025-12-31,2175,2175,2797.502528735632,351.83669398548085,2200.2,2522.2,2734.0,2978.9,4020.4,0.7662652956461723,0.1956275783739252
中证1000股指期货,股指期货,IM0,2022-07-22,2025-12-31,837,837,6173.189247311829,751.4717266861364,4176.6,5728.0,6215.4,6687.8,7478.4,-0.4333145084419194,-0.42385626237428475
中证500股指期货,股指期货,IC0,2017-01-17,2025-12-31,2175,2175,5874.494528735633,738.8039194477751,4033.2,5343.0,5971.8,6372.700000000001,7596.4,-0.2014622846671403,-0.5293503961836556
沪深300股指期货,股指期货,IF0,2017-01-17,2025-12-31,2175,2175,4018.2463448275867,550.2744372969086,2962.2,3648.7,3908.8,4239.9,5801.0,0.7186809716452961,-0.08003232610493827
低硫燃料油,能源化工,LU0,2020-06-22,2025-12-31,1343,1343,3866.884586746091,805.2441591345923,2015.0,3386.0,3921.0,4304.5,6717.0,0.3039354722540057,0.6116272204049209
原油,能源化工,SC0,2018-03-26,2025-12-31,1887,1887,497.4549549549549,115.53508873561731,206.6,437.0,497.0,567.55,806.6,-0.20759664176498496,-0.15157720409405506
液化石油气,能源化工,PG0,2020-03-30,2025-12-31,1399,1399,4552.624731951394,712.0685577176112,2366.0,4076.5,4493.0,4940.5,6979.0,0.49328967171881094,0.2974123523043457
焦炭,能源化工,J0,2015-01-05,2025-12-31,2674,2674,2003.8042258788332,688.4841546917377,606.5,1669.5,1999.5,2414.75,4402.0,0.10650194479243642,0.1733394447141836
焦煤,能源化工,JM0,2015-01-05,2025-12-31,2673,2673,1383.2590722035166,537.4812860001142,494.0,1125.5,1281.0,1643.5,3847.0,0.9962428190276236,1.5069798936838308
燃料油,能源化工,FU0,2015-01-05,2025-12-31,2650,2650,2934.4962264150945,638.3296709118467,1373.0,2493.5,2913.0,3391.75,4575.0,0.021465412662154383,-0.4681458165412331
甲醇,能源化工,MA0,2015-01-05,2025-12-31,2667,2667,2422.9898762654666,362.08000566880725,1555.0,2183.5,2456.0,2629.5,4054.0,0.17241092106442396,0.5579784442572842
热轧卷板,金属类,HC0,2015-01-05,2025-12-31,2676,2676,3638.6229446935727,843.8703764018923,1691.0,3277.0,3679.5,3990.0,6683.0,0.18129519229924868,0.6881809968628083
白银,金属类,AG0,2015-01-05,2025-12-31,2675,2675,5112.154392523365,1971.2531434561104,2937.0,3743.0,4410.0,5673.5,18319.0,2.289548029785508,7.510123199675121
螺纹钢,金属类,RB0,2015-01-05,2025-12-31,2675,2675,3529.8665420560746,821.7520443216822,1626.0,3131.0,3614.0,3927.0,6171.0,-0.03285082558506942,0.32973886807978614
铜,金属类,CU0,2015-01-05,2025-12-31,2675,2675,57650.601869158876,14390.013993793826,33510.0,46645.0,52810.0,69580.0,98860.0,0.2548771335092597,-1.0760441358281656
铝,金属类,AL0,2015-01-05,2025-12-31,2675,2675,16308.442990654206,3348.2037733498796,9710.0,13717.5,14910.0,19207.5,24695.0,0.19028456103216143,-1.2503630640129733
锌,金属类,ZN0,2015-01-05,2025-12-31,2675,2675,21042.379439252338,3432.266575366618,12040.0,18990.0,21715.0,23505.0,28650.0,-0.60475566271562,-0.359393130813658
锡,金属类,SN0,2015-03-27,2025-12-31,2621,2621,182978.4566959176,62712.77697859746,15905.0,140670.0,148860.0,231490.0,391400.0,0.6751298118471587,-0.5488360816646045
镍,金属类,NI0,2015-03-27,2025-12-31,2621,2621,121006.73788630294,36556.98362709654,64970.0,95060.0,117880.0,137460.0,267700.0,0.9072822275335819,0.5875850478744304
黄金,金属类,AU0,2015-01-05,2025-12-31,2676,2676,394.32792227204783,161.18803433251642,218.15,276.5,369.21000000000004,442.575,1016.3,1.6525929287532761,2.545284680799189
