股票代码,样本量,均值,标准差,最小值,25%,50% (中位数),75%,最大值,偏度,峰度
sh.600000,2516.0,8.160476097599364,1.1865397368313249,5.9483444,7.27323902,8.15179172,9.06496833,13.47146996,0.40155053928709494,0.44738004764834427
sh.600004,2548.0,11.682258681440345,2.8667247301310566,6.2790448,9.249928975,11.5772087,13.7749923475,22.5950385,0.4961277080387361,-0.04659002592206818
sh.600005,430.0,3.999722333767442,1.1352922868282231,2.64,3.19178289,3.58,4.5375,7.21836846,1.185595527956106,0.3915795828967128
sh.600008,2532.0,2.9923213568759874,0.753180686341688,2.18376584,2.50858304,2.71071314,3.0925079899999997,6.80601546,1.9277484033087378,3.566932249712839
sh.600009,2537.0,44.86741239843516,16.211857037977477,16.8339024,31.8873348,43.75063294,55.76262386,84.6953625,0.47955238967541663,-0.7706769795308372
sh.600010,2539.0,2.010385777187869,0.7039139938878406,1.0416336,1.5379572,1.89,2.21560284,5.13681168,1.647064695040419,3.6740827494276282
sh.600011,2548.0,6.272612008802983,1.3815948357109245,3.44065098,5.52614717,6.119423295,7.1218169,10.48371456,0.13406860762631898,-0.32347293643862596
sh.600015,2548.0,5.407556031589482,0.8628205045304161,3.94824372,4.6658784,5.315484720000001,5.9922368,7.99391264,0.4827948663600761,-0.48880147019402687
sh.600016,2548.0,3.958892955910518,0.6576208906122561,2.71714191,3.36833636,4.0190472,4.4465403925,5.5814019,-0.07384529829775001,-0.949458664068167
sh.600018,2545.0,4.857350391815324,0.7821220688240046,3.28154582,4.18976989,4.8398948,5.37507996,7.91508122,0.4591605807010808,0.4957532532443598
sh.600019,2456.0,5.0273670525,1.081558281702616,2.91513684,4.125753545,5.06484414,5.8339110425000005,9.35812288,0.13984543471939803,-0.5350825550621199
sh.600021,2471.0,9.085205027215702,2.818355284606609,5.45798917,7.23847859,8.61705922,9.819782165,27.7923726,2.969386343930977,12.864376049163308
sh.600022,2451.0,1.697424913219094,0.4741336412144696,1.11765159,1.38,1.56959806,1.88162659,5.21916572,2.357754111014997,8.52283020138688
sh.600023,2548.0,4.0496705335792775,1.0076595243191462,2.7059511,3.2561074000000003,3.843502975,4.4280276,10.0296702,1.4124294177645396,2.753805637151315
sh.600025,1827.0,5.63842065063492,2.4737165848360476,1.90615656,3.47005184,5.42955168,7.026372925,12.005735,0.5332757736871983,-0.7690654741914229
sh.600026,2450.0,7.971667397334693,3.562459575453709,3.55334772,5.4610372,6.095466435,11.152884,18.81119768,0.9505901445459766,-0.3954333798597065
sh.600027,2537.0,3.9326004324438304,1.151963816166832,2.29639685,2.88989316,3.57906384,4.96945016,7.6468455,0.6215115845754815,-0.8489497114772306
sh.600028,2548.0,3.8323419340384617,1.0543623444936905,2.32008742,3.137211,3.45013558,4.13721619,6.745518,1.003630072926541,-0.18233947466411893
sh.600029,2545.0,7.046871249933202,1.5144958856107797,4.27448,5.99,6.71,7.6,15.2469175,1.6151687642693817,3.1092107755214937
sh.600030,2531.0,18.438329352429868,4.543621714981855,10.0408483,14.29266864,18.58342364,21.019274969999998,33.94982016,0.39662316446528173,-0.4140844320132411
sh.600031,2547.0,13.278658049740873,7.127666090190325,3.91556322,7.04183364,13.36762136,16.740430959999998,43.10474311,1.012355593008918,1.2350332917669844
