Commodity,PCA+Ridge_RMSE,PCA+SVR_RMSE,LSTM_RMSE,BiLSTM_RMSE,GCN-Only_RMSE,GCN+GAT_RMSE,CMGM-Feat_RMSE,HeteroMix_RMSE
低硫燃料油,339.9351293690381,394.36760146772014,596.5734860560677,579.1585920185418,651.4482622421395,491.896903917396,352.909887133495,399.93720923132634
原油,65.83492837844653,73.81457638729265,91.35386875716172,107.2044715077626,97.37539026475932,65.89925626486726,73.93954688706704,54.578547096448865
小麦,164.78796476145362,208.33408164374043,284.94013822318584,270.5094674953889,293.7299074889309,186.79951256085315,126.53717036585138,98.63012920048412
棉花,2124.579027749019,1402.8590247943664,1857.0770511791816,2104.9956271470182,2066.3410963158444,2803.0364851954664,3333.59712215812,3494.7570177091075
液化石油气,301.7113369532026,431.6045458636165,564.7547766119493,581.6635547951985,790.2723680751692,602.036122246282,357.7841810235244,249.85661034730472
热轧卷板,644.2145919763809,437.33082999859204,975.7000628182057,974.4326824044972,827.6623251229404,968.6536755142067,1287.6687860863194,1087.688384518652
焦炭,676.3893833631852,498.48110228425236,722.6502703131202,683.8148905606212,684.0433857814176,815.2105947222349,950.7993319817953,1100.8566641244563
焦煤,591.6180301372194,422.8276586249471,579.1697059577259,660.2212909672851,597.2850898029299,680.3589652020678,862.9517484708674,1070.169140020311
燃料油,492.9726995668803,574.6946466843045,548.1788826490159,503.5323587411052,527.3663449972571,330.62777582287043,402.5008799973717,386.2638713701389
玉米,300.154076337434,214.30097758328,148.5224766767473,181.80233244921772,151.295681167055,217.1504762246168,356.3975483674173,419.28110434760686
甲醇,241.65554093458456,324.88442443116156,141.57239481364567,147.60665950807007,225.10892985800447,200.51182677953392,195.94998600652593,182.64788001163595
白糖,435.0087054674418,599.56195180696,500.83365097312543,499.403123381117,440.62977159900396,351.8770044769491,389.75467848346085,361.9449834938601
白银,3252.620265311056,3402.416761847835,3410.0433384397147,3382.9220961132905,3471.9914745870456,3243.3659149268115,3058.398668593248,2680.765195354246
菜籽油,1622.5167550387782,1272.663535270881,1051.930070850678,1329.0509185086603,971.5838318544405,1276.958578107311,1789.9536464924656,2341.4338365955377
菜籽粕,415.09802789979983,331.4137412767029,331.94040158373593,368.3944592496168,311.36972817193504,386.13841670796484,526.1603896301369,512.2131622691961
螺纹钢,701.0279305008006,520.9076592382683,856.6678993739242,955.9762450468348,802.3402563165032,1027.3438706731733,1111.324701391728,1232.4255300135865
豆粕,520.7938726176947,498.84701872604086,405.6942931991111,319.56267402810585,323.12921683163523,428.5215280839645,572.5186609906065,733.7326569109149
铜,16831.255819502865,19553.679972919053,18810.551652318223,18451.005184547383,20412.462734084664,16444.642918897604,14188.037015335805,10633.01825258201
铝,2788.1572390795736,3528.748113831841,3316.826128686071,3447.4215362810814,3529.565983502642,2856.71986518226,2061.4183410436276,955.7187632238699
锌,1679.5205666985787,2248.3481497213493,2205.6606761663816,2281.756687277072,2275.6331869107407,1839.6061644713393,1326.524447181931,1142.7586913519626
锡,54988.38660775309,70912.97704457561,68347.16612361508,72266.09645760444,72144.66053027229,59393.872620473034,44243.250527268145,35580.44593726115
镍,24327.68349232622,17875.413345891855,13849.31441572102,14762.041473017773,13828.168781053288,17102.41541903859,23603.34003903245,28530.938292446965
黄大豆一号,1193.5721863161764,1006.0712157064401,1032.504460610212,927.0815253019503,775.4684654516597,1045.365521527861,1430.4812560583193,1775.6847890191896
黄金,274.8656159552584,285.2601616865098,298.18725177525477,296.3533635802992,306.03280978965756,293.57561046396273,280.68664306874507,255.41020628446543
