Commodity,Best_Model,Best_RMSE,Worst_Model,Worst_RMSE,Improvement_%
低硫燃料油,PCA+Ridge,339.9,GCN-Only,651.4,47.8
原油,HeteroMix,54.6,BiLSTM,107.2,49.1
小麦,HeteroMix,98.6,GCN-Only,293.7,66.4
棉花,PCA+SVR,1402.9,HeteroMix,3494.8,59.9
液化石油气,HeteroMix,249.9,GCN-Only,790.3,68.4
热轧卷板,PCA+SVR,437.3,CMGM-Feat,1287.7,66.0
焦炭,PCA+SVR,498.5,HeteroMix,1100.9,54.7
焦煤,PCA+SVR,422.8,HeteroMix,1070.2,60.5
燃料油,GCN+GAT,330.6,PCA+SVR,574.7,42.5
玉米,LSTM,148.5,HeteroMix,419.3,64.6
甲醇,LSTM,141.6,PCA+SVR,324.9,56.4
白糖,GCN+GAT,351.9,PCA+SVR,599.6,41.3
白银,HeteroMix,2680.8,GCN-Only,3472.0,22.8
菜籽油,GCN-Only,971.6,HeteroMix,2341.4,58.5
菜籽粕,GCN-Only,311.4,CMGM-Feat,526.2,40.8
螺纹钢,PCA+SVR,520.9,HeteroMix,1232.4,57.7
豆粕,BiLSTM,319.6,HeteroMix,733.7,56.4
铜,HeteroMix,10633.0,GCN-Only,20412.5,47.9
铝,HeteroMix,955.7,GCN-Only,3529.6,72.9
锌,HeteroMix,1142.8,BiLSTM,2281.8,49.9
锡,HeteroMix,35580.4,BiLSTM,72266.1,50.8
镍,GCN-Only,13828.2,HeteroMix,28530.9,51.5
黄大豆一号,GCN-Only,775.5,HeteroMix,1775.7,56.3
黄金,HeteroMix,255.4,GCN-Only,306.0,16.5
